Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-14.0225	-1.88322	-3.54391	-5.05146	-3.54391	-1.88322	-3.54391	-5.05146	-3.54391	
-14.3749	-2.40795	-3.1213	-5.05146	-3.79424	-2.40795	-3.1213	-5.05146	-3.79424	
-14.3845	-1.83258	-4.41455	-4.81589	-3.32146	-1.83258	-4.41455	-4.81589	-3.32146	
-14.3845	-1.83258	-4.41455	-4.81589	-3.32146	-1.83258	-4.41455	-4.81589	-3.32146	
-13.97	-2.21733	-3.54391	-4.41455	-3.79424	-2.21733	-3.54391	-4.41455	-3.79424	
-15.8568	-2.54593	-4.08044	-4.81589	-4.41455	-2.54593	-4.08044	-4.81589	-4.41455	
-14.1347	-1.9885	-3.66516	-4.81589	-3.66516	-1.9885	-3.66516	-4.81589	-3.66516	
-14.1347	-1.9885	-3.66516	-4.81589	-3.66516	-1.9885	-3.66516	-4.81589	-3.66516	
-13.5619	-1.68794	-3.66516	-4.41455	-3.79424	-1.68794	-3.66516	-4.41455	-3.79424	
-13.5619	-1.68794	-3.66516	-4.41455	-3.79424	-1.68794	-3.66516	-4.41455	-3.79424	
-13.3982	-2.09964	-3.21888	-4.41455	-3.66516	-2.09964	-3.21888	-4.41455	-3.66516	
-13.3982	-2.09964	-3.21888	-4.41455	-3.66516	-2.09964	-3.21888	-4.41455	-3.66516	
-12.8748	-2.0433	-3.32146	-4.81589	-2.69415	-2.0433	-3.32146	-4.81589	-2.69415	
-12.8748	-2.0433	-3.32146	-4.81589	-2.69415	-2.0433	-3.32146	-4.81589	-2.69415	
-12.8748	-2.0433	-3.32146	-4.81589	-2.69415	-2.0433	-3.32146	-4.81589	-2.69415	
-13.5374	-2.15762	-4.08044	-4.60517	-2.69415	-2.15762	-4.08044	-4.60517	-2.69415	
-14.549	-2.09964	-4.24053	-4.41455	-3.79424	-2.09964	-4.24053	-4.41455	-3.79424	
-12.4949	-2.27887	-3.1213	-3.66516	-3.4296	-2.27887	-3.1213	-3.66516	-3.4296	
-13.6809	-1.64196	-4.41455	-4.08044	-3.54391	-1.64196	-4.41455	-4.08044	-3.54391	
-13.6809	-1.64196	-4.41455	-4.08044	-3.54391	-1.64196	-4.41455	-4.08044	-3.54391	
-13.6809	-1.64196	-4.41455	-4.08044	-3.54391	-1.64196	-4.41455	-4.08044	-3.54391	
-13.4517	-2.0433	-3.54391	-3.93223	-3.93223	-2.0433	-3.54391	-3.93223	-3.93223	
-13.5526	-2.0433	-3.4296	-4.41455	-3.66516	-2.0433	-3.4296	-4.41455	-3.66516	
-13.5526	-2.0433	-3.4296	-4.41455	-3.66516	-2.0433	-3.4296	-4.41455	-3.66516	
-13.5526	-2.0433	-3.4296	-4.41455	-3.66516	-2.0433	-3.4296	-4.41455	-3.66516	
-13.5853	-2.15762	-3.02826	-3.79424	-4.60517	-2.15762	-3.02826	-3.79424	-4.60517	
-14.2105	-1.93517	-3.79424	-5.62682	-2.85423	-1.93517	-3.79424	-5.62682	-2.85423	
-12.0016	-1.68794	-2.85423	-3.66516	-3.79424	-1.68794	-2.85423	-3.66516	-3.79424	
-12.0016	-1.68794	-2.85423	-3.66516	-3.79424	-1.68794	-2.85423	-3.66516	-3.79424	
-12.0016	-1.68794	-2.85423	-3.66516	-3.79424	-1.68794	-2.85423	-3.66516	-3.79424	
-14.3749	-2.77259	-3.66516	-4.81589	-3.1213	-2.77259	-3.66516	-4.81589	-3.1213	
-13.7363	-2.15762	-3.54391	-4.60517	-3.4296	-2.15762	-3.54391	-4.60517	-3.4296	
-13.3724	-1.83258	-3.21888	-4.24053	-4.08044	-1.83258	-3.21888	-4.24053	-4.08044	
-13.3724	-1.83258	-3.21888	-4.24053	-4.08044	-1.83258	-3.21888	-4.24053	-4.08044	
-13.3724	-1.83258	-3.21888	-4.24053	-4.08044	-1.83258	-3.21888	-4.24053	-4.08044	
-13.3724	-1.83258	-3.21888	-4.24053	-4.08044	-1.83258	-3.21888	-4.24053	-4.08044	
-13.3724	-1.83258	-3.21888	-4.24053	-4.08044	-1.83258	-3.21888	-4.24053	-4.08044	
-13.613	-1.93517	-3.93223	-3.66516	-4.08044	-1.93517	-3.93223	-3.66516	-4.08044	
-13.613	-1.93517	-3.93223	-3.66516	-4.08044	-1.93517	-3.93223	-3.66516	-4.08044	
-15.3966	-2.09964	-4.81589	-4.81589	-3.66516	-2.09964	-4.81589	-4.81589	-3.66516	
-14.6201	-2.27887	-3.32146	-4.41455	-4.60517	-2.27887	-3.32146	-4.41455	-4.60517	
-15.3582	-2.15762	-3.54391	-5.99146	-3.66516	-2.15762	-3.54391	-5.99146	-3.66516	
-15.8054	-2.47575	-3.79424	-5.99146	-3.54391	-2.47575	-3.79424	-5.99146	-3.54391	
-15.1638	-2.09964	-4.08044	-5.31852	-3.66516	-2.09964	-4.08044	-5.31852	-3.66516	
-13.9436	-1.9885	-3.79424	-4.08044	-4.08044	-1.9885	-3.79424	-4.08044	-4.08044	
-16.4182	-1.735	-4.81589	-5.05146	-4.81589	-1.735	-4.81589	-5.05146	-4.81589	
-15.4595	-1.9885	-4.24053	-4.41455	-4.81589	-1.9885	-4.24053	-4.41455	-4.81589	
-15.3847	-2.40795	-4.81589	-4.08044	-4.08044	-2.40795	-4.81589	-4.08044	-4.08044	
-14.8573	-1.64196	-3.79424	-4.60517	-4.81589	-1.64196	-3.79424	-4.60517	-4.81589	
-14.2611	-2.61867	-3.32146	-4.08044	-4.24053	-2.61867	-3.32146	-4.08044	-4.24053	
-14.2611	-2.61867	-3.32146	-4.08044	-4.24053	-2.61867	-3.32146	-4.08044	-4.24053	
-17.7592	-2.47575	-3.79424	-5.05146	-6.43775	-2.47575	-3.79424	-5.05146	-6.43775	
-16.7681	-2.15762	-3.93223	-5.05146	-5.62682	-2.15762	-3.93223	-5.05146	-5.62682	
-15.972	-2.61867	-4.81589	-3.93223	-4.60517	-2.61867	-4.81589	-3.93223	-4.60517	
-15.367	-2.34237	-4.41455	-3.79424	-4.81589	-2.34237	-4.41455	-3.79424	-4.81589	
-16.2395	-2.34237	-4.24053	-5.05146	-4.60517	-2.34237	-4.24053	-5.05146	-4.60517	
-14.8977	-2.0433	-3.1213	-4.41455	-5.31852	-2.0433	-3.1213	-4.41455	-5.31852	
-15.0013	-1.51005	-3.93223	-5.31852	-4.24053	-1.51005	-3.93223	-5.31852	-4.24053	
-15.0013	-1.51005	-3.93223	-5.31852	-4.24053	-1.51005	-3.93223	-5.31852	-4.24053	
-15.1941	-1.88322	-4.81589	-4.41455	-4.08044	-1.88322	-4.81589	-4.41455	-4.08044	
-14.0858	-2.09964	-3.66516	-4.24053	-4.08044	-2.09964	-3.66516	-4.24053	-4.08044	
-15.6322	-2.09964	-4.24053	-5.05146	-4.24053	-2.09964	-4.24053	-5.05146	-4.24053	
-13.5044	-1.68794	-3.32146	-4.41455	-4.08044	-1.68794	-3.32146	-4.41455	-4.08044	
-14.5542	-1.83258	-4.24053	-4.81589	-3.66516	-1.83258	-4.24053	-4.81589	-3.66516	
-14.2777	-1.9885	-3.79424	-4.41455	-4.08044	-1.9885	-3.79424	-4.41455	-4.08044	
-14.2777	-1.9885	-3.79424	-4.41455	-4.08044	-1.9885	-3.79424	-4.41455	-4.08044	
-15.7498	-1.64196	-4.81589	-5.05146	-4.24053	-1.64196	-4.81589	-5.05146	-4.24053	
-15.6203	-1.88322	-4.08044	-5.05146	-4.60517	-1.88322	-4.08044	-5.05146	-4.60517	
-13.4948	-1.68794	-3.79424	-3.93223	-4.08044	-1.68794	-3.79424	-3.93223	-4.08044	
-13.2242	-1.83258	-3.93223	-3.79424	-3.66516	-1.83258	-3.93223	-3.79424	-3.66516	
-15.2488	-1.9885	-4.41455	-4.60517	-4.24053	-1.9885	-4.41455	-4.60517	-4.24053	
