Hw[0]	Hw[1]	Hw[2]	Hw[3]	
0.841379	0.911111	0.967391	0.969697	
0.910345	0.933333	0.945652	0.969697	
0.873563	0.955556	0.971014	0.984848	
0.905747	0.755556	0.981884	0.954545	
0.754023	0.977778	0.971014	0.757576	
0.931034	0.933333	0.985507	0.984848	
0.928736	0.933333	0.985507	0.969697	
0.781609	0.866667	0.974638	0.969697	
0.942529	0.888889	0.963768	0.984848	
0.933333	0.844444	0.949275	0.969697	
0.903448	0.911111	0.981884	1	
0.908046	0.933333	0.981884	0.969697	
0.885057	0.933333	0.98913	0.954545	
0.885057	0.911111	0.971014	0.939394	
0.937931	0.933333	0.981884	0.969697	
0.926437	0.888889	0.960145	0.984848	
0.942529	0.822222	0.985507	0.954545	
0.933333	0.822222	0.992754	0.984848	
0.917241	0.911111	0.992754	0.909091	
0.726437	0.955556	0.978261	0.924242	
0.912644	0.955556	0.98913	0.984848	
0.882759	0.844444	0.98913	0.939394	
0.816092	0.911111	0.981884	0.969697	
0.85977	0.911111	0.960145	0.924242	
0.882759	0.888889	1	0.848485	
0.928736	0.977778	0.960145	0.939394	
0.908046	0.955556	0.98913	0.984848	
0.898851	0.866667	0.98913	0.984848	
0.901149	0.911111	0.98913	0.909091	
0.917241	0.844444	0.996377	0.939394	
0.928736	0.777778	0.974638	0.954545	
0.944828	0.733333	0.963768	0.984848	
0.901149	0.911111	0.981884	0.984848	
0.914943	0.866667	0.985507	0.969697	
0.903448	0.644444	0.992754	0.954545	
0.898851	0.866667	0.956522	0.984848	
0.903448	0.666667	0.978261	0.954545	
0.887356	0.888889	0.978261	0.924242	
0.866667	0.977778	0.98913	0.969697	
0.931034	0.911111	0.974638	0.939394	
0.891954	0.844444	0.960145	0.893939	
0.896552	0.933333	0.938406	0.984848	
0.827586	0.911111	0.996377	0.954545	
0.96092	0.888889	0.963768	0.984848	
0.873563	0.933333	0.985507	0.909091	
0.94023	0.888889	0.971014	0.954545	
0.885057	0.8	0.985507	0.893939	
0.949425	0.888889	0.985507	0.969697	
0.933333	0.844444	0.971014	0.984848	
0.951724	0.933333	0.98913	0.954545	
0.896552	0.822222	0.949275	0.80303	
0.910345	0.777778	0.981884	1	
0.924138	0.888889	0.963768	0.969697	
0.933333	0.844444	0.992754	0.939394	
0.903448	0.955556	0.98913	0.909091	
0.914943	0.866667	0.978261	0.984848	
0.841379	0.844444	0.98913	0.969697	
0.94023	0.955556	0.985507	0.969697	
0.832184	0.933333	0.978261	0.984848	
0.827586	0.866667	0.963768	0.984848	
0.744828	0.933333	0.98913	0.954545	
0.958621	0.977778	0.996377	0.954545	
0.896552	0.955556	0.978261	0.984848	
0.891954	0.866667	0.985507	0.954545	
0.896552	0.755556	0.971014	0.969697	
0.91954	0.977778	0.981884	0.954545	
0.878161	0.911111	0.985507	0.954545	
0.85977	0.888889	0.98913	0.969697	
0.931034	0.888889	0.981884	0.924242	
0.905747	0.844444	0.981884	0.893939	
0.910345	0.733333	0.985507	0.954545	
0.912644	0.911111	0.971014	0.984848	
0.931034	0.888889	0.952899	1	
0.885057	0.933333	0.963768	0.909091	
0.951724	0.911111	0.981884	0.969697	
0.887356	0.755556	0.992754	0.969697	
0.912644	0.933333	0.985507	0.954545	
0.898851	0.888889	0.985507	0.939394	
0.832184	0.866667	0.98913	0.984848	
0.928736	0.955556	0.942029	0.984848	
0.91954	0.866667	0.971014	0.772727	
0.937931	0.911111	0.978261	1	
0.958621	0.866667	0.978261	0.924242	
0.891954	0.911111	0.98913	0.954545	
0.91954	0.977778	0.981884	0.954545	
0.894253	1	0.949275	0.954545	
0.91954	0.911111	0.992754	0.939394	
0.868966	0.666667	0.985507	0.939394	
0.903448	0.866667	0.978261	0.939394	
0.905747	0.933333	0.992754	0.984848	
0.816092	0.666667	0.996377	1	
0.887356	0.911111	1	0.878788	
0.894253	0.866667	0.981884	1	
0.933333	0.888889	0.974638	0.984848	
0.806897	0.866667	0.978261	0.984848	
0.643678	0.911111	0.992754	0.984848	
0.873563	0.933333	0.978261	0.969697	
0.924138	0.911111	0.98913	0.954545	
0.947126	0.933333	0.978261	0.969697	
0.910345	0.955556	0.98913	0.954545	
0.91954	0.955556	0.985507	0.939394	
0.868966	0.844444	0.985507	0.984848	
0.951724	0.911111	0.985507	0.939394	
0.756322	0.955556	0.985507	0.969697	
0.944828	0.955556	0.981884	0.848485	
0.829885	0.8	0.978261	0.757576	
0.88046	0.844444	0.981884	0.969697	
0.832184	0.955556	0.974638	0.939394	
0.926437	0.933333	0.974638	0.969697	
0.928736	0.933333	0.985507	0.893939	
0.914943	0.977778	0.90942	0.954545	
0.871264	0.911111	0.967391	0.924242	
0.901149	0.955556	0.978261	0.969697	
0.889655	0.933333	0.98913	0.954545	
0.875862	0.911111	0.98913	0.954545	
0.912644	0.955556	0.992754	0.939394	
0.917241	0.955556	0.974638	0.969697	
0.76092	0.933333	0.985507	0.984848	
0.914943	0.977778	0.978261	0.939394	
0.933333	0.911111	0.992754	0.984848	
0.928736	0.933333	0.974638	0.984848	
0.931034	0.888889	0.985507	0.954545	
0.747126	0.866667	0.981884	0.939394	
0.813793	0.666667	0.981884	0.939394	
0.91954	0.955556	0.981884	0.969697	
0.91954	0.911111	1	0.984848	
0.705747	0.844444	0.981884	0.772727	
0.944828	0.911111	0.974638	0.984848	
0.855172	0.955556	0.974638	0.893939	
0.875862	0.888889	0.98913	0.909091	
0.811494	0.955556	0.996377	0.969697	
0.94023	0.911111	0.98913	0.969697	
0.891954	0.888889	0.978261	0.969697	
0.954023	0.888889	0.98913	0.969697	
0.811494	0.777778	0.967391	0.772727	
0.914943	0.888889	0.985507	0.893939	
0.896552	0.911111	0.992754	0.954545	
0.885057	0.644444	0.98913	0.909091	
0.910345	0.866667	0.98913	0.969697	
0.818391	0.888889	0.978261	0.984848	
0.885057	0.933333	0.963768	0.848485	
0.967816	0.955556	0.967391	0.939394	
0.864368	0.888889	0.985507	0.969697	
0.935632	0.888889	0.956522	0.924242	
0.809195	0.755556	0.971014	0.80303	
0.949425	0.911111	0.978261	0.954545	
0.903448	0.955556	0.978261	0.924242	
0.901149	0.955556	0.98913	0.954545	
0.811494	0.933333	0.996377	0.984848	
0.845977	0.955556	0.981884	0.969697	
0.926437	0.866667	0.942029	0.939394	
0.908046	0.911111	0.971014	0.924242	
0.88046	0.866667	0.98913	0.969697	
0.85977	0.911111	0.992754	0.984848	
0.894253	0.777778	0.985507	0.954545	
0.917241	0.977778	0.981884	0.939394	
0.887356	0.911111	0.985507	0.984848	
0.926437	0.911111	0.992754	0.954545	
0.954023	0.977778	0.98913	0.969697	
0.891954	0.933333	0.98913	1	
0.956322	0.977778	0.98913	0.909091	
0.910345	0.844444	0.98913	0.984848	
0.910345	0.711111	0.98913	0.984848	
0.905747	0.977778	0.996377	0.969697	
0.864368	0.666667	0.992754	0.939394	
0.91954	0.911111	0.971014	0.969697	
0.912644	0.955556	0.981884	0.969697	
0.894253	0.977778	0.996377	0.984848	
0.910345	0.755556	0.992754	0.969697	
0.901149	0.888889	0.985507	0.969697	
0.682759	0.866667	0.971014	0.969697	
0.829885	0.733333	0.992754	0.939394	
0.917241	0.933333	0.996377	1	
0.836782	0.888889	0.985507	0.893939	
0.921839	0.844444	0.978261	0.984848	
0.811494	0.933333	0.985507	0.984848	
0.931034	0.911111	0.98913	1	
0.894253	0.977778	0.981884	0.984848	
0.928736	0.666667	0.981884	0.954545	
