R2[0]	R2[1]	R2[2]	R2[3]	
0.0750409	0.140655	0.0600352	0.10204	
0.0716875	0.130659	0.0623689	0.115483	
0.0551953	0.118044	0.0751904	0.0709102	
0.0740212	0.148113	0.0840475	0.151371	
0.0647042	0.174736	0.0506654	0.132133	
0.0606565	0.150189	0.0810821	0.125712	
0.0538033	0.169664	0.0742678	0.12305	
0.0569531	0.159314	0.0792448	0.13767	
0.0526832	0.110969	0.0503238	0.120413	
0.0694269	0.139295	0.0802543	0.0900619	
0.0481906	0.198312	0.0535102	0.116755	
0.0816899	0.14571	0.0732539	0.110116	
0.0750492	0.0856444	0.0875583	0.114352	
0.0754899	0.104276	0.074052	0.127768	
0.0782497	0.141922	0.113052	0.116306	
0.0632214	0.122984	0.0578356	0.0947051	
0.140963	0.107095	0.11007	0.101299	
0.069614	0.132092	0.0763876	0.0818789	
0.0960489	0.108885	0.0553024	0.118011	
0.0567205	0.150952	0.0885448	0.0999808	
0.0876409	0.113765	0.0537477	0.187666	
0.0743274	0.127769	0.0763661	0.0739052	
0.0580561	0.122343	0.0627004	0.103748	
0.0603216	0.153715	0.0778679	0.1265	
0.0579295	0.198548	0.101767	0.0971592	
0.109663	0.100828	0.0922535	0.121468	
0.0499059	0.131779	0.0920678	0.0931373	
0.060565	0.092467	0.0992959	0.104347	
0.0878121	0.122984	0.0582356	0.0986813	
0.0699029	0.153056	0.0750501	0.121074	
0.0568659	0.101237	0.0773605	0.135246	
0.0555104	0.140868	0.128158	0.132213	
0.0640831	0.208859	0.0837605	0.188978	
0.039326	0.147537	0.0717036	0.103718	
0.0862155	0.138402	0.0731821	0.117028	
0.073115	0.122643	0.0538768	0.103291	
0.0507414	0.153861	0.0882338	0.0896143	
0.0516138	0.123058	0.052211	0.140995	
0.0807576	0.0866158	0.0881161	0.0606536	
0.0890928	0.163686	0.0411304	0.12892	
0.0589732	0.154931	0.0471872	0.0991951	
0.0681289	0.135839	0.0510471	0.0813204	
0.0790086	0.138767	0.0866546	0.114266	
0.0907282	0.149379	0.106481	0.109626	
0.0957289	0.139064	0.0686946	0.138313	
0.071823	0.135689	0.0839733	0.106178	
0.0626135	0.159864	0.103881	0.141459	
0.0680634	0.118561	0.0589169	0.135049	
0.074144	0.105235	0.048344	0.102999	
0.0599941	0.133952	0.0683377	0.11957	
0.0740001	0.14136	0.0711567	0.0850879	
0.0699118	0.104217	0.0598248	0.132987	
