H_norm[0]	H_norm[1]	H_norm[2]	H_norm[3]	
0.381081	0.0764518	-0.150586	-0.472594	
0.564564	0.496936	0.539683	1.00079	
0.389549	0.840969	0.70745	0.213131	
0.533513	-1.49081	0.544736	0.843256	
0.409309	-0.917421	0.470959	-0.213131	
0.525045	-1.45258	0.0212235	-0.129732	
0.66054	0.535162	0.360799	0.50966	
0.55045	-0.64984	0.825695	0.379928	
0.773453	0.917421	0.555853	-1.52898	
0.0338739	0.305807	-0.301171	-2.93749	
0.132673	0.420485	-0.312289	0.945188	
0.47988	0.229355	0.400214	0.407728	
0.175015	0.305807	0.135426	0.676458	
0.58997	0.152904	0.171809	0.565259	
0.53069	0.344033	-0.0495215	-0.954454	
0.172192	0.917421	0.450747	0.528193	
0.318979	-0.420485	0.33048	0.444794	
0.414955	0.267581	0.801439	0.796923	
0.160901	-2.2171	0.304203	0.99152	
0.649249	0.840969	0.552821	0.769123	
0.0903303	-1.14678	0.0454789	0.287263	
0.293573	-1.41436	-0.29814	0.898855	
0.70006	0.955647	0.426491	0.546726	
0.0254054	-0.688066	0.941919	-1.46411	
-1.12631	0.840969	0.571013	0.379928	
-0.279459	0.993873	0.462874	0.620858	
0.849669	0.993873	0.25165	0.648658	
0.914594	-0.229355	0.548779	1.01005	
0.601261	0.879195	-0.276916	-0.287263	
0.0875075	-1.75839	0.136437	-1.15832	
0.716997	-2.17888	0.421438	0.463327	
0.0564564	0.267581	0.153618	-0.518926	
0.716997	1.0321	0.828727	-2.34444	
0.618198	-1.37613	-0.370906	-0.129732	
0.0536336	-0.496936	0.0232448	0.908121	
0.46012	-0.688066	-0.326438	-0.741324	
0.519399	0.458711	0.697343	0.324329	
-0.0959759	0.993873	0.0303193	0.935921	
0.383904	-1.52904	0.638726	0.685724	
0.344384	0.420485	0.31532	0.157531	
0.781921	0.535162	0.70846	-0.769123	
0.177838	0.229355	-0.386065	0.639392	
0.115736	0.688066	0.400214	0.657925	
0.234294	-0.114678	0.423459	1.00079	
0.107267	-1.26145	0.596279	0.259463	
0.541982	-1.07032	0.572024	0.250197	
-0.431892	0.496936	0.560907	-0.0648658	
0.335916	0.64984	0.221331	0.491127	
0.567387	0.573388	0.335533	0.769123	
0.0649249	0.64984	0.601332	0.555993	
-0.0621021	-0.573388	0.622556	-0.398461	
0.409309	0	0.0727663	0.324329	
0.166546	-0.535162	0.139469	0.0277996	
0.14961	1.0321	0.466917	0.713524	
0.510931	0.191129	0.389097	0.99152	
-0.502462	-2.2171	0.610428	0.871055	
0.398018	0.688066	0.730695	-0.24093	
0.581501	0.114678	-0.0636705	0.166798	
0.553273	-0.458711	0.0434576	0.593059	
-0.0536336	-0.114678	0.793354	-0.296529	
0.513753	0.879195	0.48713	0.454061	
0.437537	0.535162	0.107128	0.917388	
0.522222	0.64984	0.233458	-0.676458	
0.646426	0.993873	0.413353	0.491127	
0.829909	0.420485	0.698354	-1.65871	
0.406486	0.802743	0.410321	0.379928	
0.832732	-0.382259	0.758993	0.620858	
0.652072	0.993873	-0.419417	0.491127	
0.708528	-1.49081	0.0555853	1.03785	
-1.42552	0.726292	0.661971	-1.01932	
0.352853	0.420485	0.435587	0.72279	
0.592792	0.496936	0.62963	-0.0648658	
-0.409309	0.840969	0.344629	0.704257	
0.812973	0.229355	-0.404257	0.185331	
0.637958	-0.611614	0.300161	0.24093	
0.556096	-0.229355	-0.599311	0.898855	
0.273814	0.879195	0.592236	0.908121	
0.352853	-0.688066	0.529577	-0.500393	
0.344384	-0.0382259	0.495215	0.824722	
0.58997	0.955647	0.666013	-0.0926654	
0.0875075	0.344033	0.435587	0.945188	
0.801681	1.10855	0.0970217	0.639392	
0.64078	0.382259	-1.62107	0.287263	
0.112913	0.382259	-0.221331	-1.13978	
0.457297	0.611614	-2.05868	0.593059	
0.561741	0.64984	-0.22032	0.518926	
0.237117	0.420485	0.69229	0.361395	
0.736756	0.458711	0.637715	0.852522	
0.296396	-0.114678	0.461864	-0.620858	
0.344384	0.993873	0.585162	-0.53746	
-0.112913	0.688066	0.733726	0.472594	
