mlcoalsim version 09v3beta (20060206)
OUTPUT FILE: date 02/12/06 17:34:46 

Input data from the file: l2f1r12.txt

Finite island model. Population parameters in function of 4Ne
except the parameters that indicate the size of the populations, as Ne).

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          10000
Seed1:                 4638

N_loci:                1
N_sites:               3927
N_samples:             11
Mutations:             96
Sfix_allthetas:        1
Range_thetant:         1
Thetant_min:           0.000500
Thetant_max:           0.060000
Recombination:         12
Nintn:                 5
Nrec:                  1 1 0.01 0.01 1
Npast:                 1 0.01 0.01 1 1
Tpast:                 0.045 1E-006 0.005 1E-006 4

REJECTION ALGORITHM OF TAVARE et al. 1997. Fix S and screening all probable thetas.  Rejection algorithm n. 2.

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-0.99011	-1.7109	-0.089582	-0.36493	-0.33129	-0.6535	-14	0.45263	0.48958	0.51413	na	1	1	0.10355	96	0	0	32.776	26	40	-0.44226	-0.08912	0.090909	0.18182	
0.11508	0.38257	-0.089582	-0.041929	-0.33129	-0.2416	5.5273	0.31579	0.34375	0.36873	na	0.90909	0.98182	0.14104	96	0	0	32.776	33.564	28.036	0.051404	0.035185	0.18182	0.18182	
1.3637	-0.85496	0.73888	1.0218	0.81022	1.204	1.6182	0.53684	0.54167	0.60929	na	1	1	0.20076	96	0	0	32.776	42.109	40.491	0.60915	0.010301	0.090909	0.18182	
-1.8349	-2.2421	-1.8846	-2.1259	-2.5509	-2.8744	10.236	0.16842	0.21875	0.1859	na	1	1	0.07178	96	0	0	32.776	20.218	9.9818	-0.81962	0.065162	0.090909	0.090909	
-1.6755	-0.48122	-1.7465	-1.9629	-2.5509	-2.815	16.018	0.11579	0.17708	0.13994	na	0.90909	0.98182	0.071471	96	0	0	32.776	21.309	5.2909	-0.74842	0.10197	0.18182	0.18182	
-0.99011	-1.7109	-1.0561	-1.1802	-1.663	-1.7971	7.6	0.10526	0.13542	0.15027	na	1	1	0.086925	96	0	0	32.776	26	18.4	-0.44226	0.04838	0.090909	0.18182	
-1.9572	-2.3385	-2.2528	-2.4722	-3.3119	-3.5734	16.364	0.14737	0.22917	0.16515	na	1	1	0.037767	96	0	0	32.776	19.382	3.0182	-0.87421	0.10417	0.090909	0.090909	
1.555	0.84598	0.78491	1.1165	0.87364	1.3298	4.0364	0.51579	0.58333	0.58893	na	0.90909	0.98182	0.20876	96	0	0	32.776	43.418	39.382	0.69459	0.025694	0.18182	0.18182	
-1.548	-2.0382	-1.5624	-1.7703	-2.3606	-2.6041	18.164	0.10526	0.1875	0.14203	na	1	1	0.066652	96	0	0	32.776	22.182	4.0182	-0.69146	0.11563	0.090909	0.090909	
1.2096	-0.89575	0.83093	1.0544	0.93705	1.2555	-6.4909	0.66316	0.6875	0.70217	na	1	1	0.19724	96	0	0	32.776	41.055	47.545	0.54032	-0.041319	0.090909	0.18182	
2.1714	2.6035	1.1991	1.6461	1.4444	2.0496	1.4727	0.69474	0.70833	0.75723	na	0.81818	0.96364	0.23907	96	0	0	32.776	47.636	46.164	0.9699	0.009375	0.18182	0.27273	
-1.7606	-2.1864	-1.8846	-2.1042	-2.8046	-3.0645	17.255	0.11579	0.1875	0.14246	na	1	1	0.056747	96	0	0	32.776	20.727	3.4727	-0.7864	0.10984	0.090909	0.090909	
-1.7181	-2.1555	-1.7925	-2.0141	-2.6777	-2.9397	17.636	0.084211	0.13542	0.12829	na	1	1	0.052694	96	0	0	32.776	21.018	3.3818	-0.76741	0.11227	0.090909	0.090909	
-0.65536	0.066699	0.32465	0.082304	0.23947	-0.038616	-15.018	0.35789	0.38542	0.38954	na	0.90909	0.98182	0.1234	96	0	0	32.776	28.291	43.309	-0.29273	-0.095602	0.18182	0.27273	
-1.6118	-2.0811	-1.4704	-1.7113	-2.2338	-2.5189	18.291	0.14737	0.20833	0.17553	na	1	1	0.064952	96	0	0	32.776	21.745	3.4545	-0.71994	0.11644	0.090909	0.090909	
-0.50659	-1.4806	-0.45779	-0.5342	-0.83863	-0.90895	5.8182	0.23158	0.30208	0.28417	na	1	1	0.11437	96	0	0	32.776	29.309	23.491	-0.22628	0.037037	0.090909	0.18182	
-1.2133	-1.8326	-1.3323	-1.4784	-1.8533	-2.0437	7.5455	0.13684	0.20833	0.18613	na	1	1	0.079411	96	0	0	32.776	24.473	16.927	-0.54194	0.048032	0.090909	0.090909	
-0.31531	0.21387	-0.31971	-0.36183	-0.20445	-0.29308	-10.564	0.51579	0.54167	0.57282	na	0.90909	0.98182	0.14033	96	0	0	32.776	30.618	41.182	-0.14084	-0.067245	0.18182	0.18182	
