Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-30.4216	-2.75073	-9.23024	-9.23024	-9.21034	-2.75073	-9.23024	-9.23024	-9.21034
-29.7675	-3.483	-9.23024	-9.23024	-7.82405	-3.483	-9.23024	-9.23024	-7.82405
-31.2145	-3.52381	-9.23024	-9.23024	-9.23024	-3.52381	-9.23024	-9.23024	-9.23024
-31.0395	-3.36868	-9.23024	-9.23024	-9.21034	-3.36868	-9.23024	-9.23024	-9.21034
-30.8288	-3.15796	-9.23024	-9.23024	-9.21034	-3.15796	-9.23024	-9.23024	-9.21034
-29.2607	-2.97615	-9.23024	-9.23024	-7.82405	-2.97615	-9.23024	-9.23024	-7.82405
-29.8888	-3.60424	-9.23024	-9.23024	-7.82405	-3.60424	-9.23024	-9.23024	-7.82405
-31.2956	-3.62476	-9.23024	-9.23024	-9.21034	-3.62476	-9.23024	-9.23024	-9.21034
-29.6532	-3.36868	-9.23024	-9.23024	-7.82405	-3.36868	-9.23024	-9.23024	-7.82405
-30.8081	-4.52353	-9.23024	-9.23024	-7.82405	-4.52353	-9.23024	-9.23024	-7.82405
-29.3242	-3.85058	-9.23024	-9.23024	-7.01312	-3.85058	-9.23024	-9.23024	-7.01312
-29.5859	-3.30136	-9.23024	-9.23024	-7.82405	-3.30136	-9.23024	-9.23024	-7.82405
-30.6587	-2.98785	-9.23024	-9.23024	-9.21034	-2.98785	-9.23024	-9.23024	-9.21034
-30.6174	-4.33291	-9.23024	-9.23024	-7.82405	-4.33291	-9.23024	-9.23024	-7.82405
-30.4641	-2.79331	-9.23024	-9.23024	-9.21034	-2.79331	-9.23024	-9.23024	-9.21034
-29.2274	-3.75383	-9.23024	-9.23024	-7.01312	-3.75383	-9.23024	-9.23024	-7.01312
-29.8083	-3.52381	-9.23024	-9.23024	-7.82405	-3.52381	-9.23024	-9.23024	-7.82405
-29.3242	-3.85058	-9.23024	-9.23024	-7.01312	-3.85058	-9.23024	-9.23024	-7.01312
-27.8411	-3.75383	-9.23024	-9.23024	-5.62682	-3.75383	-9.23024	-9.23024	-5.62682
-29.6325	-3.34795	-9.23024	-9.23024	-7.82405	-3.34795	-9.23024	-9.23024	-7.82405
-27.6708	-2.77259	-9.23024	-9.23024	-6.43775	-2.77259	-9.23024	-9.23024	-6.43775
-27.9586	-3.87131	-9.23024	-9.23024	-5.62682	-3.87131	-9.23024	-9.23024	-5.62682
-29.9093	-3.62476	-9.23024	-9.23024	-7.82405	-3.62476	-9.23024	-9.23024	-7.82405
-32.0245	-4.35363	-9.23024	-9.23024	-9.21034	-4.35363	-9.23024	-9.23024	-9.21034
-27.5496	-3.46227	-9.23024	-9.23024	-5.62682	-3.46227	-9.23024	-9.23024	-5.62682
-29.868	-3.58352	-9.23024	-9.23024	-7.82405	-3.58352	-9.23024	-9.23024	-7.82405
-29.7856	-4.31196	-9.23024	-9.23024	-7.01312	-4.31196	-9.23024	-9.23024	-7.01312
-31.0895	-3.39877	-9.23024	-9.23024	-9.23024	-3.39877	-9.23024	-9.23024	-9.23024
