thetaL[0]	thetaL[1]	thetaL[2]	thetaL[3]	thetaL[4]	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	4.18182	4.09091	4.36364	
4.36364	4.36364	4.36364	4.36364	4.36364	
4.36364	4.36364	2.18182	2.27273	2.45455	
2.45455	0.0909091	0.0909091	6.72727	0.363636	
0.363636	0.363636	0.363636	0.363636	0.363636	
0.363636	0.0909091	0.0909091	1.18182	1.09091	
1.09091	1.09091	1.09091	1.09091	1.09091	
0.0909091	0.0909091	0.0909091	8.72727	2.63636	
2.63636	2.63636	2.63636	2.63636	2.63636	
2.63636	2.63636	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	5.63636	6.54545	
6.54545	6.54545	6.54545	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	4.27273	7.18182	
7.18182	7.18182	7.18182	7.18182	7.18182	
7.18182	7.18182	7.18182	7.18182	7.18182	
7.18182	7.18182	7.18182	7.18182	7.18182	
7.18182	7.18182	7.18182	7.18182	7.18182	
7.18182	7.18182	7.18182	7.18182	7.18182	
7.18182	7.18182	7.18182	7.18182	7.18182	
7.18182	7.18182	7.18182	7.18182	7.18182	
7.18182	7.18182	7.18182	7.18182	7.18182	
2.54545	2.54545	2.54545	2.54545	2.54545	
2.54545	2.54545	2.54545	2.54545	2.54545	
2.54545	2.54545	1.18182	1.18182	1.18182	
1.18182	1.18182	1.18182	1.18182	1.18182	
1.18182	1.18182	1.18182	1.18182	1.18182	
1.18182	1.18182	0.0909091	1	3.45455	
3.45455	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	7.27273	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	
