ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	ThetaFW[4]	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	7.36364	
0.0151515	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0.0151515	0	0	0	0	
0	0	0.0151515	0	0	
0	0.0151515	0.0151515	0.0151515	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	1.86364	0	0	0	
0	0	0	0	0	
0.0151515	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0.0151515	0	
0	0	0	0	0	
3.72727	0	0	0.0151515	20.303	
12.8939	0.030303	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
12.8636	0.0151515	0	0	0.0151515	
0	0	0	0	3.69697	
0	0	7.37879	27.6818	5.59091	
0	0	7.34848	22.1515	12.9545	
0	0	0.030303	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	7.43939	1.87879	0.030303	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	14	4.66667	
0	0	0	0	0	
0	0	0	22.2121	7.45455	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	14.8788	0	3.66667	
0	0	0.0151515	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
3.71212	0	0	0	0	
0	0	0	0	0	
0	0	3.72727	7.40909	0	
0	0	0	0	0	
0	0	1.84848	7.39394	9.28788	
0	0	13.6364	14.7273	9.81818	
0	0	0	0	0	
0	0	0	0	16.6212	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
3.07576	5.57576	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	11.9848	
0	0	0	0	0	
0	0.0151515	20.5	3.69697	18.5152	
0	0	0	0	0	
0	0	0.0151515	0	0	
0.0151515	0	0	0	0	
0	0	0	0	0	
0	0	0	1.84848	22.1818	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	6.42424	32.8485	
0	0	0	0	0	
0	0	0	0	0	
1.84848	0	0	0	0	
0	0	0	0	0.030303	
0	0	0.0151515	9.25758	12.9242	
0	0	0	0	0	
0	0	0	10.7273	9.09091	
0	0	5.56061	16.5909	1.87879	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0	5.51515	3.69697	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.0606061	
0	0	0.0151515	0	0	
0	0	3.68182	9.19697	14.7576	
0	0	0	0	0	
0	0	0	0	1.87879	
0	0	16.7273	27.7576	3.68182	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0.0151515	0.0151515	0	0	
0	0	0	18.4091	20.2121	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	1.83333	
0	0	0	0	0	
0.0151515	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	11.1515	3.69697	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	3.66667	5.62121	5.5	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	7.34848	9.24242	
0	0.0151515	0	0	0	
0.0151515	0	9.27273	9.30303	9.22727	
0	0	31.4394	3.92424	15.6667	
0	0	0	0	0	
0	0	11.1515	5.63636	12.9394	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0.030303	0	0	
0	0	16.303	12.3636	12.3636	
0	0	0	0	1.84848	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	7.5	0.0151515	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
