H[0]	H[1]	H[2]	H[3]	H[4]	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
-11.3636	0.151515	0	0	0.151515	
0	0	0	0	-3.0303	
0	0	-6.21212	-23.1818	-4.09091	
0	0	-6.51515	-18.4848	-10.4545	
0	0	0.30303	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	-5.60606	-1.21212	0.30303	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	-9.45455	-3.15152	
0	0	0	0	0	
0	0	0	-17.8788	-5.45455	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	-11.2121	0	-3.33333	
0	0	0.151515	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
-2.87879	0	0	0	0	
0	0	0	0	0	
0	0	-2.72727	-5.90909	0	
0	0	0	0	0	
0	0	-1.51515	-6.06061	-7.12121	
0	0	0	-1.77636e-15	0	
0	0	0	0	0	
0	0	0	0	-13.7879	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
-1.9697	-4.24242	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.212121	
0	0	0	0	0	
0	0.151515	-15	-3.0303	-14.8485	
0	0	0	0	0	
0	0	0.151515	0	0	
0.151515	0	0	0	0	
0	0	0	0	0	
0	0	0	-1.51515	-18.1818	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	-3.39394	-21.3333	
0	0	0	0	0	
0	0	0	0	0	
-1.51515	0	0	0	0	
0	0	0	0	0.30303	
0	0	0.151515	-7.42424	-10.7576	
0	0	0	0	0	
0	0	0	-8	-7.27273	
0	0	-4.39394	-14.0909	-1.21212	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	-4.84848	-3.0303	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.242424	
0	0	0.151515	0	0	
0	0	-3.18182	-8.0303	-12.4242	
0	0	0	0	0	
0	0	0	0	-1.21212	
0	0	-12.7273	-22.4242	-3.18182	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0.151515	0.151515	0	0	
0	0	0	-15.9091	-17.8788	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	-1.66667	
0	0	0	0	0	
0.151515	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	-8.48485	-3.0303	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	-3.33333	-3.78788	-5	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	-6.51515	-7.57576	
