FFn[0]	FFn[1]	FFn[2]	FFn[3]	
0.4327	-1.9128	0.0260206	-0.789006	
-0.616056	-1.31877	0.103548	0.0458872	
0.748752	-1.21132	-0.511376	-0.518017	
0.459952	-2.25642	0.378424	0.349411	
0.729735	-1.13325	-0.0214369	-0.499474	
1.62455	-1.44701	-0.0369594	-0.607459	
-1.9894	0.874958	0.223432	0.989405	
-0.979398	-2.05323	0.683312	0.303005	
-0.593051	0.173826	-0.165673	-2.13917	
-1.29512	-0.527604	0.279464	0.0553704	
0.0299218	-1.34774	0.0320074	-0.994329	
-0.0544058	0.171922	-0.288968	0.896341	
-0.0159437	0.284941	-0.65366	-0.619351	
0.492518	1.03291	-0.637896	0.31665	
-0.399883	0.309967	-0.134913	-0.737206	
-0.909941	0.173981	-1.05165	0.084197	
0.25877	0.666758	0.231053	-0.411718	
0.645523	-1.23722	0.422188	-0.5052	
0.39433	-0.181364	-0.724757	1.55453	
-2.11011	0.740994	-0.206441	-0.15405	
0.326561	0.298468	-0.366041	0.486412	
-0.0254343	1.358	0.0624026	0.0182176	
-0.559661	-1.87605	-0.572599	-0.659091	
0.407673	-0.281649	0.194526	0.420734	
0.763821	1.40091	-0.173256	0.417282	
-0.222136	-0.171922	0.354911	0.99397	
-0.150599	0.993016	-0.300468	-0.404711	
0.304287	-0.71714	-0.143125	0.182892	
0.792513	-0.364131	-0.444161	0.0299684	
-0.554821	1.06235	-0.53326	1.1611	
0.555452	-1.47132	-0.0316736	0.330516	
0.206565	1.32497	0.427996	-0.339354	
1.57262	-1.67641	0.197735	-0.446802	
-1.30249	0.451294	0.378649	0.699407	
-0.574473	0.729871	-1.45731	0.405093	
0.545777	-0.186711	-0.245228	0.522259	
0.125757	1.42742	0.438004	0.33399	
-0.607672	0.0798006	0.621888	-0.229257	
-0.128788	-2.03307	0.0729972	-0.498183	
-0.142788	0.379113	0.13239	-0.305613	
0.451848	-0.795516	0.520018	-0.134965	
0.682769	0.724007	-0.232608	-0.159247	
0.825887	0.567382	1.01848	0.0570876	
1.42574	-0.282443	-0.0614863	-0.131144	
1.23688	-0.88845	-0.0202953	0.0908789	
-0.0732854	-0.150431	0.323975	0.671306	
0.831208	0.232638	0.648183	0.71525	
-0.478492	1.39682	0.507057	0.361722	
-1.14971	-1.31704	0.351438	0.640754	
0.450366	0.851953	-0.367628	-0.853283	
0.925455	0.671001	1.19792	0.439503	
1.43934	0.286441	-0.970984	0.698451	
-0.143199	-0.694595	-0.633369	0.460126	
-0.504913	0.269504	-0.41344	0.581237	
0.545478	-1.53188	0.282132	-0.761542	
0.291736	0.833188	-0.885183	0.184715	
0.0432205	-2.08295	-0.274411	0.870473	
0.779125	0.902589	0.41893	0.286352	
-1.25321	-0.926604	-0.797232	1.04493	
1.0869	-1.51907	0.201199	-0.575241	
0.615654	-0.0186485	0.171072	0.138454	
-0.543577	-0.805483	-0.724979	0.0432801	
0.66459	-0.438096	0.816694	-0.0267192	
-0.0755566	-0.131785	-0.0678225	-0.955644	
0.259857	1.30054	0.323423	-0.196544	
0.209017	0.199458	0.231603	-0.62284	
-2.00955	-0.65942	-0.442424	0.210494	
-0.398783	-1.48286	-0.471577	-0.478095	
0.229835	-0.218556	-0.358303	-0.0575043	
-0.556404	0.924748	0.467236	-0.33399	
0.279355	-0.418224	0.10038	-0.76696	
0.984255	0.292797	0.214195	-0.0813874	
-1.73474	0.603135	-0.635446	0.302833	
0.052157	-0.828718	0.210222	0.786013	
0.0850958	-0.632272	-0.119876	0.49358	
-0.0666352	0.697139	-0.0639981	-0.570999	
-0.0741682	-0.851953	0.0305498	0.378141	
-0.742107	-1.27406	-1.29514	-0.0501073	
0.955643	-1.12875	0.884264	-0.46548	
-0.589617	-1.59382	0.191296	0.118869	
0.061837	-0.270163	-0.158513	0.569073	
0.663947	-0.657732	0.0141218	0.368627	
0.0869746	0.794809	-0.470666	-0.225899	
0.0404388	0.805483	0.0207213	-0.373393	
-0.842247	-0.422104	0.410846	0.175031	
-0.297429	-1.45268	0.509589	0.216622	
-0.831818	0.761765	1.09074	1.05633	
-0.229324	-0.491523	0.745521	0.584814	
0.813554	-1.967	-1.15367	-0.367996	
0.902209	-0.138351	-0.581919	0.421104	
0.194396	-1.56221	0.165363	0.411718	
-0.716176	-1.73384	0.935499	-0.368096	
0.0443617	-0.427443	0.149155	0.441391	
-0.351728	0.0102318	-0.987049	-1.00764	
-0.796992	0.194404	0.508493	0.552357	
0.667866	-0.162646	-0.98508	-0.129931	
0.101468	1.09598	-0.131704	1.0117	
0.611023	-0.914869	-0.0216	1.01638	
0.342351	-1.71531	0.12538	-0.0191084	
-0.708834	-1.12224	0.0892045	-0.787618	
0.157436	-1.59382	-0.0057207	-0.66353	
0.829271	0.789264	-0.803958	0.0546529	
0.320338	0.636268	0.0746724	0.644317	
0.369455	-1.39621	0.283345	-0.793966	
-1.21041	-0.0626529	-0.168701	-0.844491	
-0.384784	-0.882317	-0.0395361	-0.132199	
0.582657	0.937149	0.691952	0.508322	
-2.00509	-2.26032	-1.42338	0.219768	
-0.630584	-0.649246	-0.254599	0.120668	
0.0295047	-1.15421	-0.396655	-0.466371	
0.906078	1.20386	-0.10543	-1.05204	
-0.183307	0.151686	-0.251709	0.846442	
-0.14218	0.0551647	0.397476	0.511505	
1.4725	-1.48945	-1.17204	0.215487	
0.445698	0.158281	0.328121	0.656882	
0.530305	0.973632	-0.190537	0.793461	
-0.466664	-1.55202	1.5135	-0.626448	
-0.538702	0.592596	-0.172495	0.140128	
-0.826545	1.16422	0.058967	0.602304	
-0.097028	0.258178	0.201696	0.140292	
0.0164503	-0.572022	0.353116	0.426154	
-0.181564	-1.12962	-0.01729	-0.0415278	
0.0284758	-1.2681	0.466497	0.387578	
0.32941	1.06165	0.867701	1.17012	
-0.271055	-1.60322	-0.512503	-0.508322	
0.279869	-1.00754	-1.09291	1.04889	
-1.63027	-1.83935	0.65202	-1.3351	
0.572301	0.493329	0.20823	-0.183588	
1.32098	1.75475	0.253942	0.172047	
0.017017	-0.0746191	0.843456	-0.229467	
-0.843843	-0.569881	-0.247172	0.958168	
-0.866557	-1.91991	0.823872	0.168643	
0.982344	-0.0472865	-0.00422724	-0.641739	
-0.179195	1.04431	-0.725927	0.452712	
