ZnA[0]	ZnA[1]	ZnA[2]	ZnA[3]	
0.198374	0.355453	0.24273	0.0952135	
0.191283	0.439484	0.264839	0.415232	
0.18574	1	0.218341	0.350569	
0.251943	0.271936	0.239613	0.197691	
0.0985832	0.0487213	0.252168	0.315337	
0.119481	0.467836	0.215904	0.160498	
0.190388	0.0877915	0.325794	0.253734	
0.0822434	0.675926	0.223096	0.304507	
0.167583	0.795918	0.206435	0.269035	
0.258731	0.266667	0.218311	0.292431	
0.259655	0.238977	0.110424	0.198063	
0.0412443	0.419116	0.206951	0.275994	
0.203008	0.304306	0.285415	0.234215	
0.166032	0.0753086	0.167962	0.160126	
0.13072	0.288864	0.313684	0.279807	
0.0262459	0.32968	0.192654	0.338231	
0.285517	0.449495	0.174456	0.201836	
0.370242	0.3202	0.27279	0.191015	
0.223279	0.210703	0.223549	0.208742	
0.181942	0.332305	0.204966	0.156126	
0.205392	0.495563	0.274535	0.211712	
0.12442	0.554012	0.186065	0.199355	
0.197683	0.747397	0.282927	0.258881	
0.264448	0.330247	0.154427	0.248005	
0.179819	0.371626	0.146731	0.360868	
0.253067	0.587262	0.334256	0.337557	
0.18025	0.0920782	0.206856	0.154618	
0.191935	0.342982	0.320224	0.245051	
0.057754	0.110404	0.271737	0.389033	
0.109111	0.444444	0.247863	0.192494	
0.239869	0.20131	0.224846	0.309293	
0.152963	0.418223	0.263723	0.161828	
0.245778	0.732026	0.228061	0.380455	
0.158074	0.702093	0.284822	0.269506	
0.221808	na	0.301228	0.179826	
0.272843	0.401361	0.226512	0.411725	
0.239141	0.199546	0.289699	0.289541	
0.157453	0.150867	0.285938	0.155212	
0.300611	0.615575	0.306575	0.147691	
0.393638	0.0277778	0.254977	0.295951	
0.13103	0.675926	0.269107	0.367388	
0.226925	0.18451	0.197639	0.275141	
0.0505334	0.379078	0.277591	0.222597	
0.208458	0.311473	0.196046	0.32914	
0.195025	0.529541	0.234906	0.112693	
0.142727	0.267226	0.136244	0.198504	
0.170437	0.290675	0.223513	0.463876	
0.272187	0.0239198	0.292485	0.296094	
0.202364	0.625228	0.240628	0.204133	
0.206935	0.603175	0.422227	0.222034	
0.241184	0.189972	0.195315	0.250878	
0.450556	0.508327	0.299847	0.190546	
0.14538	0.22608	0.312349	0.137735	
0.266793	0.374532	0.256873	0.316038	
0.143932	0.635417	0.320899	0.301233	
0.329724	0.888889	0.218538	0.232026	
0.346995	0.128086	0.164915	0.210083	
0.288195	0.376682	0.157367	0.22425	
0.265802	0.222016	0.228738	0.244794	
0.243334	0.0611405	0.19895	0.324592	
0.206626	0.162616	0.224397	0.432035	
0.100437	0.255952	0.228896	0.187888	
0.282095	0.514109	0.156947	0.258798	
0.30034	0.588992	0.215555	0.17352	
0.0772008	0.307956	0.187709	0.31917	
0.381671	0.148215	0.274211	0.228175	
0.206178	0.586806	0.1952	0.240082	
0.173797	0.167646	0.233146	0.323821	
0.137526	0.270833	0.261084	0.166502	
0.206729	na	0.173873	0.212974	
0.0387754	0.642135	0.330987	0.247673	
0.250053	0.219136	0.276163	0.220085	
0.206223	0.474427	0.195594	0.190196	
0.356394	0.53351	0.221504	0.153663	
0.0813248	0.0802469	0.218477	0.235633	
0.129148	0.201367	0.245719	0.273033	
0.258904	0.642857	0.23095	0.302714	
0.271281	0.196755	0.403469	0.121075	
0.266522	0.259259	0.304349	0.294122	
0.0614853	0.21875	0.365409	0.286695	
0.165726	0.382534	0.258865	0.236547	
0.314819	0.565697	0.231133	0.304266	
0.0263122	0.264298	0.277012	0.373051	
0.101276	0.556379	0.27158	0.240054	
0.24159	0.269778	0.266704	0.122907	
0.227838	0.530864	0.220047	0.350973	
0.211981	0.238095	0.344729	0.208195	
0.26728	0.446819	0.317601	0.335176	
0.21825	0.299383	0.194158	0.341024	
0.335092	0.0498236	0.16401	0.378244	
0.22461	0.0440917	0.281359	0.415104	
0.322973	0.269904	0.289364	0.267466	
0.191911	0.366472	0.38573	0.206595	
0.205153	0.224592	0.154735	0.239001	
0.0984856	0.345054	0.274498	0.234738	
0.280027	0.181364	0.224992	0.352331	
0.117954	0.0123457	0.183591	0.169079	
0.282801	0.321759	0.246485	0.306577	
0.210476	0.553323	0.223184	0.231801	
0.212749	0.446685	0.23564	0.286817	
0.11501	0.184624	0.256878	0.196	
0.420813	0.753086	0.224889	0.217057	
0.261809	0.554444	0.171147	0.325896	
0.203802	0.419165	0.219936	0.296954	
0.317483	0.355413	0.264693	0.170604	
0.213572	0.0843877	0.2251	0.331568	
0.248115	0.264298	0.189094	0.20409	
