Pwh[0]	Pwh[1]	Pwh[2]	Pwh[3]	
0.267857	0.36	0.0627843	0.30485	
0.188312	1.48955	0.0264723	0.136929	
0.0697898	1.42105	0.0433077	0.335025	
0.185897	0.486486	0.0319889	0.146667	
0.113696	0.56962	0.053287	0.128906	
0.167436	0.267857	0.0728488	0.0756881	
0.225389	0.162455	0.0351011	0.202454	
0.082091	1.65354	0.0783201	0.0983607	
0.222734	0.606061	0.0461268	0.176471	
0.100069	0.235602	0.0466111	0.162562	
0.156926	0.288462	0.0441141	0.176471	
0.235986	0.833333	0.0542719	0.0916667	
0.0902677	2.35465	0.0773832	0.102167	
0.058	0.942408	0.0657691	0.101852	
0.0922001	1	0.253045	0.110924	
0.204995	0.542169	0.0614517	0.154026	
0.170957	1.21622	0.0913907	0.4	
0.775796	0.181452	0.0590059	0.0774648	
0.16153	0.292208	0.163378	0.204334	
0.242836	0.333333	0.0292807	0.122905	
0.26476	1.66667	0.040711	0.168367	
0.151621	0.737705	0.0737179	0.142857	
0.140504	0.579399	0.0664847	0.0856031	
0.159516	0.913284	0.0855637	0.153846	
0.104517	0.362903	0.0682155	0.204334	
0.0737038	0.48913	0.0353619	0.131213	
0.129214	1.39535	0.142902	0.112245	
0.162313	1.55172	0.105761	0.151376	
0.0804661	0.261628	0.0599696	0.166247	
0.0967096	0.340909	0.0817132	0.214984	
0.213131	0.789474	0.148971	0.216393	
0.146047	0.714286	0.264621	0.218182	
0.181856	0.208333	0.243663	0.200608	
0.0981277	0.661765	0.0607461	0.156956	
0.232455	1.84932	0.076966	0.210191	
0.108075	0.271084	0.0620434	0.314286	
0.187097	1.44128	0.100364	0.204651	
0.111969	0.685279	0.200523	0.249057	
0.16147	0.296053	0.0302366	0.132	
0.33839	0.352941	0.0662347	0.198795	
0.0755339	1.12033	0.0237603	0.109635	
0.171125	1.19822	0.0742434	0.200303	
0.156616	0.681818	0.0881977	0.154206	
0.185211	0.206422	0.0288612	0.503817	
0.0990663	2.40566	0.0909091	0.102484	
0.101826	0.29316	0.128852	0.137787	
0.123632	0.611413	0.0836047	0.122222	
0.631655	0.725806	0.0825112	0.321429	
0.0945652	0.40724	0.0872589	0.213247	
0.140368	0.279503	0.0537122	0.367347	
0.0956464	0.789474	0.0419612	0.189655	
0.125505	0.661765	0.0326743	0.24812	
0.130181	2.83784	0.0501636	0.163772	
0.083815	0.39823	0.0455145	0.126437	
0.3233	0.983607	0.025672	0.119134	
0.0659991	0.439739	0.0529954	0.326733	
