S[0]	S[1]	S[2]	S[3]	
43	4	148	23	
23	19	104	44	
36	22	160	33	
53	22	130	16	
40	16	178	34	
34	12	122	18	
29	15	155	18	
42	11	117	25	
46	43	143	28	
42	16	132	43	
35	10	140	16	
52	13	127	28	
49	24	136	23	
50	13	103	27	
43	7	195	23	
27	27	119	25	
37	14	142	17	
55	18	158	26	
28	20	125	29	
45	19	92	34	
60	7	73	34	
34	9	96	31	
28	12	126	23	
27	8	135	33	
60	16	125	28	
48	32	159	26	
35	15	106	20	
42	16	102	34	
26	10	117	36	
34	13	163	26	
55	3	101	22	
40	10	142	24	
39	11	112	27	
52	4	118	29	
42	12	133	34	
39	12	98	37	
55	14	122	21	
41	11	103	34	
48	10	159	31	
40	10	123	23	
48	9	135	21	
48	5	115	31	
39	25	136	28	
52	15	140	19	
41	21	147	35	
52	13	141	44	
59	14	128	28	
37	4	139	26	
41	12	118	27	
45	12	128	20	
38	6	127	24	
66	28	111	31	
29	15	145	21	
57	9	144	38	
35	9	142	22	
51	18	156	19	
54	3	138	18	
30	12	151	29	
32	7	166	25	
46	7	103	23	
30	10	100	32	
33	15	133	27	
39	4	120	36	
36	20	163	27	
34	11	157	20	
38	10	120	26	
44	9	125	37	
38	14	136	18	
48	16	130	23	
26	14	99	28	
37	4	122	20	
28	33	144	21	
41	20	97	32	
27	20	85	27	
35	22	86	23	
48	21	150	24	
47	7	133	26	
48	7	152	18	
27	5	117	40	
50	12	159	21	
56	8	150	27	
27	15	174	31	
57	14	118	25	
39	16	118	24	
50	7	125	24	
42	13	133	21	
24	13	138	15	
34	16	146	29	
55	8	150	18	
39	21	147	25	
43	16	138	19	
44	19	113	26	
41	12	140	28	
39	8	148	19	
49	18	142	43	
32	8	132	31	
37	5	135	25	
57	26	134	24	
41	17	159	27	
61	26	119	9	
34	15	188	28	
61	14	126	23	
24	5	118	16	
33	7	190	26	
44	19	98	21	
