ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	
23.4759	3.2	21.808	9.01515	
17.7402	1.91111	43.1703	5.95455	
17.3563	4.62222	23.1196	8.01515	
8.71724	6.28889	18.3297	15.2424	
17.0414	10.8444	37.5833	7.92424	
1.84598	5.8	35.0833	6.87879	
6.08276	22.2222	31.8949	4.24242	
19.7632	2.4	19.5906	6.92424	
9.95402	9.73333	18.8768	9.56061	
5.71264	10.3556	19.9601	9.90909	
9.77701	2.24444	26.7355	8.65152	
9.12414	4.93333	43.1594	8.13636	
12.8598	2.08889	38.0507	6.69697	
5.12644	3.08889	40.6304	11.6212	
11.7632	4.46667	29.529	7.13636	
7.72874	6.15556	26.5399	6.19697	
10.7747	17.4667	43.3587	4.36364	
10.9034	12.1556	36.5471	7.48485	
16.2989	0.0888889	34.8551	9.40909	
11.8253	6.75556	44.8696	12.6818	
13.4483	1.66667	39.4058	5.06061	
7.0023	1.13333	32.2355	9.25758	
12.8989	10.4667	52.2536	2.16667	
21.7057	0.111111	25.413	12.5303	
9.33793	0.155556	49.7717	7.51515	
15.6138	3.13333	26.5326	10.8485	
3.93793	5.57778	30.2717	9.80303	
5.10345	7.71111	32.192	8.54545	
15.0299	10.3556	32.1449	4.30303	
10.0023	2.31111	25.2862	6.83333	
4.62529	4.22222	43.5435	11.3485	
16.0414	1.64444	37.4855	6.65152	
2.6023	17.7333	21.5	7.4697	
20.6069	13.6	35.0797	10.5758	
11.5402	1.02222	48.0543	9.84848	
12.4207	3.48889	46.8696	11.9697	
14.6299	1.73333	43.6594	11.8485	
8.16782	8.8	41.1377	11.7879	
14.4046	9.24444	45.1087	7.42424	
16.8598	2.02222	35.3297	9.9697	
20.108	7.06667	31.3007	4.59091	
14.4345	7.13333	34.0471	7.31818	
9.93563	2.68889	37.4819	9.57576	
5.65517	1.2	23.9203	12.7879	
5.93103	1.31111	28.7283	10.7727	
3.35632	1.68889	20.7428	5.12121	
17.7379	6.6	20.6594	9.0303	
5.11724	4.26667	36.7174	4.83333	
4.82069	14.0667	28.2826	6.19697	
9.32414	4.44444	34.1087	4.5303	
10.2483	4.28889	32.837	9.77273	
4.62299	5.06667	22.0326	10.2273	
5.24368	1.64444	30.337	8.0303	
8.09195	0.2	35.0109	3.37879	
2.05057	12.4	51.9022	6.77273	
6.22989	3.44444	55.3333	6.51515	
9.76552	7.04444	38.7717	2.9697	
19.0046	7.2	27.3007	5.89394	
6.67816	1.37778	34.7101	9.57576	
6.58851	1.75556	20.1993	8.98485	
5.97471	1	30.7609	10.3636	
7.25747	3.53333	39.029	6.37879	
10.708	0.222222	37.1775	11.197	
4.54023	0.977778	49.6087	9.18182	
3.15862	4.66667	41.9674	14.1515	
19.2644	2.35556	37.4167	6.01515	
1.73563	3.55556	35.5761	9.48485	
7.5931	8.13333	42.9674	12.9545	
8.81149	7.95556	35.2935	3.66667	
2.53333	4.82222	24.6196	8.87879	
4.90345	0.488889	38.7935	6.83333	
22.8805	5.97778	48.4239	9.89394	
3.96322	1.53333	32.6014	11.0303	
9.9908	0.688889	17.6775	9.59091	
10.6874	1.53333	24.4094	8.72727	
15.1678	4.08889	45.4855	8.68182	
10.0092	5.95556	71.7862	14.1818	
