Fs[0]	Fs[1]	Fs[2]	Fs[3]	
-1.71999	-2.72754	2.34704	-3.56998	
-0.132747	-0.504029	-2.57116	-5.95648	
-2.97531	-0.0711797	-1.48098	-2.97103	
-3.16032	-2.19978	1.30728	-1.65576	
0.290119	-0.187878	-5.37389	-3.81465	
-4.28995	-1.20348	-0.450573	-2.10973	
-1.82249	1.0055	-4.25962	-1.62757	
-0.09641	-1.27216	3.63183	-3.67167	
-5.59337	0.815947	-4.45078	-2.28099	
-0.0061658	1.8226	0.0444869	-3.58328	
-1.84592	1.80232	-1.28995	-1.16833	
-1.9611	0.313751	-1.50024	-5.23824	
-2.15313	0.713335	-0.777639	-7.84474	
-0.781839	3.47501	-0.167259	-5.39437	
-2.59277	1.23721	0.759669	-0.107301	
-6.16063	-2.45982	-1.71441	-3.11007	
0.517026	-0.938654	-5.09857	-1.95668	
-8.26876	-0.543873	-1.94708	-3.97478	
-1.20621	0.8232	-2.7739	-4.23249	
2.48645	7.51558	-1.01989	-2.80297	
-5.21449	-0.323645	-2.07145	-0.707289	
-1.94483	-0.368142	2.01907	-2.51208	
-6.72403	0.306787	1.94049	-2.3589	
-0.995384	1.19657	-2.09036	-3.03808	
-4.3651	2.67283	-0.944503	0.476921	
1.58664	2.14202	0.769953	-1.13556	
-1.92205	2.17157	0.215276	-3.58328	
-5.83451	3.49347	-1.78651	-4.33056	
-6.2885	-1.46598	-0.00507829	-2.96103	
-3.23648	-2.09575	-2.42172	-3.82944	
0.689959	3.32493	-2.76783	-4.17181	
-3.4697	0.971617	-1.68631	-3.34927	
0.68642	-0.705048	-2.46916	-6.11844	
-5.85016	-1.02304	-2.89269	-3.90483	
-4.02138	-0.661365	-2.49582	-1.72332	
-0.647077	0.491095	-0.18262	-0.360887	
-3.9005	-0.694668	-1.12862	-1.08008	
-3.98487	-2.48322	-5.86497	-1.728	
-2.36162	1.71332	-2.52989	-5.27139	
0.180647	-0.801879	-1.9945	-6.40338	
-0.708983	1.95665	-1.36967	-1.10203	
0.0750607	-1.48324	-2.54586	-4.80911	
-6.02499	0.990922	0.210307	-0.31903	
-1.72024	-0.632991	0.227458	-3.44388	
-2.32271	-0.385452	1.78095	-5.42957	
-1.51048	1.52347	-0.446427	-1.00527	
0.634633	-1.39262	-4.23115	-5.93411	
-6.69101	-1.39262	-0.879389	-0.596754	
-2.3026	1.14552	1.20366	-1.89949	
-1.68233	-0.283187	-0.130427	-3.79995	
-2.95547	0.948883	-2.02907	-1.77066	
-2.95402	5.49785	-1.22686	-4.01453	
1.83109	0.829618	-0.54201	-1.37026	
-1.02401	-1.7795	-3.64482	-1.88637	
-8.7919	0.867626	-1.41262	-5.02375	
-2.45634	-0.105213	1.08111	-2.8841	
-0.370586	-3.46248	-2.53954	-1.94092	
-8.3311	-2.53057	1.67925	0.0286276	
-3.92428	-0.251857	-0.965518	-0.97897	
0.213374	1.46234	-2.52801	-1.85392	
-1.34719	0.480989	1.69816	-3.43493	
-1.36855	-3.15851	-0.875539	-4.26763	
-5.2088	1.35322	-0.349927	-4.99941	
1.49498	0.65735	0.0640068	-1.9779	
-4.45211	2.63618	-3.73958	-6.5046	
-3.87359	2.36219	-2.02373	-1.69384	
-3.51888	0.893957	-1.66439	-4.73329	
1.03422	1.56772	-1.92557	-2.78444	
-5.31015	2.83409	-1.60119	-3.34328	
-2.41609	-1.1634	-0.308186	-3.20988	
-0.41774	0.0722853	0.760197	-3.02692	
-4.45019	-0.325257	-2.02967	-1.99397	
-0.628186	1.15082	-2.31797	-3.3734	
-2.34503	-2.17768	-3.05633	-5.50869	
-5.41746	2.48688	-1.48653	-4.49014	
-0.125405	5.71459	-0.264362	-0.16296	
-2.03744	4.17966	-0.785789	-3.88196	
-3.05832	0.4167	-1.02787	-6.37365	
0.441983	1.17603	-1.99533	-2.58359	
-4.07206	-1.0856	-0.517055	-6.04684	
-1.77319	-2.41008	-4.72691	-3.3018	
0.0608893	0.324527	-1.70685	-3.99754	
0.957146	-0.593814	-1.63283	-2.69515	
-5.1892	0.390095	-3.84233	-3.02044	
-2.35232	-0.166937	0.843123	-2.49216	
-2.58007	-0.171117	0.479113	-4.66909	
-1.64063	0.570599	0.0161269	-2.28291	
-1.42692	-0.214784	-3.43217	-6.10378	
-3.02392	-1.34333	-4.29849	-5.5373	
-3.19824	0.235427	-0.028829	-1.03093	
-1.40209	-3.4235	-4.32182	0.0756995	
-2.92342	0.935184	0.76312	-1.49866	
-3.89908	8.08383	0.145172	-3.31948	
0.548659	-1.22838	-1.34797	-0.983111	
1.75616	0.259172	0.204614	-2.40041	
-1.03765	-0.815009	-0.203326	-2.87318	
-2.44437	0.768978	-2.4785	-1.53642	
-2.49003	6.14666	-1.90542	-2.59079	
-2.43189	2.22538	-0.845659	-0.725082	
-0.585159	-1.50808	0.394814	-6.22308	
-3.62707	3.57805	-7.55618	-6.4334	
-1.94129	-0.496003	-1.11576	-6.13662	
-0.79391	-1.4105	-3.16164	-3.19308	
-3.604	-1.13712	-3.72414	-2.93624	
-3.78899	-0.759769	-3.11882	-5.5014	
-0.718811	0.439122	-1.16185	-6.73951	
-1.47101	-0.0335176	-2.45482	-2.84316	
-5.1035	-0.82403	-0.408612	-0.605382	
-3.45094	-0.0620189	0.684713	-5.11951	
-4.94572	2.27152	-2.08261	-3.22116	
-10.7966	-0.869882	-5.67414	-3.55018	
-3.21777	-0.0767804	-2.20185	-4.28042	
-4.61042	0.818008	-3.75631	-4.32148	
-2.16458	2.20787	0.182858	-2.60977	
-3.25832	-0.263587	-0.323602	-3.7636	
-1.07591	1.34094	1.0607	-0.848127	
0.309742	1.20933	-1.49241	-2.47282	
-1.48705	-2.43481	-2.2602	-3.35528	
-1.71999	-1.41717	-2.96773	-1.51535	
-0.36366	0.477271	-2.84942	-3.86684	
0.652685	-0.303119	0.655778	-3.46003	
-0.549334	-0.27178	0.907847	-1.82033	
-5.40041	0.912362	-3.52089	-3.82203	
-1.95167	0.997065	-1.0583	-4.26287	
-3.01766	-0.50321	0.903284	-5.14395	
-2.2516	0.0519969	-1.33472	0.272495	
-3.47409	-0.214784	-2.72792	-1.834	
-1.24621	-0.694708	-2.12186	-6.08242	
-2.6184	1.1137	0.668666	-6.63057	
-0.230607	0.279264	-0.740603	-2.11026	
-0.669138	0.74148	0.416573	-2.0572	
-0.19079	-1.50712	-1.55683	-0.296522	
0.344945	-2.41008	-2.05865	0.144601	
-0.260176	-3.62503	1.87259	-0.35708	
-1.90731	0.876432	-0.827437	-2.23996	
-0.765299	2.4774	-0.924102	-4.1688	
-2.83732	-1.70851	-3.70059	-4.27602	
-6.40593	0.226124	-0.316181	-4.46125	
-0.485988	-1.21703	-1.98625	-3.65784	
-2.90474	-1.16394	-0.532337	-0.933435	
3.28057	-0.552137	-1.30814	-1.65444	
-2.39161	0.19207	0.0978072	-4.64976	
-1.5807	1.37117	-5.77367	-3.4287	
0.712039	-2.69679	-0.899185	-5.42957	
-0.0829349	0.477271	-2.26907	-1.49038	
-0.504434	1.39203	-7.38347	-2.98108	
0.411367	0.119839	-4.13412	-2.57641	
1.12745	2.17471	-0.442938	-2.32055	
-0.196645	-1.33709	-1.19887	-1.88734	
-0.456738	-0.125609	-1.88291	-4.49292	
-0.252135	-0.166937	-0.968826	-1.75634	
2.24667	-1.00195	0.529354	-2.6867	
-1.42393	1.45174	-0.538076	-3.94344	
-2.81465	-0.686928	0.336428	-3.00294	
-0.515823	1.07182	-2.12296	-4.20623	
-2.90221	0.690592	-0.558424	-3.72071	
-0.72812	-1.46284	-1.16853	-3.94659	
-1.43678	-1.44308	-2.48553	-5.57962	
-2.83427	3.72326	-1.88928	-2.81204	
-3.68722	2.33296	-3.42333	-4.47362	
-3.99855	-2.45224	-0.853738	-2.90069	
-7.39388	-0.471592	0.0228546	1.0636	
-2.60643	2.86131	0.210577	-1.21768	
-3.3696	3.8854	-1.3644	-5.02351	
0.136289	0.00354848	0.374005	-1.49451	
-1.13776	-0.876332	-1.58943	-1.728	
-1.05282	-0.325257	-1.66485	0.326722	
-0.81527	0.108362	-3.11015	-4.78012	
-4.6743	0.619131	-1.82555	-4.02328	
-10.8207	-0.502077	-3.31797	-0.364772	
3.86337	-0.815767	-2.94647	-3.55018	
-0.660535	-1.96374	0.263341	-3.02044	
-3.64269	-2.92289	1.45423	-2.47844	
-5.23684	0.470845	0.00861122	-1.04389	
-5.00758	4.31068	0.05145	-2.7171	
0.287364	1.82754	-3.60548	-3.72305	
0.429477	-1.77476	-5.43539	-6.07349	
0.332221	-0.412562	-0.783007	0.442468	
-4.05886	5.69711	-3.75871	-4.33056	
-2.72658	0.893957	1.18796	-7.20296	
