ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
na	0.264833	0.38	0	
0.114924	1.05933	1.33333	0	
na	0.264833	0.28	0	
0.175819	1.32417	0.673333	1	
na	0.264833	0.08	0	
na	0.264833	0.08	0	
0.00173611	0.529667	0.16	0	
na	0	0	0	
na	0.264833	0.513333	0	
0.337384	1.05933	0.573333	0	
0.0218034	1.32417	1.06	0	
0.00756144	0.529667	0.306667	0	
0.00220788	1.32417	0.473333	0	
na	0	0	0	
0.0118577	0.529667	0.373333	0	
0.0471587	1.32417	1.08	0	
0.0866357	1.589	1.77333	0	
na	0.264833	0.28	0	
0.181296	1.32417	1.32	0	
0.0169271	0.7945	0.893333	0	
0.0728558	1.05933	1.44	1	
0.025974	0.529667	0.5	0	
0.184783	0.529667	0.606667	0	
0.548611	0.7945	1.17333	0	
0.00362319	0.529667	0.233333	0	
na	0.264833	0.153333	0	
0.671053	0.7945	1.28	0	
0.0635522	0.7945	0.92	0	
0.489524	1.32417	1.54	0	
na	0.264833	0.42	0	
0.0824106	0.7945	1.24	1	
na	0	0	0	
0.113343	0.7945	0.44	0	
na	0.264833	0.08	0	
na	0.264833	0.38	0	
0.00173611	0.529667	0.16	0	
na	0.264833	0.513333	0	
0.0234375	0.529667	0.56	0	
0.0100932	0.7945	0.513333	0	
0.228516	0.7945	1.29333	0	
na	0.264833	0.08	0	
0.140625	0.529667	0.813333	0	
0.107143	0.7945	1.11333	0	
0.258625	1.32417	1.44667	0	
na	0	0	0	
na	0.264833	0.513333	0	
0.121575	1.05933	0.946667	0	
0.424343	1.05933	2.00667	2	
0.204545	0.529667	0.72	0	
na	0.264833	0.513333	0	
0.151287	0.7945	1.17333	1	
na	0.264833	0.08	0	
na	0.264833	0.153333	0	
0.00173611	0.529667	0.16	0	
na	0	0	0	
na	0.264833	0.22	0	
0.00132275	0.529667	0.92	1	
0.0284444	1.32417	1.37333	1	
na	0	0	0	
0.431818	0.529667	0.6	0	
na	0.264833	0.153333	0	
na	0.264833	0.08	0	
0.0409207	0.529667	0.606667	0	
na	0	0	0	
na	0	0	0	
0.0340909	0.529667	0.553333	0	
0.503968	0.7945	0.64	0	
na	0	0	0	
0.0104167	0.529667	0.413333	0	
0.0918803	0.7945	0.88	0	
0.00756144	0.529667	0.306667	0	
0.0118577	0.529667	0.373333	0	
na	0.264833	0.513333	0	
0.00267965	0.7945	0.313333	0	
na	0.264833	0.08	0	
na	0	0	0	
0.00568182	0.529667	0.3	0	
na	0.264833	0.08	0	
0.303091	0.7945	0.946667	0	
na	0.264833	0.22	0	
0.124477	0.7945	0.826667	0	
0.305556	0.529667	0.3	0	
0.348008	1.05933	0.966667	0	
0.479641	1.05933	1.39333	0	
na	0.264833	0.08	0	
0.0131579	0.529667	0.46	0	
na	0.264833	0.22	0	
0.0338164	0.529667	0.573333	0	
0.0303854	0.7945	0.853333	0	
0.223602	0.529667	0.573333	0	
0.0885417	0.7945	0.493333	0	
0.0428842	0.7945	0.673333	0	
0.01921	1.05933	0.8	0	
0.291295	1.32417	1.65333	0	
0.21875	0.529667	0.36	0	
0.345356	1.32417	1.49333	0	
0.166667	0.529667	0.413333	0	
0.0118577	0.529667	0.373333	0	
0.00173611	0.529667	0.16	0	
na	0	0	0	
na	0	0	0	
0.0173847	1.05933	0.92	1	
na	0	0	0	
na	0.264833	0.5	0	
0.537037	0.7945	1.04	0	
na	0	0	0	
na	0	0	0	
na	0.264833	0.153333	0	
na	0	0	0	
0.00756144	0.529667	0.306667	0	
0.14966	0.529667	0.793333	0	
na	0	0	0	
0.00362319	0.529667	0.233333	0	
na	0.264833	0.333333	0	
0.0162037	0.529667	0.5	0	
na	0	0	0	
0.288597	1.32417	1.02667	0	
na	0	0	0	
na	0	0	0	
na	0.264833	0.42	0	
0.00756144	0.529667	0.306667	0	
0.0234375	0.529667	0.56	0	
0.519231	0.529667	1	0	
0.00173611	0.7945	0.24	0	
0.0165631	0.529667	0.433333	0	
0.668561	1.05933	0.74	0	
0.343171	1.05933	1.16	0	
0.0409207	0.529667	0.606667	0	
na	0.264833	0.08	0	
na	0.264833	0.153333	0	
na	0.264833	0.153333	0	
0.674479	1.05933	1.52	0	
0.449561	1.589	1.93333	1	
0.0131579	0.529667	0.46	0	
0.00436658	1.05933	0.46	0	
0.00173611	0.529667	0.16	0	
0.00362319	0.529667	0.233333	0	
na	0.264833	0.28	0	
0.161852	0.529667	0.733333	1	
0.00793651	0.529667	0.36	0	
0.0118577	0.529667	0.373333	0	
na	0.264833	0.08	0	
0.0949577	1.05933	1.08667	0	
0.0118577	0.529667	0.373333	0	
na	0	0	0	
0.363426	1.05933	1.2	0	
0.242424	0.529667	0.7	0	
na	0	0	0	
0.0172371	0.7945	0.673333	0	
0.228649	1.05933	0.993333	0	
0.513507	0.7945	1.31333	0	
0.615385	0.529667	1.02	0	
na	0.264833	0.42	0	
na	0.264833	0.28	0	
na	0	0	0	
na	0.264833	0.08	0	
0.519231	0.529667	1	0	
0.489796	0.529667	0.7	0	
0.130435	0.529667	0.653333	0	
na	0.264833	0.153333	0	
na	0	0	0	
0.00362319	0.529667	0.233333	0	
na	0.264833	0.22	0	
0.0896359	0.529667	0.733333	0	
0.00173611	0.529667	0.16	0	
0.00362319	0.529667	0.233333	0	
0.131944	0.529667	0.46	0	
0.369748	0.529667	0.966667	0	
na	0.264833	0.28	0	
0.836601	0.529667	0.933333	0	
na	0	0	0	
0.00607639	0.7945	0.493333	0	
0.246032	1.589	0.68	0	
0.0131579	0.529667	0.46	0	
na	0.264833	0.52	0	
na	0.264833	0.08	0	
na	0.264833	0.08	0	
0.151235	0.529667	0.84	0	
0.197136	1.32417	1.86667	1	
0.0104167	0.529667	0.413333	0	
0.52046	0.7945	0.76	0	
0.00756144	0.529667	0.306667	0	
0.155844	0.7945	1.23333	0	
na	0.264833	0.453333	0	
na	0.264833	0.08	0	
0.100379	0.7945	1.05333	0	
1	0.529667	0.16	0	
0.0217391	0.529667	0.486667	0	
na	0.264833	0.38	0	
na	0	0	0	
0.289049	1.85383	1.91333	0	
na	0	0	0	
0.0217391	0.529667	0.486667	0	
na	0	0	0	
0.0419454	0.7945	0.753333	0	
na	0.264833	0.08	0	
0.234776	1.589	2.24	1	
0.00267965	0.7945	0.313333	0	
0.12518	0.7945	0.873333	0	
0.117477	0.7945	0.78	0	
0.0444711	1.32417	1.34	0	
0.178607	1.05933	0.826667	0	
0.492476	1.32417	1.72667	0	
na	0.264833	0.42	0	
0.0601504	0.529667	0.66	0	
na	0.264833	0.153333	0	
0.289773	0.529667	0.673333	0	
na	0.264833	0.48	0	
0.0100932	0.7945	0.513333	0	
na	0.264833	0.42	0	
na	0	0	0	
0.00586971	1.05933	0.72	1	
0.242424	0.529667	0.7	0	
0.0960474	0.7945	0.74	0	
na	0	0	0	
na	0	0	0	
0.0277778	0.7945	0.693333	0	
0.500868	0.7945	0.24	0	
0.241395	0.7945	0.313333	0	
na	0.264833	0.153333	0	
0.00705424	1.05933	0.533333	0	
na	0	0	0	
0.285395	1.85383	2.44667	2	
0.0507887	1.05933	0.953333	1	
0.137434	1.05933	0.906667	1	
0.0208271	1.05933	0.84	0	
0.00370896	0.7945	0.38	0	
1	0.529667	1	0	
na	0	0	0	
na	0.264833	0.42	0	
0.0767045	0.529667	0.7	0	
0.0540748	0.7945	0.613333	0	
0.369748	0.529667	0.966667	0	
0.0419454	0.7945	0.753333	0	
0.00895141	1.05933	0.766667	0	
0.417503	1.05933	1.52667	0	
na	0	0	0	
0.00173611	0.529667	0.16	0	
0.831495	0.7945	1.35333	0	
0.0424431	0.7945	0.946667	0	
0.0909091	0.529667	0.72	0	
1	0.7945	0.66	0	
0.00173611	0.529667	0.16	0	
0.183007	1.05933	1.62	1	
na	0.264833	0.22	0	
0.230324	1.589	1.28	0	
0.0287419	0.7945	0.886667	0	
0.271245	2.3835	1.57333	0	
na	0	0	0	
na	0.264833	0.52	0	
0.0993432	1.32417	1.60667	1	
na	0.264833	0.08	0	
0.296194	1.85383	1.31333	1	
na	0.264833	0.22	0	
0.00362319	0.529667	0.233333	0	
na	0	0	0	
na	0	0	0	
0.0251898	0.7945	0.853333	0	
0.124109	1.05933	0.846667	0	
0.239418	1.05933	1.08	0	
0.0104167	0.529667	0.413333	0	
0.241071	0.7945	1.26	0	
0.327257	1.32417	0.68	0	
0.0121384	0.7945	0.52	0	
na	0	0	0	
0.113343	0.7945	0.44	0	
na	0.264833	0.153333	0	
0.130435	0.529667	0.653333	0	
0.516369	0.7945	0.673333	0	
na	0.264833	0.28	0	
0.0196078	0.529667	0.533333	0	
0.00173611	0.529667	0.16	0	
0.00173611	0.529667	0.16	0	
0.00362319	0.529667	0.233333	0	
0.547101	0.7945	0.653333	0	
0.500613	0.7945	1.40667	1	
na	0.264833	0.08	0	
0.00568182	0.7945	0.38	0	
0.081672	1.589	1.61333	1	
0.508102	0.7945	0.58	0	
na	0	0	0	
na	0.264833	0.28	0	
0.139241	1.05933	0.946667	0	
0.0118577	0.529667	0.373333	0	
0.00173611	0.529667	0.16	0	
0.00876976	0.7945	0.453333	0	
na	0	0	0	
na	0.264833	0.153333	0	
0.00876976	0.7945	0.453333	0	
na	0.264833	0.153333	0	
0.0793236	1.05933	1.24667	0	
0.0104167	0.529667	0.413333	0	
na	0.264833	0.513333	0	
0.00362319	0.529667	0.233333	0	
0.0104167	0.529667	0.413333	0	
na	0.264833	0.333333	0	
0.00669643	0.7945	0.693333	1	
na	0	0	0	
na	0.264833	0.08	0	
0.00862544	1.05933	0.86	1	
na	0.264833	0.38	0	
0.391234	1.05933	1.63333	1	
na	0.264833	0.48	0	
na	0.264833	0.08	0	
0.0338164	0.529667	0.573333	0	
0.0560808	0.529667	0.873333	1	
na	0.264833	0.08	0	
0.155926	0.7945	0.813333	1	
na	0	0	0	
na	0	0	0	
0.229879	0.7945	1.02	0	
na	0	0	0	
0.537037	0.7945	1.04	0	
0.144744	1.589	2.12	2	
0.0230429	1.05933	1.05333	0	
0.0259936	1.05933	0.953333	0	
na	0.264833	0.08	0	
0.0530303	0.529667	0.593333	0	
na	0.264833	0.153333	0	
na	0.264833	0.08	0	
na	0	0	0	
0.110347	0.7945	1.08	0	
na	0.264833	0.5	0	
na	0	0	0	
0.259259	0.529667	0.92	0	
na	0.264833	0.333333	0	
0.199134	1.05933	1.05333	1	
na	0.264833	0.22	0	
0.0942029	1.05933	0.766667	0	
na	0.264833	0.08	0	
na	0.264833	0.153333	0	
0.211721	0.7945	0.98	0	
0.166667	0.529667	0.413333	0	
0.00362319	0.529667	0.233333	0	
0.135101	1.32417	1.93333	1	
0.0228371	0.7945	0.793333	0	
0.616011	1.32417	1.28667	1	
0.275362	0.529667	0.533333	0	
na	0	0	0	
na	0.264833	0.513333	0	
na	0.264833	0.22	0	
na	0.264833	0.5	0	
na	0.264833	0.42	0	
0.344375	1.05933	0.866667	0	
0.0451389	1.05933	0.62	0	
na	0.264833	0.08	0	
0.00815217	1.05933	0.646667	0	
0.034617	0.7945	0.72	0	
na	0.264833	0.08	0	
0.154859	1.32417	1.05333	0	
0.688057	1.05933	1.34667	0	
0.00568182	0.529667	0.3	0	
0.0530303	0.529667	0.64	0	
0.358823	1.05933	1.15333	0	
0.0885417	0.529667	0.533333	0	
0.0451389	0.529667	0.6	0	
0.392361	1.05933	0.693333	0	
0.120938	0.7945	0.886667	0	
0.580868	1.05933	1.64	0	
0.162075	0.7945	0.52	0	
0.464286	1.05933	1.87333	0	
0.00483631	0.7945	0.44	0	
0.10579	0.7945	0.833333	1	
0.177594	0.7945	0.913333	0	
0.00774045	0.7945	0.453333	0	
0.492695	2.11867	1.66	0	
0.00680916	0.7945	0.58	0	
0.00860337	1.589	1.05333	0	
1	1.05933	1.81333	0	
0.0767045	0.7945	0.82	0	
na	0	0	0	
0.0118577	0.529667	0.373333	0	
0.0277778	0.529667	0.58	0	
na	0.264833	0.52	0	
0.0162037	0.529667	0.5	0	
0.203722	1.589	0.766667	0	
0.361297	1.05933	1.27333	0	
na	0.264833	0.52	0	
0.148659	1.05933	0.933333	0	
0.0353261	0.7945	0.966667	0	
0.292292	1.05933	0.986667	0	
na	0	0	0	
0.02746	0.529667	0.533333	0	
na	0.264833	0.38	0	
0.00793651	0.529667	0.36	0	
0.143308	0.7945	0.953333	0	
0.048913	0.529667	0.633333	0	
0.0320412	1.05933	1.00667	0	
0.00568182	0.529667	0.3	0	
0.361816	1.32417	1.90667	0	
na	0.264833	0.08	0	
na	0.264833	0.22	0	
0.284651	1.589	1.85333	2	
0.21875	0.529667	0.36	0	
0.00568182	0.529667	0.3	0	
0.00362319	0.7945	0.386667	0	
na	0	0	0	
0.00362319	0.529667	0.233333	0	
na	0	0	0	
na	0	0	0	
0.00896991	0.7945	0.58	0	
na	0	0	0	
na	0.264833	0.153333	0	
0.338624	0.529667	0.76	0	
0.105446	0.7945	0.793333	0	
0.240451	0.7945	0.313333	0	
0.0530303	0.529667	0.593333	0	
0.347826	0.529667	0.486667	0	
0.00173611	0.529667	0.16	0	
0.0601504	0.529667	0.66	0	
0.0755208	0.7945	0.893333	0	
0.0187884	1.05933	0.786667	0	
na	0.264833	0.08	0	
0.177632	0.7945	1.11333	1	
0.198507	0.7945	0.853333	0	
0.378428	1.32417	1.53333	1	
na	0.264833	0.333333	0	
0.0505706	1.05933	1.23333	0	
0.0457662	1.32417	1.34667	0	
0.21429	1.05933	0.826667	0	
1	0.7945	1.14	0	
0.0511803	1.05933	1.36	1	
0.108811	1.589	1.44	1	
na	0.264833	0.22	0	
na	0.264833	0.513333	0	
na	0	0	0	
0.294919	0.7945	0.746667	0	
0.00583435	1.32417	0.8	0	
na	0.264833	0.42	0	
na	0.264833	0.08	0	
na	0	0	0	
na	0.264833	0.22	0	
na	0	0	0	
0.233047	1.05933	1.36667	1	
0.0196078	0.529667	0.533333	0	
1	0.529667	0.16	0	
na	0	0	0	
0.536366	1.05933	1.63333	1	
0.0293561	0.7945	0.72	0	
na	0.264833	0.08	0	
na	0.264833	0.22	0	
0.575327	0.7945	1.3	1	
0.113613	0.7945	0.653333	0	
0.034617	0.7945	0.72	0	
0.0046525	0.7945	0.453333	0	
0.278654	1.32417	1.3	0	
na	0.264833	0.22	0	
0.508282	0.7945	0.713333	0	
0.00173611	0.529667	0.16	0	
0.0126812	0.7945	0.566667	0	
0.0346399	1.05933	1.20667	0	
0.215912	1.32417	1.46	1	
na	0	0	0	
0.00362319	0.7945	0.386667	0	
na	0	0	0	
na	0.264833	0.153333	0	
0.122362	0.7945	0.58	0	
0.149463	1.05933	1.12667	0	
na	0.264833	0.22	0	
na	0.264833	0.42	0	
0.0785942	1.05933	1.51333	2	
0.448165	0.7945	1.11333	0	
0.0162037	0.529667	0.5	0	
0.00173611	0.529667	0.16	0	
1	0.7945	1.26	0	
0.0250101	0.7945	0.653333	0	
0.108264	1.05933	1.22667	0	
0.105938	1.05933	1.36	0	
0.0470201	0.529667	0.833333	1	
0.0530303	0.529667	0.64	0	
