FDn[0]	FDn[1]	FDn[2]	FDn[3]	
-0.0367306	0.540395	-0.0637576	-0.40034	
0.283095	-0.628755	-0.242964	-0.0849666	
0.0769384	-0.640112	0.100515	-0.338443	
0.546328	1.20433	0.26931	0.0369688	
0.513326	0.34366	0.313762	-0.241422	
-0.0492385	-0.38531	-0.340632	-0.0103571	
-0.123846	-0.657674	-0.357162	0.906934	
1.02767	-0.735154	0.0335923	-0.992576	
0.839099	-1.34803	-0.479697	0.721449	
-0.300975	-0.367546	-0.0808312	1.11864	
0.0775593	-0.59482	-0.772873	-0.508102	
-0.687433	0.34366	0.488225	0.527797	
-1.21169	0.367662	-0.141445	0.204929	
-0.153957	0.879453	-0.680664	-0.270879	
-0.121985	0.386083	-0.187175	0.403082	
-1.46816	1.20578	-0.334791	0.662978	
0.348119	1.16404	0.797394	-0.604416	
-0.257625	0.838595	0.469703	-0.102389	
0.665203	-0.849905	0.0938832	0.314178	
-1.80467	-0.0904862	-0.287379	0.00542973	
-0.196181	-0.39729	0.215621	-0.0400873	
0.569686	-0.767765	0.241635	-0.257437	
-0.257625	-0.405927	0.718688	-0.0454292	
-0.372505	0.34366	0.2329	-0.300291	
0.263517	0.912108	-0.753609	0.118701	
-2.21023	0.572779	0.316887	-0.319316	
0.833971	0.555881	0.171232	1.11864	
0.0785663	0.174637	-0.0559737	0.312988	
-0.394638	0.174637	-0.818701	-0.320607	
-0.0778101	-1.391	-0.325274	0.666063	
1.26737	-1.83464	0.380025	-0.846142	
-1.95141	-0.33833	0.643105	0.742889	
0.569686	-0.685995	-0.041901	-0.102389	
0.0121839	-1.63436	0.28866	-0.267876	
-0.33324	-0.516089	0.697699	-0.682585	
-0.55183	0.386083	0.133753	0.529684	
-1.3476	-0.660919	-0.60221	0.383019	
0.113339	-0.735154	0.0878915	-1.11333	
-0.361553	0.194399	0.352592	-0.40034	
1.01617	1.04968	0.330401	0.644179	
0.219804	0.653043	-0.26599	-0.166397	
-1.66307	-0.231567	1.03433	0.813402	
0.303741	1.15417	-0.728938	0.186331	
-2.37227	0.449894	0.036275	-0.495705	
0.339084	-0.0239592	0.551937	-0.23186	
-0.955811	1.02623	0.758299	-0.166397	
-0.343236	-1.28357	-0.433173	0.122576	
-1.13065	-0.516089	0.0958144	0.270776	
-1.15597	0.804533	0.0634552	0.354982	
0.828008	1.11819	0.242752	0.0351152	
0.322488	-1.12706	-0.00847568	-0.114533	
0.391322	1.38569	-1.04183	-0.13053	
-0.668624	0.450405	-0.421481	-0.19975	
-0.266347	1.17128	0.669459	-0.427723	
-1.91161	-1.0008	-0.0238929	-0.818984	
0.130267	1.04968	0.610305	-0.213702	
-0.605319	0.376717	0.0878915	0.0857133	
0.70343	0.0311011	-0.907092	-0.46252	
-0.337928	-0.412453	-0.418458	-1.0627	
-0.372505	-0.331813	-0.0679268	-0.43937	
-0.324739	0.618439	-0.00151618	0.723951	
-0.0621449	0.512949	0.485737	0.646958	
0.761332	-0.687177	-1.14984	0.28524	
1.09368	-1.78608	0.705837	-0.270879	
0.828008	1.30011	0.87179	-0.0797166	
-0.551866	-1.13824	-0.230801	-0.0610567	
1.10389	0.34366	-1.23695	-1.3304	
