ZengE[0]	ZengE[1]	ZengE[2]	ZengE[3]	
0.0656261	0.708356	-0.387179	-0.00993024	
-0.345015	0.36051	-0.295162	-1.11712	
0.0400653	1.0001	0.576455	-0.265278	
0.880595	-1.01318	0.261045	-0.109755	
-0.191728	-1.7941	0.0464397	0.678767	
0.500893	-0.281758	-0.716638	-0.265464	
-0.483004	-0.744114	0.666635	-0.0864508	
-0.816607	-1.13969	0.178816	-0.752728	
0.614415	0.327468	-0.00213558	0.17974	
1.17956	0.482039	-0.292501	-0.704006	
-1.2426	-0.893667	1.27362	-0.139494	
-0.0887421	-0.62591	0.610701	0.0684272	
-0.137749	0.0798885	-0.0585592	-0.143561	
0.670445	0.681649	0.305854	-0.890058	
0.550632	1.35409	0.22852	0.994232	
0.190045	-0.0159487	0.111535	-1.27318	
0.828468	0.0227467	0.239325	-0.707864	
0.285915	0.516418	0.394742	0.422843	
0.336301	-1.19089	0.584526	-1.56917	
-0.0299863	-1.01227	-0.748722	-1.28639	
0.769163	0.0488055	-0.0286933	1.39105	
-1.5378	-0.295562	-0.0446802	-0.798162	
1.37588	-1.66058	0.336828	0.62418	
-1.03811	1.0768	0.763273	0.261475	
0.235265	3.56305	-0.866934	-0.689945	
0.515044	0.425824	-0.754621	-0.483548	
-0.809759	0.669155	-0.562508	0.328404	
0.243337	-1.30062	0.16711	-0.438684	
-0.550134	0.679101	-0.566662	0.961643	
-1.10423	-0.807145	-0.155746	0.458024	
0.206076	-1.62606	0.323056	0.678767	
1.71916	-1.50767	-0.0254951	0.072851	
0.195156	-0.456353	0.0386279	-0.463544	
-0.835486	0.015321	-0.337581	-0.410154	
-0.328063	-1.62205	0.0603597	0.217645	
1.0883	-0.642652	0.462588	-1.47977	
-1.84903	0.707094	-0.925954	-0.754832	
-0.109992	-1.01013	0.0749724	-0.90894	
-0.379471	-0.0129031	-0.325092	-0.695546	
0.0443309	1.16677	-0.41953	0.417556	
-0.121583	0.438339	0.083514	0.125984	
-0.560822	0.787682	0.14822	-1.45705	
0.134212	-0.909125	0.192917	0.351241	
-2.04876	1.09169	0.538825	-1.41331	
0.0198982	0.632977	0.0630604	-0.615068	
-0.940706	-1.14593	-0.29083	0.225538	
-1.06095	-1.32045	-0.0736385	0.939255	
-0.0675305	1.62944	1.01609	-0.890058	
0.327129	-0.607401	0.247726	-0.410154	
0.215492	-1.3728	0.185346	0.773741	
0.443473	1.99247	0.555716	-0.0604814	
-1.12318	1.86835	0.0153404	0.365791	
-0.198662	-0.103119	1.1187	0.391462	
-0.397233	-1.18284	-0.0106785	-0.586279	
-1.02121	-0.866346	0.846609	-0.212149	
-0.9212	-1.30036	0.0501419	-0.7482	
-1.2509	-1.81174	0.411674	0.457832	
-0.354604	-1.13613	0.0288158	-0.843545	
0.34827	1.46223	0.812446	-0.052825	
-0.200487	-0.46785	0.897976	-0.647927	
-0.51047	0.619264	-0.686636	0.405829	
-0.678868	-0.416152	-0.336483	-0.837128	
-0.9212	-1.0366	-0.297365	0.0548123	
-0.0145832	1.10482	-0.195321	-1.61563	
-0.321766	1.9707	-0.405064	-0.765598	
0.156932	-0.744114	0.169245	0.16192	
-1.19751	-0.514782	0.111445	0.291908	
-0.285899	-1.0366	0.233665	-0.408197	
-0.258544	-0.648611	0.370053	-1.19436	
0.380782	-0.295562	-0.456156	-1.03795	
-0.093649	-0.681312	-0.413791	0.111757	
-0.0498609	-0.28709	0.935001	0.62418	
1.33106	-1.29268	-0.576507	-0.0286303	
0.650697	0.924172	-0.36756	1.78646	
1.23656	-0.906881	-0.489096	-0.245618	
0.235265	0.0783149	0.526008	-0.868397	
0.112828	-2.00432	-0.0817586	-0.609619	
1.26168	0.601083	-0.38474	-0.196268	
0.666318	0.80838	0.408434	-0.393821	
-0.368115	-0.106329	-0.622586	-1.30153	
0.696963	-0.196709	-0.24303	0.0649256	
0.23626	0.298153	0.179254	1.11996	
0.46633	0.734682	-1.32838	0.0669527	
0.48424	0.811652	-0.288445	-0.417137	
-0.781033	-0.285138	-0.391364	0.17974	
0.610525	-2.0947	-0.203017	1.0003	
-0.294474	-0.17297	-0.28807	0.0161348	
-0.79245	-1.73317	0.614466	-1.44831	
0.442598	-1.18579	-1.07638	0.247847	
-1.04001	0.480103	0.312146	-0.242891	
-0.403963	-0.744114	0.274612	0.332542	
-0.243288	-0.666704	1.04995	0.615264	
-0.854511	-0.207993	0.480163	0.217645	
1.09397	-1.18284	0.472533	1.58593	
-1.3369	-0.737037	0.39335	-0.265278	
-0.873301	1.2721	-0.865212	-0.0469683	
-0.248806	0.317871	-0.348704	0.00750046	
-0.557628	-1.62157	-0.497781	-1.11437	
-0.606483	0.696627	-0.322876	-0.0631943	
-1.0604	1.33232	0.717643	-0.631339	
-0.768973	-1.01227	-0.636144	-1.23146	
0.807341	-0.075196	0.0735831	-1.21437	
-0.126375	0.520518	0.517277	0.557386	
0.286517	-0.514782	-0.0595259	0.982975	
0.992672	1.29213	-0.111475	0.342189	
-0.912336	-0.829372	-0.0850836	1.22063	
0.159848	-1.01726	0.176637	-0.393692	
0.55085	-1.01227	-0.283233	0.107936	
-0.633113	0.0408565	-0.11313	-0.0864508	
0.861783	-0.972511	-0.614385	-0.564032	
-0.550091	-1.22171	-0.994967	0.143545	
-0.402026	0.480913	1.24396	-1.65102	
-1.42103	-0.563741	0.0260132	-0.504526	
0.803408	-1.01143	0.76363	-0.932181	
0.0266944	0.526484	-1.00949	0.317845	
-0.323788	-0.429395	0.529423	0.182855	
