H[0]	H[1]	H[2]	H[3]	
3.04368	2.22222	1.78261	-5.15152	
-1.83908	1.51111	-8.94928	0.0606061	
1.10345	-10.8444	5.46377	-1.66667	
-4.89195	1.95556	-9.27536	2.27273	
-4.12874	-6.93333	-8.89855	3.33333	
0.947126	0.355556	2.84783	-1.66667	
0.652874	-0.977778	6.65942	-2.30303	
4.27586	-12.4444	-7.88406	1.75758	
2.78621	0.533333	13.8841	3.18182	
3.10805	1.15556	-4.87681	1.36364	
2.16092	1.51111	-0.666667	0.515152	
-6.53793	-7.28889	10.0942	-0.333333	
0.450575	1.68889	3.19565	0.121212	
2.85057	-4.44089e-16	7.34783	3.21212	
1.88506	1.68889	-21.6304	-1.63636	
0.045977	1.42222	-0.195652	-0.818182	
4.27586	0	-7.45652	3.39394	
0.0367816	-1.86667	2.36232	-0.69697	
4.47816	-2.66667	12.6304	0.666667	
3.6046	4.08889	1.47826	0.030303	
-3.33793	1.6	4.02174	-0.393939	
1.71034	0.444444	-6.44203	1.60606	
6.64828	2.13333	-3.07971	0.636364	
-3.75172	-1.06667	7.8913	-0.484848	
-11.108	0.711111	-14.558	-4.33333	
-0.321839	0.8	-10.8623	-0.363636	
-0.101149	0.711111	-2.8913	-1.72727	
-3.28276	0	4.71739	0.848485	
-1.61839	0.355556	-5.18841	-0.212121	
3.07126	-5.86667	2.21739	-0.454545	
2.98851	-1.86667	-5.63043	-3.51515	
-6.63908	-4.44444	5.52174	-1.75758	
3.83448	-6.66667	10.3116	0.424242	
0.367816	-1.51111	-2.68116	2.30303	
-0.974713	1.95556	-7.75362	-2.27273	
2.75862	-5.77778	-1.27536	0.151515	
4.12874	0.444444	-14.5652	-2.54545	
2.33563	2.57778	-6.24638	1.87879	
3.29195	2.66667	-13.5435	2	
1.17701	0.711111	-8.44203	-0.212121	
2.05977	-5.6	12.913	3.30303	
2.17011	1.33333	-13.5507	-0.484848	
1.13103	-4.08889	11.0217	-6.54545	
2.74943	-1.51111	-7.4058	1.45455	
3.92644	1.51111	2.57246	-1.63636	
-2.2069	1.24444	2.46377	-5.36364	
5.30575	2.04444	-7.31884	-2.81818	
2.37241	-3.64444	3.23188	0.69697	
-7.91724	1.68889	2.01449	0.606061	
-2.95172	0.266667	8.5	-3.78788	
1.83908	1.51111	1.00725	2.69697	
1.27816	0.622222	7.31884	2.33333	
-0.450575	2.22222	0.753623	-0.393939	
-15.1632	3.11111	-0.362319	-0.878788	
-0.377011	1.42222	2.05072	-2.15152	
-5.41609	1.33333	9.75362	-2.27273	
0.671264	0.177778	-3.15217	0.272727	
5.08506	0.533333	-5.05797	2.87879	
3.56782	-2.84444	2.30435	-2.90909	
6.77701	-8.88178e-16	8.45652	0.484848	
-9.28736	1.33333	0.471014	1.21212	
2.46437	3.28889	-0.768116	-2.45455	
2.52874	2.13333	9.42029	-3.36364	
0.450575	-0.8	-5.3913	-2.48485	
1.82069	1.24444	4.33333	-0.333333	
2.86897	1.95556	-5.13043	1.87879	
2.97011	0.533333	2.14493	-2.75758	
4.34023	-1.15556	6.23913	-0.757576	
-4.71724	1.77778	-8.21014	-0.727273	
1.29655	-0.888889	0.586957	3.69697	
2.53793	1.24444	-9.51449	2.39394	
4.26667	-14.4	3.75362	-3.9697	
1.70115	3.91111	8.05072	-1.51515	
0.845977	-3.37778	5.66667	1.48485	
1.11264	-0.8	9.86232	-4.33333	
0.597701	-0.444444	-20.413	4.27273	
1.95862	0.8	-4.86232	-4.33333	
2.75862	0.622222	-1.43478	-13.0606	
2.97011	2.04444	7.82609	4.63636	
2.57471	-1.15556	-1.52174	-1.12121	
-4.81839	-3.46667	5.27536	-5.84848	
-0.662069	0.177778	0.514493	1.51515	
2.28046	-1.06667	-3.72464	0.727273	
4.45977	0.533333	9.25362	-0.393939	
3.27356	-0.355556	6.74638	2.87879	
-5.87586	1.06667	5.01449	-0.030303	
1.83908	0.622222	8.07971	0.909091	
3.30115	0.177778	-1.24638	-5.06061	
-1.04828	-3.2	3.18116	-1.75758	
-0.956322	2.4	3.55797	-3.51515	
-1.28736	0.0888889	1.23188	-2.75758	
-14.7494	-0.977778	-0.0724638	1.84848	
-8.7908	3.11111	-8.60145	-2.09091	
3.26437	-1.68889	4.81159	2.60606	
1.71034	-0.977778	-6.68841	-2.09091	
1.31494	-8	1.89855	-2.81818	
-3.06207	2.22222	-2.85507	-2.0303	
2.65747	0.266667	5.81159	-1.48485	
-8.43218	1.24444	-9.39855	-4.87879	
3.81609	0.444444	2.18841	-1.72727	
3.54943	0	11.7464	-2.54545	
-1.5908	0.266667	-10.1884	3.0303	
-3.2	3.46667	1.9058	-2.06061	
2.21609	1.06667	5.74638	1.09091	
3.78851	2.31111	8.01449	0.787879	
-7.4023	0.533333	4.36232	2.42424	
5.91264	0.444444	-15.1449	-3.54545	
0.156322	0.888889	6.0942	-0.424242	
-1.82069	2.13333	-6.12319	0.878788	
-14.731	1.86667	-1.94928	1.48485	
1.41609	-0.533333	3.66667	2.36364	
1.42529	0.355556	4.57971	4.33333	
0.432184	2.22222	-5.67391	0.515152	
-2.64828	1.68889	3.92754	-1.24242	
