TD[0]	TD[1]	TD[2]	TD[3]	
-0.0659477	-0.385462	0.152026	0.618938	
-0.984516	-1.40369	0.411463	0.123924	
-1.47683	-0.0393711	-0.780305	0.902023	
-1.01084	1.58816	-0.534934	0.752551	
-0.830368	-1.56043	-0.389355	-0.175085	
0.443451	-1.55676	-0.0172414	1.28091	
1.23216	-0.741512	0.108188	0.668307	
-1.58722	-0.191158	0.176974	-0.571742	
-1.17217	-0.174103	-0.44008	-0.201262	
-0.307734	-0.0249628	-0.159162	-0.329339	
-0.111888	-0.227535	0.100734	0.038485	
0.653018	1.10727	-0.356075	-0.394749	
-0.375283	-0.308424	0.615715	-0.141727	
-0.590775	0.93172	-0.332223	0.369478	
-0.315252	0.0242237	0.552159	-0.834702	
0.247273	0.070655	0.347099	0.634654	
0.190605	0.439916	0.265228	0.452226	
-1.31589	0.0276073	-0.402567	0.198923	
0.00854824	1.45932	-0.168317	-0.0588193	
-1.30382	-1.22774	0.426536	-0.0300004	
-0.180014	0.405194	0.353787	0.342976	
-0.201379	-0.682351	-0.505719	-0.00881483	
-0.477935	-1.29864	0.585737	-0.902656	
0.737982	0.603793	-0.411807	0.739152	
0.554659	0.698535	0.0534535	-0.675186	
-0.165925	-0.203435	0.53646	-0.174336	
-0.246974	-0.853564	0.263818	-0.866231	
-0.137238	1.70643	0.10467	0.42784	
0.609909	1.96676	0.197523	-0.851545	
-0.0116307	-0.188464	0.15882	-0.282028	
-0.318703	-0.460011	-0.195474	0.330578	
-1.14967	-0.141235	-0.305455	0.129595	
0.211888	-1.7399	-0.160445	-0.035714	
0.677583	-1.8827	-0.781251	-0.228148	
-0.517544	-1.74186	0.319355	0.25573	
0.0675957	-1.63318	0.632287	-0.73463	
-0.410963	-1.33011	0.415439	0.742415	
0.447406	-0.391131	-0.409043	0.178564	
-0.169189	0.250767	0.546607	-0.154427	
0.585907	-1.50316	-0.286955	0.24153	
-0.318646	-1.38265	-0.134703	-0.0929986	
0.210778	0.64626	0.674365	1.00803	
-0.777494	1.40286	-0.0656264	0.0924498	
-0.525554	1.36069	0.285362	-0.417729	
-0.138386	0.851466	-0.414784	-0.39296	
0.454801	-0.532849	-0.4264	-0.419656	
-0.0930637	0.336312	-0.982804	-0.0235423	
0.444399	0.00184262	0.0504471	0.379459	
-1.24194	-0.463987	-1.09911	0.566501	
0.444517	0.28213	0.25608	0.445135	
-0.537687	-0.0393711	0.249712	-0.104877	
0.13855	-0.0505539	0.53203	0.263596	
0.603727	0.830965	-0.494928	-0.543697	
0.107098	-0.143098	-0.445247	-0.182824	
0.90817	0.320831	-0.287489	-0.0552751	
0.222933	-1.79631	0.258188	0.665052	
-0.276956	0.959163	0.639446	-0.268481	
-0.381556	-0.629369	0.671142	-0.0991471	
-1.40638	0.665995	0.201362	-0.675186	
1.37827	-0.505829	-0.165644	-0.370038	
0.493588	0.625888	-0.00883288	-0.480795	
0.381071	0.887845	-0.82473	0.143134	
-0.153941	0.331501	-0.458813	-0.591199	
0.0698757	-0.157878	0.676727	-0.490962	
-0.464703	-1.22916	-0.609101	-0.201413	
0.697576	0.432356	-0.19933	0.105712	
-0.0349901	0.270329	0.259509	0.28194	
1.03543	0.168421	-0.0154299	0.121876	
-0.577696	-1.70072	0.202435	0.681753	
-0.476295	0.57619	-0.84061	0.867824	
0.293667	-0.485685	-0.061755	0.103011	
-0.21183	-1.68719	0.590594	-0.504393	
-0.673451	0.097434	-1.07676	-0.583893	
1.04931	-0.657484	0.274079	0.442847	
-0.950635	0.0816831	-0.0518957	-0.121633	
0.228181	-0.399905	-0.603725	0.265327	
0.557353	1.64018	0.0853237	-0.334919	
-1.48761	0.761073	-0.00870168	-0.614176	
0.614255	-1.48597	-0.256055	0.233717	
-1.012	-0.920649	0.23022	-1.08478	
0.0382741	0.593072	-0.370495	0.732543	
-0.0800451	0.367155	-0.426634	-0.698286	
0.0204478	-0.209346	-0.190485	0.505142	
-0.243559	1.45698	-0.222075	-0.170558	
0.8582	0.276737	-0.660499	-0.246598	
0.493626	0.190062	-0.97411	-0.438416	
0.290312	-0.347444	-0.155634	-0.413058	
-1.10254	-0.23734	0.137357	-0.144313	
0.13653	0.296489	0.18402	-0.596793	
-0.58904	0.3982	0.389366	0.215065	
-0.0864697	0.0679494	-0.062847	0.334457	
-0.105784	0.364296	0.0872544	0.0842796	
0.196781	0.872847	0.219311	-0.372233	
0.615521	-0.0682021	-0.0499269	0.473255	
0.0552169	0.812209	-0.207837	0.798925	
0.547576	-1.90129	-0.577515	0.249611	
-0.301116	-0.347444	-0.35497	0.139592	
-0.488272	-1.90129	0.0121647	0.0368433	
0.00850659	-0.199408	-0.397665	-0.303989	
0.951506	0.523355	-0.198154	0.952769	
0.112437	-1.24468	0.638201	-0.119717	
-0.306197	-1.05309	-0.35764	-0.123973	
0.453431	0.181403	-0.571705	-0.345575	
-0.779742	-0.582621	0.88773	0.18445	
-0.0412355	-0.720612	0.284198	0.372357	
0.582745	0.667949	-0.283806	-0.77205	
-1.02957	-1.636	0.636125	0.56695	
-0.547105	-1.65936	-0.576694	0.784273	
-0.340757	0.228683	-0.375414	0.92435	
0.0174181	-1.39515	0.331059	0.21607	
-0.825866	1.22414	-0.383591	0.203982	
1.21851	-0.539275	-0.428884	-0.207814	
1.12342	-1.23913	-0.906635	-0.786312	
0.325699	-0.242511	0.814628	-0.198298	
-0.339675	-1.18033	0.194161	0.376973	
0.441415	1.51111	0.25694	-0.0593905	
-0.496027	-1.26884	0.223591	-0.295732	
-0.795862	-0.317553	0.588228	0.304263	
-0.908305	0.0259535	-0.38953	-0.0059038	
0.834773	0.388196	-0.465017	0.0299409	
0.237188	0.00463934	-0.128001	0.0631073	
0.05989	2.0539	-0.538085	-0.241709	
-0.250442	-1.07328	0.367254	-0.238085	
-0.0317977	-1.07966	0.84	-0.143291	
-0.597961	-0.107414	0.967417	-0.463304	
1.06516	1.48219	0.301649	0.0641143	
-0.228937	-0.0554465	-0.656682	-0.0380173	
0.0899578	-0.360887	-0.264882	0.156555	
-1.42125	0.928868	-0.143582	-0.861319	
-0.148898	-0.371981	-0.768612	-0.536326	
-0.695814	-0.144255	-0.433684	0.0883111	
0.147515	0.830965	-0.0828822	-0.875234	
0.100823	-0.577181	0.109172	0.470615	
-0.574885	0.641667	-1.71494	-0.0380173	
-0.879313	-1.48255	-0.126805	-1.0774	
0.211377	-0.43442	0.361251	-0.466265	
-0.872017	-1.44075	0.48123	0.11479	
0.194703	-0.166071	0.382024	0.265327	
0.719744	-0.0661191	0.541055	0.763401	
-0.346645	-0.353484	-0.401086	0.38925	
1.17152	-1.81268	0.538346	-0.224064	
-0.35859	-0.809554	-0.525299	-0.379816	
-0.39144	-0.573119	-0.330612	-0.318525	
0.0673881	-0.536741	0.783896	0.75758	
1.21847	-0.54903	-0.000946459	-0.0601767	
-0.0851779	-1.57194	0.126493	-0.113925	
-0.268463	-0.452582	-1.10584	0.617723	
0.621868	-1.84962	-0.0952938	-0.192613	
0.722565	-0.00527422	-0.476216	0.339381	
-0.578291	-1.30997	-0.77904	0.27717	
-0.0698093	-0.186514	-0.035307	-0.58307	
0.782261	-0.42761	-0.696264	-0.202026	
-0.094942	-0.186514	-0.0610619	0.764538	
-1.13233	-0.144255	-0.30303	-0.0846394	
-0.399449	-0.419852	0.569145	-0.018812	
0.0680838	-1.12745	0.840992	-0.0433015	
-0.564926	-0.495928	0.151584	-0.458005	
0.252536	-0.0393711	-0.52848	-0.204082	
-0.408524	-0.0345767	0.516865	-0.571742	
0.273158	1.5645	-0.809994	-1.04783	
-0.43008	0.688991	-0.425933	-0.575345	
-0.147428	-0.850104	-0.518586	-0.23007	
0.467336	-0.315074	-0.553984	-0.299169	
1.02932	0.14927	0.160436	-0.0674485	
-0.435162	1.00122	0.2918	-0.140024	
-0.747195	0.0930691	-0.149792	0.0292908	
0.128853	-0.0053987	-0.175892	0.521511	
1.44809	-0.685702	-0.100883	-0.728448	
-0.226011	-1.38818	-0.311459	0.235253	
0.0954562	-0.105814	0.0578649	0.491236	
-0.548094	-0.739015	-0.843821	-0.0764577	
0.173222	1.19628	-0.202716	0.372633	
-0.658494	0.382152	-0.132798	0.0409549	
0.401076	0.899706	-0.717608	0.249611	
-0.490309	0.250767	0.254395	0.265327	
-0.494995	1.67704	-0.626267	0.750479	
0.129675	-0.0327343	0.324709	-0.52134	
-0.0812586	0.873613	-0.0189304	-0.237588	
-0.0475344	-0.611507	0.670083	0.568549	
-1.38112	-0.683422	-0.0997812	0.200759	
0.181357	-0.392019	-0.326948	0.279874	
0.696015	-1.14437	0.0998783	-0.229517	
-0.882011	0.192083	0.357306	-0.366805	
-0.265343	0.193142	0.292494	-0.319423	
0.497259	0.818833	-0.556306	-0.048679	
-0.935738	-0.494811	0.295132	-0.155831	
-0.146142	0.718273	0.23	1.06998	
0.695922	0.24725	-0.460548	0.586021	
0.501063	0.699617	-0.533941	-0.403547	
-0.558773	-1.40979	-0.460014	0.173502	
0.191376	-1.7297	0.471957	-0.551714	
-1.25424	0.0224807	0.558896	0.960931	
1.01047	-0.783184	0.204892	0.116024	
0.329168	-1.39161	0.326184	-0.0684047	
0.572921	0.0407066	0.750244	-0.597791	
-0.526075	-0.574611	0.617768	0.233376	
-1.26845	-0.118403	-0.943175	0.608529	
0.75627	-0.422151	-0.168103	-1.09411	
-0.714591	-0.564364	0.139739	-0.342576	
1.43418	-0.0370213	0.361954	0.397872	
-0.0732771	-0.156606	-0.506816	-0.443205	
-1.42204	0.128583	0.422885	0.426239	
1.03409	0.624223	-0.31746	0.148816	
-1.02799	0.973088	-0.0102977	-0.310083	
0.275577	0.527643	0.479406	-0.0907053	
-0.746588	1.84427	0.662561	0.18989	
-0.795272	-1.39868	-0.863988	0.105473	
-1.33461	-0.749527	0.197801	0.304263	
-0.0753048	1.26968	0.303265	0.294797	
1.17218	1.53882	-0.0166748	-0.111399	
0.0867361	-0.701608	0.0188474	0.0165535	
0.398349	1.08144	-0.415101	-0.332216	
0.0100466	0.0828215	-0.457177	-0.576618	
0.513169	1.46985	0.427562	-0.129896	
-1.12572	-1.10605	0.127837	-0.866033	
-0.0806709	1.64708	0.377904	-0.344982	
-0.776715	-0.50775	-0.193371	0.0136986	
-0.196697	-0.149397	-0.579809	-0.426736	
0.187275	0.00625143	0.0564575	-0.624833	
-0.708021	-0.212339	0.49974	-0.276878	
-0.477935	0.312712	-0.579067	1.03053	
0.662608	0.364296	0.0188616	0.571821	
1.64116	-0.75469	-0.825549	0.128221	
1.57504	-1.37167	0.492447	-0.182581	
1.55083	1.48556	0.578425	-0.196996	
-0.221586	-0.698531	0.293605	0.126684	
1.17571	0.834033	-0.787782	-0.995867	
-1.35877	0.809216	-0.553909	0.333157	
0.870049	0.0280741	0.444157	0.559545	
0.522582	1.39422	0.507411	0.274013	
0.45097	0.208992	-0.738306	-0.436475	
-0.061006	-1.45393	-0.0335602	0.241753	
0.343045	1.23393	-0.208121	-0.377288	
0.883353	0.811243	-0.327273	0.636067	
-0.0539942	0.151459	-0.0145579	0.416676	
-0.0842218	-0.425661	0.262883	0.631081	
0.676612	-1.75538	0.540543	0.861601	
0.442735	-1.5362	-0.287947	-0.0940962	
0.239285	-0.03786	-0.527121	-0.248681	
0.67806	0.239455	-0.0315051	-0.153249	
-0.166146	0.977836	-0.0678482	-0.201262	
0.206571	-1.92458	-0.644809	-0.347673	
0.609681	0.400733	-0.0632434	0.461933	
