S[0]	S[1]	S[2]	S[3]	
41	15	120	24	
29	17	78	38	
31	24	153	26	
35	22	135	20	
34	16	143	30	
29	14	118	21	
45	23	105	24	
26	20	132	31	
63	9	103	34	
31	8	93	28	
40	12	121	15	
49	19	132	22	
17	12	85	21	
35	16	122	12	
48	11	123	29	
36	27	182	29	
39	15	133	26	
60	9	136	25	
29	21	133	34	
46	17	106	30	
27	13	150	27	
42	16	148	32	
48	16	122	27	
39	14	139	25	
14	17	154	42	
51	6	133	22	
30	21	143	47	
32	18	166	25	
32	14	118	37	
65	12	118	32	
31	16	100	20	
55	12	111	17	
42	8	119	25	
42	17	122	21	
41	8	121	31	
31	6	107	22	
42	13	105	29	
63	19	123	19	
34	12	152	34	
30	12	128	31	
32	7	117	21	
44	18	106	32	
65	22	134	34	
48	10	125	24	
41	8	133	22	
43	27	132	20	
68	19	113	29	
43	5	105	11	
36	6	120	28	
48	9	116	23	
33	10	112	37	
34	20	113	16	
53	7	115	26	
25	17	130	26	
51	13	109	33	
52	45	132	24	
30	27	120	26	
54	13	147	31	
32	12	99	25	
24	10	174	27	
34	10	144	31	
30	12	123	35	
38	10	131	35	
36	13	122	18	
43	24	151	23	
23	16	138	28	
56	3	132	14	
44	3	124	16	
33	16	137	24	
50	15	144	16	
21	4	137	31	
34	5	168	26	
27	16	123	38	
42	23	149	35	
44	17	135	25	
37	16	116	22	
49	19	139	26	
22	29	137	31	
36	23	148	19	
35	26	122	20	
23	11	122	23	
46	3	118	22	
29	11	146	36	
24	5	198	29	
27	2	163	20	
32	8	113	27	
35	23	166	30	
25	21	126	18	
36	26	181	17	
42	4	171	31	
44	22	112	23	
39	4	96	32	
40	12	140	35	
31	9	159	33	
29	23	165	17	
43	7	139	38	
38	13	103	17	
19	14	102	18	
38	21	145	26	
29	13	118	40	
37	8	155	28	
40	14	128	27	
31	14	133	26	
36	5	122	29	
47	10	156	32	
40	10	120	24	
31	16	101	32	
68	29	139	25	
29	7	148	17	
47	16	71	18	
36	14	142	26	
42	18	163	24	
31	22	151	17	
34	19	108	18	
43	23	151	24	
53	16	127	19	
49	14	126	23	
45	4	125	28	
49	33	120	21	
54	6	151	21	
46	10	135	22	
51	13	196	28	
36	11	98	19	
33	8	173	26	
39	11	117	22	
58	15	123	25	
45	26	121	30	
62	25	157	16	
45	9	131	29	
42	12	161	30	
39	18	165	23	
31	17	116	22	
22	11	153	20	
41	25	128	19	
40	32	129	27	
62	20	128	29	
41	5	109	25	
35	14	153	33	
50	18	102	31	
43	16	125	41	
46	8	146	21	
22	12	116	49	
44	19	131	40	
52	13	109	24	
38	7	139	22	
33	20	122	17	
54	6	149	22	
39	16	118	24	
55	21	158	19	
39	14	140	28	
55	7	125	39	
34	24	136	32	
27	17	85	25	
53	9	158	24	
44	4	120	32	
41	15	146	27	
28	27	118	31	
34	19	118	25	
41	9	150	21	
29	16	131	21	
28	13	103	20	
36	30	151	20	
34	7	116	20	
44	16	117	16	
40	14	130	28	
28	12	133	41	
39	13	156	22	
23	13	116	28	
22	12	90	24	
45	23	107	29	
30	15	142	26	
40	4	121	32	
21	9	135	26	
17	27	187	22	
38	11	114	28	
43	14	122	23	
24	14	135	21	
66	11	100	26	
54	13	151	29	
37	8	108	24	
30	27	118	25	
26	6	94	17	
32	8	136	31	
41	7	94	15	
32	24	163	25	
45	17	124	32	
29	12	202	39	
48	6	105	24	
40	13	113	25	
40	18	84	25	
33	3	144	24	
32	6	145	18	
23	12	141	26	
38	5	137	18	
68	6	129	26	
37	12	123	18	
29	6	118	31	
21	16	96	30	
35	21	147	29	
36	8	121	28	
52	20	110	27	
26	28	118	18	
36	15	100	26	
36	18	153	16	
35	12	109	27	
44	18	131	23	
50	11	146	25	
47	12	96	29	
45	30	120	22	
40	15	147	28	
63	13	128	20	
33	28	165	23	
35	27	127	19	
39	10	127	28	
30	16	147	27	
36	8	122	28	
48	19	145	32	
39	21	147	29	
36	7	70	38	
45	28	118	16	
48	9	102	25	
31	16	158	31	
49	28	141	26	
38	13	102	31	
56	11	136	15	
32	19	156	12	
29	5	111	30	
22	11	152	15	
44	16	116	30	
33	11	114	20	
26	9	159	26	
46	12	122	34	
46	11	129	29	
47	19	144	34	
27	8	150	19	
38	11	128	16	
33	26	125	26	
44	25	140	32	
32	6	117	27	
48	9	154	41	
20	16	168	25	
51	18	121	26	
29	21	98	41	
28	16	112	39	
31	12	123	33	
23	11	114	45	
49	10	157	29	
42	9	124	25	
58	7	136	21	
29	6	140	28	
37	15	108	19	
31	2	167	16	
46	23	121	29	
45	19	93	20	
37	7	152	17	
37	16	132	27	
44	7	109	21	
34	19	133	27	
39	10	136	9	
43	12	108	19	
24	17	152	27	
40	18	119	31	
36	24	166	18	
21	17	153	25	
32	8	176	23	
46	5	149	21	
42	16	165	28	
36	16	146	24	
42	29	165	21	
34	12	137	32	
43	6	111	23	
41	12	141	29	
35	36	161	28	
35	20	157	34	
55	14	147	18	
57	12	118	19	
44	20	139	27	
69	10	119	21	
44	13	161	14	
36	7	135	33	
41	22	90	28	
50	17	110	26	
40	20	132	19	
30	16	114	25	
35	9	138	19	
56	5	156	21	
42	19	86	39	
33	7	109	27	
34	10	139	23	
41	15	149	25	
20	31	133	29	
54	14	101	29	
42	6	124	24	
33	13	136	25	
49	24	128	36	
54	5	119	16	
52	18	123	16	
21	15	118	39	
43	6	107	39	
36	8	118	13	
37	10	135	25	
44	21	165	29	
42	4	131	24	
37	26	140	24	
33	13	135	22	
35	18	112	49	
37	13	86	21	
33	6	157	17	
50	4	164	24	
47	12	152	17	
43	5	111	27	
45	17	185	41	
28	10	94	22	
36	12	126	33	
27	11	141	26	
43	20	109	23	
23	13	126	17	
36	11	101	22	
36	13	133	28	
28	14	139	35	
22	9	126	38	
51	12	111	24	
27	23	129	33	
40	8	135	17	
41	9	130	20	
61	10	157	16	
43	15	149	28	
30	7	153	19	
51	17	173	42	
33	20	120	25	
40	7	142	23	
56	14	127	29	
39	14	148	25	
47	12	139	15	
47	16	104	24	
30	15	109	34	
51	17	148	20	
53	7	112	17	
38	8	151	31	
39	7	100	25	
42	6	180	29	
66	14	167	19	
36	31	159	25	
40	9	139	29	
27	18	127	22	
43	27	116	22	
28	21	119	17	
31	8	123	21	
32	21	120	24	
27	17	93	31	
31	17	93	27	
47	32	150	35	
44	18	137	32	
40	15	136	23	
50	11	169	37	
44	15	83	35	
48	12	125	30	
42	16	114	24	
34	10	111	16	
38	9	145	29	
33	8	164	26	
51	20	166	22	
29	6	103	25	
40	13	134	17	
47	32	128	25	
55	7	132	33	
40	24	126	20	
62	6	114	18	
47	19	110	26	
55	10	111	19	
40	19	147	19	
39	16	127	32	
53	29	123	13	
35	15	138	44	
56	12	104	25	
34	8	155	29	
33	5	142	29	
52	14	121	35	
30	12	149	21	
36	15	119	33	
32	17	143	20	
34	10	118	20	
28	17	134	18	
41	8	158	33	
59	15	146	22	
58	11	133	20	
61	6	153	31	
38	16	137	27	
44	10	147	33	
37	29	105	22	
36	19	148	33	
46	10	138	20	
36	15	106	28	
37	26	133	21	
46	13	125	23	
26	14	128	33	
35	25	145	21	
25	21	122	19	
53	30	115	33	
47	9	108	13	
29	8	104	25	
69	12	156	29	
43	19	119	19	
37	11	104	25	
31	10	139	26	
63	7	130	23	
38	26	121	28	
29	11	100	39	
34	16	115	34	
38	13	132	24	
33	15	72	24	
36	13	95	20	
37	23	158	22	
37	16	126	31	
45	18	129	26	
42	11	111	20	
34	21	116	21	
48	15	107	28	
44	24	128	29	
53	10	98	17	
42	20	173	34	
37	10	155	16	
38	18	114	23	
43	20	144	27	
52	13	109	29	
33	16	142	41	
39	21	156	26	
31	11	120	37	
46	7	82	36	
44	11	157	27	
38	10	180	25	
23	16	181	25	
72	8	127	35	
51	17	145	21	
48	15	134	27	
36	8	139	29	
43	18	173	26	
47	5	143	32	
48	8	112	27	
39	18	137	28	
38	3	111	37	
21	8	129	35	
26	16	133	28	
48	9	140	31	
48	3	168	32	
47	13	160	26	
42	17	127	26	
34	6	144	20	
29	10	127	31	
28	10	133	17	
40	18	116	33	
25	11	102	23	
41	9	147	30	
28	18	142	19	
39	10	123	28	
41	8	125	33	
28	26	113	17	
34	7	153	35	
38	9	139	29	
48	10	127	24	
48	9	111	15	
49	7	143	24	
42	25	149	27	
38	17	121	32	
33	36	162	28	
46	10	151	28	
40	13	130	26	
43	10	121	24	
46	13	125	33	
33	7	132	23	
35	9	154	27	
39	15	138	24	
44	13	118	24	
43	16	92	33	
44	20	167	29	
42	1	134	23	
31	35	121	27	
44	14	153	22	
32	12	179	27	
38	15	141	25	
31	10	129	32	
33	11	129	26	
43	11	125	26	
49	18	118	29	
29	41	106	19	
25	7	120	25	
37	6	108	18	
37	30	107	21	
44	21	142	30	
29	31	182	27	
30	11	151	32	
39	14	131	22	
30	15	125	34	
38	8	119	34	
27	11	133	24	
50	4	142	30	
44	7	123	31	
34	11	160	28	
59	17	112	24	
48	12	137	26	
56	16	150	31	
18	34	118	22	
42	18	123	12	
44	20	100	26	
39	10	127	27	
37	13	112	38	
38	13	129	28	
32	8	137	26	
16	8	109	18	
37	9	163	24	
21	12	161	29	
29	13	148	25	
39	18	110	19	
44	11	113	24	
60	9	159	19	
30	18	121	30	
29	20	162	24	
35	3	122	35	
26	20	96	22	
36	12	100	16	
24	8	128	27	
61	68	168	29	
42	7	137	43	
49	11	102	30	
47	8	114	28	
26	12	124	14	
36	24	107	14	
67	23	120	19	
39	35	157	26	
28	13	160	33	
56	11	143	25	
56	9	139	32	
53	10	119	26	
19	13	140	12	
35	18	156	16	
34	18	88	25	
37	3	176	21	
34	5	130	20	
43	3	120	24	
47	5	120	22	
42	13	104	25	
61	9	116	29	
22	16	88	19	
41	33	117	34	
39	7	133	20	
46	8	129	27	
44	7	131	25	
40	9	151	22	
27	6	132	17	
26	11	110	37	
37	35	147	33	
34	18	105	26	
15	8	117	25	
41	12	160	26	
40	12	119	29	
35	11	138	29	
59	11	120	24	
36	14	111	30	
57	3	131	19	
35	12	107	24	
31	11	139	25	
48	14	115	25	
25	35	93	21	
25	4	167	25	
55	11	168	38	
26	19	91	19	
28	5	125	18	
38	8	138	26	
41	16	138	29	
50	7	144	26	
43	25	134	26	
27	17	145	29	
43	21	104	29	
25	12	110	27	
33	16	194	37	
54	14	151	21	
64	9	117	21	
39	18	118	25	
37	8	117	26	
46	11	122	27	
42	12	175	21	
29	29	102	32	
42	12	141	26	
36	18	143	36	
49	18	120	24	
23	14	117	20	
41	19	136	19	
43	8	150	29	
35	18	107	31	
29	23	128	31	
32	7	111	21	
42	14	149	18	
46	7	140	22	
32	15	165	20	
33	12	126	26	
44	20	153	30	
51	17	130	27	
31	6	130	24	
45	5	118	22	
30	10	121	25	
46	23	124	33	
34	7	136	26	
27	23	149	31	
26	7	140	23	
46	14	132	19	
45	7	154	28	
44	12	160	17	
36	26	101	32	
53	17	161	47	
47	13	132	17	
32	10	124	36	
40	19	136	29	
34	16	109	19	
42	13	117	21	
21	3	183	32	
46	6	121	26	
35	15	130	30	
63	23	156	25	
60	14	131	30	
52	8	165	36	
45	15	97	19	
24	10	153	21	
37	29	125	31	
28	23	149	27	
48	6	143	28	
37	16	120	27	
51	5	148	26	
38	16	116	19	
41	30	130	26	
24	4	115	27	
16	17	133	31	
33	5	87	33	
57	14	113	24	
52	9	107	24	
33	13	132	28	
46	12	82	26	
63	20	127	28	
34	5	148	26	
46	17	105	25	
45	11	145	23	
30	20	101	30	
39	20	144	25	
33	20	110	31	
30	13	181	27	
33	12	166	25	
30	10	142	28	
43	12	107	19	
26	12	125	38	
44	13	94	15	
50	15	117	23	
56	4	96	24	
55	32	141	21	
38	31	141	25	
33	9	172	20	
49	12	132	28	
44	20	84	21	
33	18	161	32	
50	7	102	36	
48	7	133	19	
38	11	165	20	
45	6	184	32	
52	9	131	20	
28	11	154	26	
55	27	158	54	
40	16	162	23	
35	12	144	32	
41	18	143	19	
46	18	189	30	
45	10	102	33	
21	6	135	33	
37	14	133	25	
