FD[0]	FD[1]	FD[2]	FD[3]	
-1.407	0.835873	0.202017	0.0631163	
0.230234	0.957954	0.210722	-0.247211	
-0.579042	-0.0943101	0.384846	0.720472	
0.292756	-1.52956	0.272428	0.119949	
-0.369925	0.301818	0.520846	0.200196	
0.603362	1.24283	0.227624	1.16186	
-0.51242	0.495406	0.280576	-1.17076	
0.509192	-1.27385	0.979197	-1.0682	
-0.391069	-0.525108	0.125724	-0.0121408	
0.576066	0.894339	1.27459	-0.317876	
0.312962	1.00159	-0.82763	0.466146	
-1.12718	0.759878	1.04853	0.411175	
0.551555	1.0108	-0.127828	0.072176	
0.440382	-0.595331	-0.0228276	1.00952	
0.318552	-1.64659	0.861956	-0.0128341	
-1.72913	-0.898933	-1.1717	1.19634	
0.74607	1.6922	-0.998352	0.881159	
-0.859447	-0.903311	-0.523214	-0.224414	
0.39367	-1.7768	0.296089	1.18922	
0.628933	0.38001	0.0675261	0.612099	
-0.0868302	0.206397	0.115401	-0.20323	
-1.03222	-0.621178	-0.0323881	-0.0121408	
-0.448711	-0.475537	-0.167645	-0.20323	
-0.215045	-1.05256	0.475618	-0.434208	
1.28997	0.508797	-0.322581	-0.7425	
-0.486323	0.246719	0.917686	-0.398724	
0.509192	-0.0180098	-0.0678688	0.072176	
-0.67046	-0.59594	0.940348	-1.50845	
0.841113	-0.151282	-0.412465	0.571512	
-0.800932	-0.595331	0.200567	0.325368	
-0.616905	1.85197	-0.856773	0.222479	
1.51625	1.23556	0.0819775	-0.0935196	
-0.400064	0.38001	0.544247	0.049735	
-0.70944	0.287307	0.163834	0.457324	
0.539339	-0.179476	-0.191654	0.108682	
-0.714045	-1.49926	0.912776	-1.18659	
0.684101	-0.242105	-0.410618	0.806536	
1.35578	0.0908188	0.0522698	-0.563639	
-0.118051	0.287307	0.577923	-0.163528	
-0.796689	-0.525108	0.413963	-0.304496	
0.10434	1.09702	-0.297077	0.314847	
1.14644	1.29327	-0.215956	-1.05704	
-0.181141	0.0908188	-0.213665	-0.675679	
0.794994	-0.475537	-0.166397	-0.10362	
0.841113	-0.675841	-0.481238	0.995169	
0.964911	-1.16517	-0.441691	-0.390172	
1.20454	-2.31151	-0.456697	0.325368	
-1.40872	-0.721526	-0.113661	-0.0735307	
0.618215	-1.22838	0.798682	-0.378317	
-0.203326	-2.18663	-0.452727	1.25863	
0.583216	-0.60063	-1.23438	-0.0789582	
0.309364	0.600868	0.4188	-0.340738	
0.291545	-1.79153	-0.991903	0.28976	
-0.564914	-0.923937	0.239513	-0.612395	
0.551555	1.19897	0.728686	0.969693	
-0.918722	1.49802	0.375333	-0.0854937	
-0.963042	0.738805	1.24281	-0.860003	
0.413132	0.591552	-1.06272	-0.653014	
1.07067	-0.896179	0.238107	-0.0123663	
