ThetaFL[0]	ThetaFL[1]	ThetaFL[2]	ThetaFL[3]	
12	6	26	13	
10	3	34	6	
8	2	41	7	
4	4	40	10	
9	6	43	11	
14	6	31	10	
16	2	21	7	
10	9	30	10	
17	4	39	6	
5	8	25	11	
12	1	31	5	
9	5	40	9	
8	2	40	11	
12	3	31	7	
9	5	59	15	
5	4	34	9	
6	3	27	5	
9	4	41	6	
10	7	36	5	
14	1	65	6	
7	8	48	12	
14	8	24	8	
12	5	44	9	
7	2	31	7	
9	3	37	6	
14	1	36	7	
9	4	35	11	
10	4	32	7	
5	7	48	12	
15	5	15	8	
16	7	11	2	
7	1	38	13	
8	8	20	2	
10	0	40	7	
5	3	66	11	
13	6	74	6	
9	6	37	7	
11	8	41	13	
6	0	27	8	
7	3	38	8	
9	2	28	12	
12	2	31	3	
10	1	31	10	
9	2	43	8	
15	3	28	5	
7	7	37	6	
20	6	27	8	
18	9	27	9	
6	7	25	8	
7	5	38	5	
15	3	36	11	
10	12	29	10	
11	3	20	12	
17	2	30	6	
11	5	38	4	
3	1	52	14	
20	7	33	5	
13	16	44	4	
13	2	38	7	
10	3	24	9	
10	2	36	6	
8	2	53	8	
6	16	47	10	
5	10	37	7	
12	8	39	7	
9	3	28	12	
12	7	39	13	
9	2	32	9	
13	3	34	7	
6	3	39	11	
7	7	45	12	
15	1	39	11	
6	9	24	15	
4	13	24	8	
10	9	15	10	
8	2	35	9	
5	2	41	6	
9	8	34	9	
13	4	36	18	
10	4	33	14	
10	4	36	10	
10	2	37	9	
15	9	43	6	
4	2	53	7	
16	9	30	5	
17	4	31	13	
9	19	52	9	
10	4	25	7	
6	4	43	7	
7	8	33	4	
3	11	21	12	
5	7	37	9	
13	10	61	13	
15	10	16	5	
9	4	29	10	
4	9	36	13	
10	3	39	7	
7	16	45	15	
5	4	50	7	
5	10	49	9	
15	4	35	14	
5	7	37	7	
18	2	31	4	
11	2	37	7	
6	10	27	7	
10	6	22	13	
11	4	26	12	
14	5	35	11	
19	9	22	7	
4	0	52	19	
7	3	37	12	
7	4	35	8	
11	9	28	13	
12	2	31	10	
9	3	28	9	
11	4	39	7	
12	15	40	3	
8	11	31	14	
6	3	36	1	
11	3	35	3	
12	5	43	11	
12	3	23	7	
15	6	34	5	
15	1	42	11	
7	5	37	7	
24	1	33	7	
11	5	21	10	
8	5	24	7	
9	6	37	8	
17	5	31	5	
7	5	36	10	
6	6	35	12	
9	6	21	6	
12	3	32	15	
8	2	43	5	
22	6	34	8	
2	4	33	3	
14	1	34	4	
14	1	49	7	
9	10	44	5	
4	12	32	8	
12	2	25	6	
6	3	47	8	
6	10	28	12	
11	12	26	17	
15	5	35	5	
13	7	40	6	
10	11	37	15	
7	10	30	14	
3	3	31	2	
8	6	38	6	
9	5	15	4	
10	0	46	6	
13	3	38	14	
5	2	39	10	
11	0	27	7	
10	6	39	9	
11	12	44	8	
11	4	34	5	
5	3	44	6	
9	3	47	12	
9	1	40	8	
14	1	31	11	
9	1	25	15	
10	6	43	17	
7	3	31	7	
15	2	36	13	
6	5	42	8	
6	7	35	10	
12	10	38	11	
9	3	28	8	
10	2	32	6	
6	8	56	5	
3	12	23	10	
5	0	18	11	
16	7	47	10	
4	3	49	15	
15	1	41	6	
7	3	33	6	
10	1	19	4	
6	2	21	6	
8	10	29	7	
12	2	49	7	
3	6	51	4	
13	6	32	2	
6	5	49	6	
16	11	31	1	
5	12	31	6	
7	2	35	11	
8	13	31	5	
15	1	28	7	
12	7	43	8	
9	5	61	6	
12	8	24	5	
9	3	36	14	
9	5	25	7	
13	5	36	6	
12	15	36	17	
16	12	44	2	
20	5	44	8	
17	3	42	10	
10	7	42	8	
6	6	28	6	
7	10	31	12	
12	15	34	10	
8	9	40	9	
12	3	29	7	
12	0	19	8	
12	0	31	13	
7	9	35	13	
9	1	36	13	
7	2	37	2	
7	6	38	24	
6	5	43	7	
5	5	26	5	
11	1	28	5	
10	0	29	5	
12	1	26	7	
7	0	23	9	
9	11	38	3	
7	3	34	12	
12	4	32	13	
8	6	56	8	
4	7	28	9	
23	3	41	7	
9	0	32	3	
11	8	36	5	
11	6	33	10	
12	2	46	12	
11	6	40	9	
11	8	32	10	
10	5	23	4	
10	2	30	6	
4	1	18	6	
11	10	35	5	
10	7	24	14	
14	3	12	18	
11	3	25	7	
9	3	32	8	
5	3	31	3	
10	11	30	9	
7	4	46	5	
10	0	33	10	
3	2	23	9	
3	13	50	11	
10	3	38	11	
14	8	39	7	
7	4	38	4	
20	4	36	12	
8	4	36	7	
10	1	37	12	
8	3	31	12	
9	4	45	6	
6	5	30	16	
15	0	34	5	
9	8	50	1	
13	10	31	15	
10	4	34	11	
13	2	39	6	
8	2	36	14	
12	6	27	12	
7	3	36	4	
4	1	30	6	
5	4	29	5	
15	3	29	13	
7	2	23	8	
5	4	37	4	
3	5	37	8	
9	4	31	10	
8	2	49	9	
17	3	38	8	
14	5	37	11	
10	7	27	5	
5	5	29	11	
8	3	25	6	
8	5	47	16	
5	8	31	9	
13	2	32	10	
7	10	32	15	
11	11	32	4	
11	3	18	4	
10	5	29	7	
13	11	40	9	
8	7	37	6	
20	5	36	9	
11	7	39	11	
4	6	38	10	
22	10	38	13	
16	13	48	13	
10	4	20	13	
22	15	25	5	
17	5	33	11	
9	10	47	7	
14	4	38	5	
13	5	26	16	
10	6	15	4	
15	5	49	5	
10	0	25	11	
10	6	42	6	
12	6	20	14	
7	2	34	8	
15	4	40	5	
10	9	35	13	
13	6	40	13	
11	6	26	11	
8	5	50	5	
5	3	43	6	
13	11	36	12	
14	0	44	7	
10	1	33	12	
13	2	28	17	
3	7	47	8	
18	6	31	9	
2	8	30	17	
12	3	26	10	
10	4	39	17	
4	2	25	19	
14	4	26	8	
9	4	38	6	
25	4	37	4	
11	1	41	14	
12	3	36	9	
17	0	47	4	
3	2	30	11	
17	11	27	5	
15	6	46	6	
13	9	55	8	
12	2	10	7	
12	15	25	9	
12	4	21	3	
19	7	34	6	
3	1	35	11	
15	12	30	14	
9	2	28	8	
5	9	31	7	
16	1	40	6	
9	4	29	6	
17	5	30	13	
9	6	39	11	
12	10	53	7	
9	6	32	11	
9	2	30	4	
12	3	18	14	
5	4	43	9	
9	3	43	15	
16	5	31	5	
14	5	32	5	
11	6	32	3	
16	4	38	8	
9	2	59	5	
7	3	43	7	
6	9	29	10	
18	6	31	13	
11	9	28	8	
8	10	35	7	
14	5	38	10	
6	3	41	6	
13	6	40	14	
5	0	20	8	
6	6	37	13	
13	4	42	5	
10	7	39	10	
13	7	31	6	
9	3	30	8	
7	7	28	8	
10	8	39	12	
3	1	37	6	
6	11	46	6	
8	2	36	16	
17	1	31	14	
4	3	23	4	
5	3	38	6	
7	5	57	19	
8	2	48	4	
9	10	46	11	
9	2	52	9	
4	0	26	12	
11	3	25	8	
7	1	36	5	
11	2	30	7	
13	6	46	9	
22	1	33	13	
15	1	77	12	
11	3	31	4	
18	5	45	9	
7	4	43	18	
10	8	24	10	
3	3	30	3	
6	1	16	9	
13	1	37	12	
4	1	42	7	
6	4	53	16	
22	1	39	13	
10	12	37	12	
15	2	40	4	
15	2	35	8	
13	5	42	6	
11	1	28	8	
12	1	29	8	
9	3	38	9	
10	4	32	9	
11	1	30	13	
16	4	30	14	
14	6	27	9	
15	7	45	5	
8	3	18	3	
10	3	27	10	
16	12	41	5	
9	3	12	8	
7	4	50	11	
7	3	31	4	
9	2	53	11	
16	6	38	9	
9	4	52	12	
8	4	48	9	
4	12	27	9	
9	7	34	9	
5	8	27	3	
13	3	30	12	
16	10	37	13	
9	6	36	15	
11	3	31	8	
10	13	36	12	
12	8	50	11	
10	4	39	5	
11	1	39	10	
16	5	22	16	
7	6	35	5	
10	3	30	8	
10	6	28	5	
13	0	38	12	
11	5	41	1	
10	13	58	9	
5	2	36	12	
11	6	31	8	
10	7	37	9	
13	2	66	9	
4	6	20	8	
5	2	31	3	
7	3	33	10	
7	2	47	6	
12	11	37	7	
10	0	35	14	
14	10	17	7	
10	12	43	12	
3	0	19	7	
6	4	37	9	
17	3	34	8	
10	1	37	12	
12	7	40	7	
6	2	37	15	
9	2	50	5	
7	1	31	7	
8	7	22	5	
11	5	48	7	
8	4	35	12	
11	6	33	11	
17	4	19	8	
14	9	36	12	
11	5	28	19	
10	14	19	5	
7	2	39	15	
7	9	38	8	
7	9	24	14	
6	5	32	4	
25	9	30	8	
10	2	20	6	
12	6	35	8	
3	5	35	4	
9	12	34	9	
19	5	22	2	
9	5	29	7	
7	9	44	6	
10	6	33	10	
7	8	33	9	
15	4	27	12	
10	4	28	10	
14	14	36	9	
8	4	31	21	
11	8	38	8	
15	6	33	8	
7	4	18	5	
8	4	28	6	
13	12	51	4	
7	5	47	19	
11	6	30	15	
11	6	28	11	
7	8	30	6	
7	5	17	9	
10	10	40	7	
9	4	35	4	
8	10	45	9	
10	3	44	6	
10	9	39	9	
13	6	45	8	
10	3	37	11	
8	4	34	9	
13	4	53	13	
13	4	39	14	
13	4	17	18	
15	4	61	8	
16	4	31	4	
5	6	51	12	
12	2	35	7	
14	4	35	4	
14	9	45	7	
8	6	40	9	
6	10	50	12	
10	4	31	8	
8	5	31	12	
6	2	35	13	
5	1	28	13	
6	5	33	7	
7	0	43	7	
21	6	38	11	
15	1	41	12	
6	4	28	11	
11	6	32	7	
6	3	35	7	
5	6	39	12	
8	6	47	6	
14	7	24	15	
14	4	49	4	
16	4	34	8	
13	7	51	10	
12	6	23	13	
9	3	43	8	
9	9	41	10	
16	4	34	13	
7	2	36	9	
11	2	37	6	
8	5	39	7	
18	1	27	8	
9	6	28	6	
15	9	37	12	
9	6	42	8	
2	7	66	12	
10	3	42	6	
6	4	33	4	
13	6	29	4	
8	3	29	11	
15	0	65	9	
7	8	34	11	
10	2	32	6	
14	7	23	11	
10	4	38	12	
13	1	25	8	
9	2	24	12	
10	8	33	5	
13	4	54	6	
14	5	26	8	
16	5	46	14	
4	7	39	13	
18	6	42	7	
19	8	42	11	
3	6	31	5	
8	2	44	8	
13	2	29	6	
9	18	35	8	
17	6	22	6	
13	4	37	14	
8	9	45	11	
14	7	17	4	
6	4	26	7	
4	4	37	8	
7	3	32	9	
12	2	35	11	
15	2	39	18	
17	4	45	11	
16	6	30	7	
5	5	33	9	
8	11	25	15	
7	19	31	10	
14	4	37	9	
10	5	31	9	
11	3	33	8	
12	4	34	8	
11	6	33	15	
9	4	31	12	
7	6	29	7	
6	6	49	6	
7	7	49	8	
6	4	38	9	
8	5	22	7	
8	5	24	10	
25	4	25	7	
3	5	27	14	
5	8	31	12	
9	2	34	11	
8	7	33	5	
11	8	43	6	
5	3	33	7	
17	10	38	13	
12	5	31	10	
18	3	33	8	
14	5	38	3	
13	4	33	4	
2	11	26	4	
6	5	19	9	
10	15	55	6	
4	9	32	8	
10	8	27	11	
24	0	32	11	
6	1	18	10	
6	3	43	5	
15	8	45	2	
6	5	17	5	
7	2	59	3	
11	2	48	6	
12	2	53	8	
3	1	26	3	
18	6	23	11	
14	4	28	16	
7	4	22	11	
6	8	25	11	
11	3	32	6	
14	4	39	3	
15	4	42	9	
6	2	66	9	
10	2	41	7	
4	8	26	16	
10	3	43	14	
6	2	17	9	
4	2	38	6	
10	2	43	5	
24	4	29	8	
10	5	31	8	
15	1	23	14	
12	6	28	9	
6	1	33	3	
10	4	26	7	
6	4	33	6	
12	8	25	7	
4	15	26	5	
7	2	51	10	
11	6	37	15	
11	8	18	10	
14	2	28	5	
11	6	26	10	
17	4	30	9	
7	4	35	9	
5	15	47	9	
5	2	45	11	
8	4	25	8	
8	7	52	6	
10	4	49	6	
13	1	57	8	
27	1	36	5	
10	9	32	8	
11	1	30	9	
5	7	42	16	
5	4	49	7	
15	4	22	13	
14	11	25	6	
9	4	38	11	
18	5	21	12	
7	0	22	3	
7	1	31	4	
9	2	43	17	
6	6	33	9	
7	10	27	9	
14	2	43	7	
10	8	33	8	
10	3	38	6	
5	4	40	5	
10	2	38	8	
3	7	43	8	
21	8	33	13	
10	2	33	5	
9	2	37	10	
8	4	30	13	
12	7	28	7	
13	3	33	8	
7	0	50	12	
12	4	33	9	
17	4	22	7	
15	4	56	11	
5	7	37	5	
7	14	34	17	
14	3	57	16	
13	5	48	5	
7	7	32	9	
8	4	39	9	
7	10	30	6	
15	5	27	9	
7	2	51	15	
3	4	40	2	
18	2	28	5	
20	3	33	6	
5	5	32	9	
13	6	34	11	
14	4	29	9	
2	4	36	9	
10	2	26	12	
9	7	46	10	
15	3	43	10	
15	6	41	9	
19	1	48	2	
11	12	32	8	
8	7	39	3	
8	0	42	13	
7	3	48	12	
19	3	29	14	
20	4	27	11	
14	4	34	11	
7	1	29	15	
13	2	20	9	
12	2	22	6	
12	1	33	16	
15	8	45	8	
5	8	47	8	
8	12	19	8	
12	5	34	8	
12	5	30	9	
4	10	40	15	
15	9	43	6	
3	2	37	15	
9	6	20	8	
5	5	36	12	
8	10	38	8	
6	2	23	6	
2	3	32	8	
8	4	43	4	
7	7	27	6	
11	5	49	8	
3	6	38	15	
7	5	28	7	
6	2	45	11	
16	4	35	15	
8	1	42	4	
10	8	30	12	
14	2	29	9	
12	1	29	5	
10	6	36	10	
15	4	25	16	
12	1	40	4	
11	2	24	13	
11	5	20	5	
15	9	54	14	
11	2	28	12	
4	1	34	12	
7	7	23	7	
