FF[0]	FF[1]	FF[2]	FF[3]	
-0.0281987	-1.43865	-1.13689	-0.626624	
1.36349	0.52394	-0.101614	-0.174102	
0.347174	0.166584	0.395531	0.418869	
0.956587	0.140117	-0.15883	0.658605	
-0.679292	-1.19938	0.122768	0.963428	
-1.13005	1.14649	-1.43278	1.00229	
0.416969	-0.213895	-0.832255	-0.240842	
-0.23863	-2.66534	0.571249	-0.192429	
-0.55191	-0.233528	-1.29313	-0.769472	
1.03657	-1.09664	0.361766	0.723424	
-1.12194	0.243465	0.275471	0.103789	
-0.323654	0.212981	-0.313376	0.398487	
0.52172	1.56786	0.119101	-0.736116	
-0.902238	0.847303	-0.364472	-0.229905	
1.36507	-0.761948	-0.675506	0.2829	
-1.28083	-0.718462	0.88774	-1.29164	
-0.601285	0.601345	0.558319	1.35284	
-0.0193873	0.903087	-0.655987	-0.990954	
0.656224	-0.716604	0.579914	0.95481	
-0.536043	1.98981	-0.441599	-0.328966	
1.39191	0.306586	-0.966858	-0.328011	
-0.149826	0.308342	-1.88457	-0.254844	
0.466519	-0.575807	-0.0711018	-0.23621	
-0.811929	0.132296	0.179301	-0.427908	
0.628674	1.46013	0.0838604	-0.294851	
-0.70968	0.0429449	0.257255	0.398374	
0.136965	0.932091	-0.285882	-0.286687	
0.0951974	0.515338	-0.298282	0.795002	
0.344352	1.15951	0.454582	-0.327565	
0.860142	0.762857	-0.311461	0.815543	
-0.595613	1.39913	0.196203	1.04201	
0.526586	-2.29298	-0.991928	0.580652	
-1.94834	-0.575807	0.382484	0.274493	
-1.40629	-3.17489	-0.442514	0.116224	
0.477258	-0.699068	0.203249	0.0605583	
1.21429	-0.0934111	-0.111859	1.09797	
-0.521012	-1.63286	0.509012	-0.492416	
-0.118288	-1.24617	0.0524758	0.183103	
0.469602	0.730928	0.135291	-0.848643	
-1.15326	-0.106579	0.726105	0.509775	
-0.301011	-1.27761	0.163874	0.638352	
0.957554	1.17589	-0.45376	-0.749571	
-1.63516	-2.53375	0.691354	0.645107	
-2.19242	-1.60912	-1.6493	1.21257	
0.109542	0.472393	-0.327623	1.00053	
-0.10504	-0.234448	0.896315	0.282199	
-0.669994	1.01895	-0.96826	0.352641	
0.961298	-0.0932568	-1.15284	-0.0855239	
0.993109	-1.06637	-0.835091	-1.61761	
0.664189	-0.548687	0.544277	0.230553	
-0.655804	-1.70475	0.0905141	0.581122	
0.470854	1.35125	0.668116	-0.363297	
-0.669044	-1.05546	-0.259442	-0.311711	
0.0171611	0.154475	0.78355	0.265583	
-0.59578	0.225431	-0.131123	0.126817	
1.17855	0.342655	-0.238811	0	
-0.204731	-0.787179	-0.457368	-0.255439	
-0.698847	1.94052	-0.613222	-0.702518	
0.170383	-1.14583	-0.0959253	-0.410514	
0.745442	-1.2486	1.10845	0.0626193	
-0.467152	-0.292943	1.46228	-0.962735	
0.566639	1.50671	0.286071	0.17789	
0.389516	0.890969	-0.812522	0.202454	
0.378366	-0.0983625	-0.482037	-0.155776	
-2.08138	1.01601	-0.0960989	-1.55696	
0.559655	-0.480154	-0.680768	-0.602007	
-0.729931	-0.611964	-0.963487	-0.0959394	
0.0798352	1.05866	-0.286192	-1.51984	
-0.305785	-0.739929	-0.333903	0.448217	
-0.139221	0.996385	-3.04332	-0.0240199	
-1.66217	-1.42096	0.0878196	-0.739335	
-0.568982	-0.183793	0.263154	-0.749002	
-0.362819	-2.15096	0.0947955	0.144635	
0.0595302	0.32342	0.695511	0.398487	
1.33645	-0.382163	-0.0798437	0.524508	
-0.0806061	-0.247034	-0.0477928	1.2152	
1.72906	-1.91941	0.691698	-0.423429	
0.252643	-1.05686	-0.0931501	-0.148643	
-0.537549	-1.39033	-1.10284	-0.491739	
-0.361343	-1.37808	1.24411	0.990954	
0.668685	0.109658	0.390423	-0.356548	
-0.20912	-1.31451	0.281813	0.06825	
0.250148	-0.66612	-0.65724	0.283431	
0.382753	-2.50425	-0.352435	-0.0099732	
0.904974	0.58702	-0.433961	0.371281	
0.345915	-1.9944	-1.31136	0.547048	
0.113808	0.0233528	-0.204692	-0.744701	
0.895991	-0.514485	-0.971052	-0.161052	
-0.53645	0.723936	-0.102082	0.711098	
-0.556848	0.354295	-0.416891	0.218054	
0.527374	-1.18654	0.556776	-0.0171571	
