D_Dmin[0]	D_Dmin[1]	D_Dmin[2]	D_Dmin[3]	
0.0471033	-0.0623538	0.546196	-0.414756	
-0.566021	0.0962187	0.0253762	-0.156946	
0.0264044	-0.484208	-0.196652	-0.166898	
0.254772	0.690699	-0.0416564	0.19164	
-0.108687	0.23971	0.0237567	0.303353	
0.16785	-0.0703368	0.0600144	-0.0425912	
0.051504	0.180543	0.0730169	-0.0988083	
0.267286	-0.436953	-0.19744	0.306765	
-0.285522	-0.469127	-0.0263885	0.654781	
0.322152	-0.357916	-0.249075	-0.350029	
0.157141	-0.249758	0.0438671	0.324928	
-0.274639	-0.243908	-0.139414	-0.0919421	
-0.251449	-0.357523	0.00471537	-0.0182447	
-0.242162	0.28989	0.00131528	0.193578	
-0.0174238	-0.0700438	-0.0398906	-0.0129806	
-0.19376	0.48001	-0.0417525	0.173341	
-0.187769	0.359357	-0.110344	-0.0660754	
-0.0759377	0.960147	0.0421227	0.329186	
-0.155418	0.0587301	-0.0305066	-0.148794	
0.233	0.544358	0.241387	-0.124843	
-0.0828503	-0.276082	0.0471235	0.206796	
-0.0757903	-0.379499	0.0458714	0.175347	
-0.0751126	0.294536	-0.103196	0.080564	
-0.00738523	0.777621	-0.000882751	0.212937	
-0.136297	0.496097	0.132605	-0.376642	
-0.0112711	-0.469127	0.295285	-0.238994	
-0.10438	0.225092	0.0767749	-0.157743	
0.0524511	0.713273	0.347335	0.0511335	
-0.0617938	0.339248	-0.04701	0.243644	
0.00455559	0.278922	0.10518	0.265822	
0.225859	0.645961	-0.0291659	0.109649	
-0.0240416	-0.190915	0.0558507	0.279076	
-0.367707	-0.710433	0.150418	0.0552135	
-0.582659	-0.0199264	-0.285194	0.407621	
-0.38454	0.809795	-0.194508	0.341774	
-0.30548	-0.802568	-0.141892	-0.0787819	
0.169269	-0.782825	-0.00625436	0.59166	
0.446868	-0.381379	0.03955	0.29862	
-0.587364	-0.0951025	0.0644451	-0.263025	
-0.4369	-0.0855772	-0.161344	-0.0919421	
-0.1137	-0.012839	-0.0578589	-0.15151	
-0.0406436	-0.1132	0.0367534	0.0175273	
0.240235	0.533634	-0.129703	-0.17799	
-0.137542	-0.160255	0.22367	-0.0634282	
-0.218984	0.468519	-0.120686	0.168272	
-0.11554	0.0134852	0.200821	-0.371404	
0.0934934	0.0357596	0.126133	0.286162	
0.0715078	0.217886	0.0966877	0.205958	
-0.499008	0.0134852	-0.147134	0.0901081	
0.00319269	0.750565	-0.0610809	-0.026713	
-0.486965	-0.63146	0.155074	-0.0134051	
-0.0684804	0.220319	0.128464	0.155361	
-0.0732134	-0.391909	-0.184651	-0.00393289	
-0.180208	-0.662172	0.21371	-0.408885	
0.267243	0.295813	-0.149398	0.328089	
0.205956	0.367401	0.019454	-0.314844	
-0.0608116	-0.110615	0.195662	-0.0787819	
-0.0915468	-0.432003	0.0956921	-0.390579	
-0.0500309	0.85323	0.0379181	0.189907	
0.223801	1.00284	0.071928	-0.404751	
-0.00438541	-0.0991242	0.0580005	-0.126431	
-0.120857	-0.236596	-0.0709022	0.151523	
-0.43469	-0.0733849	-0.110826	0.0594009	
0.0794922	-0.855216	-0.058594	-0.016139	
0.243595	-0.936657	-0.28592	-0.103906	
-0.197551	-0.8759	0.116771	0.114098	
0.0254873	-0.816607	0.229429	-0.336723	
-0.152599	-0.684108	0.15095	0.33406	
0.164172	-0.188178	-0.148868	0.0800489	
-0.0616205	0.124202	0.199398	-0.0685461	
0.21718	-0.7445	-0.104755	0.109147	
-0.118768	-0.7518	-0.0491562	-0.0429567	
0.0780004	0.320086	0.24487	0.455525	
-0.285296	0.69482	-0.0240177	0.0416851	
-0.191782	0.668822	0.1038	-0.187963	
-0.0502693	0.447836	-0.151089	-0.180116	
0.169516	-0.26643	-0.154951	-0.190096	
-0.0336535	0.167318	-0.357685	-0.0106918	
0.163947	0.000895367	0.0183964	0.168631	
-0.454147	-0.230837	-0.403788	0.260614	
0.160534	0.145107	0.0929027	0.197584	
-0.200821	-0.0199264	0.0909597	-0.0470157	
0.0510404	-0.0260012	0.193292	0.118168	
0.224176	0.423705	-0.180365	-0.249207	
0.0395701	-0.0703368	-0.162803	-0.0819585	
0.330766	0.158269	-0.104786	-0.0247794	
0.0806167	-1	0.0938684	0.294554	
-0.101627	0.468519	0.233523	-0.122649	
-0.144692	-0.314691	0.243725	-0.0442362	
-0.513733	0.342539	0.0731908	-0.314844	
0.507739	-0.250532	-0.0603463	-0.167219	
0.182368	0.375444	-0.00322767	-0.222082	
0.141253	0.427153	-0.301977	0.0641658	
-0.0565584	0.174356	-0.167028	-0.266569	
0.0255801	-0.0830372	0.247043	-0.222973	
-0.171438	-0.656139	-0.221195	-0.0896197	
0.253397	0.216182	-0.0725858	0.0478856	
-0.013127	0.142182	0.0945872	0.129704	
0.377115	0.085877	-0.00560776	0.0546359	
-0.216729	-0.855216	0.0736076	0.306765	
-0.177184	0.303052	-0.305141	0.387771	
0.109457	-0.236596	-0.0224982	0.0460283	
-0.077151	-0.887391	0.215682	-0.22848	
-0.248093	0.0496811	-0.393007	-0.267632	
0.385518	-0.420866	0.0996958	0.197584	
-0.364191	0.042442	-0.0188136	-0.0557514	
0.0837294	-0.239886	-0.219692	0.119634	
0.204773	0.789112	0.0310246	-0.151712	
-0.55447	0.375444	-0.00318461	-0.280573	
0.222602	-0.735983	-0.0931157	0.103215	
-0.37391	-0.473514	0.0841978	-0.508684	
0.0140114	0.286347	-0.13683	0.335766	
-0.0302649	0.199636	-0.155716	-0.314204	
0.00744057	-0.104151	-0.069429	0.240101	
-0.0913742	0.737403	-0.0808807	-0.0787819	
0.312567	0.14379	-0.239204	-0.110548	
0.181598	0.0931162	-0.353601	-0.203417	
0.1064	-0.175847	-0.056583	-0.189328	
-0.409398	-0.114593	0.0498044	-0.0643878	
0.050608	0.158269	0.067316	-0.271036	
-0.228573	0.212563	0.141384	0.0962496	
-0.0319003	0.0341686	-0.0230475	0.149934	
