thetaWatt[0]	thetaWatt[1]	thetaWatt[2]	thetaWatt[3]	
8.58227	6.71623	24.6365	6.95392	
9.84437	3.88834	37.2226	6.29165	
13.6307	5.65577	30.5279	7.28506	
10.6016	9.54412	33.2058	8.60962	
11.3589	3.53486	38.8293	9.93418	
9.33953	4.9488	38.8293	7.28506	
11.3589	2.12091	36.1514	11.2587	
7.06776	4.59531	38.026	8.60962	
7.82501	6.00926	31.8668	7.28506	
6.81534	7.4232	28.1178	7.94734	
8.32985	3.88834	41.5072	7.6162	
8.32985	3.88834	36.9548	10.2653	
6.56292	2.4744	39.9005	7.94734	
13.3783	1.76743	29.4567	10.5965	
7.32018	4.24183	30.5279	7.94734	
14.6404	7.06972	42.3106	11.921	
9.08711	3.18137	34.8125	5.29823	
11.3589	2.4744	31.0635	8.27848	
9.33953	4.59531	42.8461	8.60962	
12.621	5.30229	46.863	11.921	
11.1065	4.24183	33.7413	4.30481	
7.32018	3.18137	29.1889	9.60304	
6.81534	3.88834	42.8461	6.62279	
7.06776	3.53486	42.0428	6.62279	
7.82501	6.71623	29.1889	8.27848	
17.6694	5.65577	26.5111	7.28506	
6.3105	4.9488	27.5822	10.5965	
7.32018	5.30229	41.775	6.62279	
9.08711	3.88834	38.2937	8.94076	
11.1065	9.8976	34.8125	9.60304	
12.8734	6.00926	30.7957	11.921	
9.33953	6.00926	29.7245	8.27848	
8.58227	2.4744	30.2601	5.96051	
9.59195	6.00926	39.9005	8.27848	
11.1065	6.00926	26.5111	8.60962	
12.3686	6.71623	35.8836	8.94076	
13.6307	3.18137	33.2058	6.62279	
8.58227	5.30229	38.026	7.94734	
15.1452	5.65577	34.8125	7.6162	
10.0968	8.13017	31.3312	11.5899	
11.8637	5.65577	22.762	6.29165	
15.65	3.88834	42.3106	11.921	
8.32985	4.59531	33.2058	9.60304	
10.3492	3.88834	38.5615	9.60304	
9.08711	4.24183	32.4024	6.62279	
9.84437	6.71623	27.5822	9.60304	
12.8734	6.36274	32.1346	9.60304	
15.1452	2.12091	36.9548	12.5833	
11.1065	7.4232	29.1889	6.95392	
6.81534	5.30229	39.6327	10.5965	
12.1162	3.88834	37.4904	5.29823	
10.3492	6.00926	32.938	8.27848	
9.84437	1.41394	28.3856	5.96051	
9.33953	9.8976	25.9755	9.60304	
10.8541	3.18137	34.2769	8.60962	
11.6113	3.18137	29.7245	7.6162	
10.0968	2.82789	39.6327	11.2587	
13.6307	5.30229	33.7413	7.94734	
7.82501	3.18137	32.1346	6.29165	
12.8734	4.24183	37.7582	9.60304	
7.82501	4.9488	36.687	8.94076	
8.83469	3.18137	40.7038	10.2653	
8.58227	7.77669	32.938	10.2653	
12.8734	3.18137	29.1889	7.94734	
10.3492	4.24183	29.9923	6.62279	
10.8541	1.06046	35.8836	10.5965	
6.05808	3.53486	44.4529	6.62279	
11.1065	1.41394	35.0803	8.60962	
10.8541	9.8976	36.687	7.94734	
8.58227	6.36274	26.5111	6.95392	
14.3879	6.00926	36.4192	13.5767	
9.84437	3.88834	27.3144	4.96709	
11.6113	9.19063	19.013	6.62279	
7.06776	2.4744	29.9923	8.94076	
13.1258	5.65577	32.1346	4.30481	
7.82501	4.59531	33.4736	5.96051	
12.8734	3.53486	47.9341	9.60304	
10.6016	7.06972	40.7038	5.62937	
11.3589	4.59531	36.9548	6.62279	
9.08711	9.19063	43.9173	10.5965	
9.33953	2.82789	27.0466	7.6162	
5.30082	2.82789	39.9005	9.93418	
10.0968	4.9488	24.3687	9.60304	
13.1258	2.82789	25.9755	5.96051	
11.8637	2.82789	38.8293	8.94076	
13.8831	4.24183	36.9548	12.9144	
10.8541	9.19063	33.4736	9.2719	
8.58227	3.18137	25.9755	8.60962	
9.33953	4.59531	38.8293	9.2719	
10.3492	3.18137	21.4231	9.60304	
8.58227	4.9488	31.8668	8.94076	
13.3783	4.24183	37.4904	9.2719	
11.1065	1.41394	41.2394	8.60962	
10.0968	7.77669	32.938	11.5899	
13.1258	5.30229	25.7077	8.27848	
11.3589	2.12091	36.9548	8.27848	
9.33953	2.82789	38.8293	5.96051	
5.80566	3.18137	43.9173	10.9276	
11.6113	2.82789	42.8461	6.95392	
5.55324	9.8976	24.3687	9.2719	
15.3976	2.82789	34.8125	11.5899	
9.33953	3.53486	41.5072	10.2653	
8.32985	3.53486	24.6365	7.28506	
10.8541	2.12091	34.2769	7.94734	
8.83469	11.665	37.7582	5.29823	
7.5726	7.77669	41.2394	8.60962	
9.08711	4.24183	39.0971	9.60304	
10.8541	6.36274	40.7038	9.93418	
9.33953	4.9488	32.4024	11.5899	
11.6113	2.4744	45.2562	9.93418	
11.6113	3.53486	34.8125	7.6162	
11.8637	3.53486	38.2937	10.9276	
5.80566	4.59531	36.687	10.2653	
10.3492	5.30229	32.1346	7.94734	
7.32018	6.00926	20.8875	12.5833	
7.82501	8.48366	40.9716	8.60962	
8.83469	7.77669	36.1514	6.62279	
8.58227	5.65577	38.2937	9.93418	
7.32018	4.9488	31.599	6.95392	
11.3589	8.13017	28.1178	7.94734	
6.56292	7.06972	35.3481	10.2653	
15.9024	3.18137	27.5822	11.2587	
7.82501	2.82789	24.9043	9.2719	
10.0968	4.24183	32.4024	4.96709	
12.3686	6.71623	35.3481	7.28506	
4.29114	4.24183	22.762	6.95392	
8.83469	5.65577	32.6702	3.97367	
12.1162	3.88834	32.938	9.60304	
9.08711	9.54412	48.7375	9.60304	
