thetaL[0]	thetaL[1]	thetaL[2]	thetaL[3]	
14.2069	7.66667	29.0435	6.36364	
11.1724	3.66667	30.2609	8	
6.2069	10.7778	42.913	10.2727	
11.1724	4	24.8261	9.18182	
4.68966	2.33333	43.1739	9.72727	
8.65517	4.66667	22.1304	8.63636	
16.4828	2.44444	23.1739	6.81818	
10.2069	3.22222	38.8261	7.18182	
15.1724	6	37.1304	14.4545	
12.069	10.6667	31.6087	10.8182	
8.75862	2.77778	22.913	11.0909	
8.93103	3.66667	53.6957	8.45455	
12.1379	1	20.7391	11.1818	
7.03448	4.11111	25.6087	8.36364	
13.7586	4.33333	36.2609	11.6364	
10.069	1.22222	44.7826	8.63636	
9.06897	8.66667	31.3478	13.4545	
14.5172	4	24.4348	6	
9.24138	1.77778	44.8261	6.81818	
7.34483	1.55556	41.2609	5.90909	
5.24138	2.55556	39.913	11.6364	
9.31034	1	54.1304	7.81818	
4.13793	11.8889	18.087	11.7273	
16.4483	2	36.1739	12.8182	
11.4483	5.88889	49.3913	9.09091	
5.96552	4.33333	20.8261	8.45455	
14.1034	2.33333	27.2609	8.72727	
9.41379	14.8889	33.1304	3.45455	
6.86207	7.11111	42.6957	6.63636	
6.68966	2.55556	43.4348	9.72727	
11.069	7.66667	43.6522	9.54545	
11.3448	7.22222	29.1739	11	
8.89655	1.44444	50.3043	10.5455	
7.34483	3.55556	27.7391	6	
13.5862	3	44.6522	11.8182	
6.17241	3.88889	35.6087	10.8182	
8.37931	7.66667	31.5217	5.81818	
6.7931	5.55556	21.6522	12.2727	
5.51724	7.88889	43.2609	8	
5.58621	5.55556	44.1739	5.90909	
12.7586	6.66667	39.1739	10.2727	
6	4.66667	29.6087	6.09091	
8.31034	6.44444	27.7826	7.90909	
5.82759	9	30.1304	8.54545	
20.8276	2.55556	29.5217	12.0909	
6.48276	2.33333	27.6087	9.63636	
10.5517	4.66667	33.1739	4.81818	
14.3448	5.88889	33.9565	7.63636	
4.37931	4.66667	15.4783	7	
5.17241	6.77778	30.5217	3.18182	
11.3103	4.44444	38.7391	10.3636	
10.2414	8.88889	51.8261	10.7273	
