Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-12.4696	-2.09964	-3.66516	-3.93223	-2.77259	-2.09964	-3.66516	-3.93223	-2.77259	
-13.7115	-1.93517	-3.93223	-4.81589	-3.02826	-1.93517	-3.93223	-4.81589	-3.02826	
-13.7115	-1.93517	-3.93223	-4.81589	-3.02826	-1.93517	-3.93223	-4.81589	-3.02826	
-13.7115	-1.93517	-3.93223	-4.81589	-3.02826	-1.93517	-3.93223	-4.81589	-3.02826	
-13.7115	-1.93517	-3.93223	-4.81589	-3.02826	-1.93517	-3.93223	-4.81589	-3.02826	
-13.3064	-1.7832	-4.41455	-4.41455	-2.69415	-1.7832	-4.41455	-4.41455	-2.69415	
-12.5121	-1.7832	-4.24053	-3.79424	-2.69415	-1.7832	-4.24053	-3.79424	-2.69415	
-12.5121	-1.7832	-4.24053	-3.79424	-2.69415	-1.7832	-4.24053	-3.79424	-2.69415	
-12.5121	-1.7832	-4.24053	-3.79424	-2.69415	-1.7832	-4.24053	-3.79424	-2.69415	
-12.2227	-1.735	-3.79424	-4.41455	-2.27887	-1.735	-3.79424	-4.41455	-2.27887	
-12.2227	-1.735	-3.79424	-4.41455	-2.27887	-1.735	-3.79424	-4.41455	-2.27887	
-12.2227	-1.735	-3.79424	-4.41455	-2.27887	-1.735	-3.79424	-4.41455	-2.27887	
-14.2839	-1.68794	-4.60517	-5.05146	-2.93935	-1.68794	-4.60517	-5.05146	-2.93935	
-12.4342	-1.12424	-3.93223	-4.60517	-2.77259	-1.12424	-3.93223	-4.60517	-2.77259	
-12.4342	-1.12424	-3.93223	-4.60517	-2.77259	-1.12424	-3.93223	-4.60517	-2.77259	
-13.1888	-1.83258	-3.21888	-4.81589	-3.32146	-1.83258	-3.21888	-4.81589	-3.32146	
-13.1888	-1.83258	-3.21888	-4.81589	-3.32146	-1.83258	-3.21888	-4.81589	-3.32146	
-13.578	-1.55306	-3.54391	-4.81589	-3.66516	-1.55306	-3.54391	-4.81589	-3.66516	
-13.2589	-1.9885	-3.79424	-3.54391	-3.93223	-1.9885	-3.79424	-3.54391	-3.93223	
-13.2589	-1.9885	-3.79424	-3.54391	-3.93223	-1.9885	-3.79424	-3.54391	-3.93223	
-13.2589	-1.9885	-3.79424	-3.54391	-3.93223	-1.9885	-3.79424	-3.54391	-3.93223	
-12.9159	-2.09964	-3.66516	-4.60517	-2.54593	-2.09964	-3.66516	-4.60517	-2.54593	
-12.9159	-2.09964	-3.66516	-4.60517	-2.54593	-2.09964	-3.66516	-4.60517	-2.54593	
-12.9159	-2.09964	-3.66516	-4.60517	-2.54593	-2.09964	-3.66516	-4.60517	-2.54593	
-12.5759	-1.64196	-3.66516	-5.05146	-2.21733	-1.64196	-3.66516	-5.05146	-2.21733	
-15.0568	-1.83258	-5.62682	-5.05146	-2.54593	-1.83258	-5.62682	-5.05146	-2.54593	
-15.0568	-1.83258	-5.62682	-5.05146	-2.54593	-1.83258	-5.62682	-5.05146	-2.54593	
-15.0568	-1.83258	-5.62682	-5.05146	-2.54593	-1.83258	-5.62682	-5.05146	-2.54593	
-15.0568	-1.83258	-5.62682	-5.05146	-2.54593	-1.83258	-5.62682	-5.05146	-2.54593	
-14.0913	-2.21733	-4.41455	-4.60517	-2.85423	-2.21733	-4.41455	-4.60517	-2.85423	
-14.0913	-2.21733	-4.41455	-4.60517	-2.85423	-2.21733	-4.41455	-4.60517	-2.85423	
-14.0913	-2.21733	-4.41455	-4.60517	-2.85423	-2.21733	-4.41455	-4.60517	-2.85423	
-14.0913	-2.21733	-4.41455	-4.60517	-2.85423	-2.21733	-4.41455	-4.60517	-2.85423	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
-11.7983	-2.15762	-3.4296	-3.93223	-2.27887	-2.15762	-3.4296	-3.93223	-2.27887	
