Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-22.0082	-2.40795	-5.31852	-5.05146	-9.23024	-2.40795	-5.31852	-5.05146	-9.23024
-22.3165	-2.0433	-5.99146	-5.05146	-9.23024	-2.0433	-5.99146	-5.05146	-9.23024
-22.5835	-2.09964	-5.62682	-5.62682	-9.23024	-2.09964	-5.62682	-5.62682	-9.23024
-27.7976	-2.91925	-7.82405	-7.82405	-9.23024	-2.91925	-7.82405	-7.82405	-9.23024
-20.7045	-2.34237	-4.08044	-5.05146	-9.23024	-2.34237	-4.08044	-5.05146	-9.23024
-22.1372	-2.77259	-4.81589	-5.31852	-9.23024	-2.77259	-4.81589	-5.31852	-9.23024
-29.7705	-2.09964	-9.21034	-9.23024	-9.23024	-2.09964	-9.21034	-9.23024	-9.23024
-27.2863	-3.21888	-7.82405	-7.01312	-9.23024	-3.21888	-7.82405	-7.01312	-9.23024
-22.8918	-2.61867	-5.05146	-5.99146	-9.23024	-2.61867	-5.05146	-5.99146	-9.23024
-23.3381	-2.0433	-5.05146	-7.01312	-9.23024	-2.0433	-5.05146	-7.01312	-9.23024
-30.4434	-2.77259	-9.23024	-9.21034	-9.23024	-2.77259	-9.23024	-9.21034	-9.23024
-26.7616	-2.69415	-7.01312	-7.82405	-9.23024	-2.69415	-7.01312	-7.82405	-9.23024
-30.8698	-3.21888	-9.21034	-9.21034	-9.23024	-3.21888	-9.21034	-9.21034	-9.23024
-22.6811	-2.40795	-5.99146	-5.05146	-9.23024	-2.40795	-5.99146	-5.05146	-9.23024
-21.8903	-2.21733	-5.62682	-4.81589	-9.23024	-2.21733	-5.62682	-4.81589	-9.23024
-22.7215	-3.1213	-5.05146	-5.31852	-9.23024	-3.1213	-5.05146	-5.31852	-9.23024
-22.6563	-2.61867	-5.99146	-4.81589	-9.23024	-2.61867	-5.99146	-4.81589	-9.23024
-20.2257	-2.27887	-5.05146	-3.66516	-9.23024	-2.27887	-5.05146	-3.66516	-9.23024
-24.5772	-2.34237	-5.99146	-7.01312	-9.23024	-2.34237	-5.99146	-7.01312	-9.23024
-20.7959	-1.83258	-5.31852	-4.41455	-9.23024	-1.83258	-5.31852	-4.41455	-9.23024
-25.4537	-2.40795	-5.99146	-7.82405	-9.23024	-2.40795	-5.99146	-7.82405	-9.23024
-26.978	-2.09964	-6.43775	-9.21034	-9.23024	-2.09964	-6.43775	-9.21034	-9.23024
-29.204	-2.93935	-9.21034	-7.82405	-9.23024	-2.93935	-9.21034	-7.82405	-9.23024
-21.44	-2.34237	-5.05146	-4.81589	-9.23024	-2.34237	-5.05146	-4.81589	-9.23024
-28.3079	-2.85423	-9.21034	-7.01312	-9.23024	-2.85423	-9.21034	-7.01312	-9.23024
-23.0659	-2.21733	-5.99146	-5.62682	-9.23024	-2.21733	-5.99146	-5.62682	-9.23024
-22.552	-2.27887	-5.05146	-5.99146	-9.23024	-2.27887	-5.05146	-5.99146	-9.23024
-20.7045	-2.34237	-4.08044	-5.05146	-9.23024	-2.34237	-4.08044	-5.05146	-9.23024
-20.7959	-1.83258	-5.31852	-4.41455	-9.23024	-1.83258	-5.31852	-4.41455	-9.23024
-26.9415	-2.0433	-9.23024	-6.43775	-9.23024	-2.0433	-9.23024	-6.43775	-9.23024
-29.8881	-2.21733	-9.23024	-9.21034	-9.23024	-2.21733	-9.23024	-9.21034	-9.23024
-24.7244	-2.61867	-6.43775	-6.43775	-9.23024	-2.61867	-6.43775	-6.43775	-9.23024
-21.8702	-2.40795	-4.24053	-5.99146	-9.23024	-2.40795	-4.24053	-5.99146	-9.23024
-29.554	-1.88322	-9.23024	-9.21034	-9.23024	-1.88322	-9.23024	-9.21034	-9.23024
-22.9482	-2.09964	-5.62682	-5.99146	-9.23024	-2.09964	-5.62682	-5.99146	-9.23024
-25.4141	-2.15762	-7.01312	-7.01312	-9.23024	-2.15762	-7.01312	-7.01312	-9.23024
-22.5287	-1.9885	-5.31852	-5.99146	-9.23024	-1.9885	-5.31852	-5.99146	-9.23024
-23.1274	-2.85423	-4.60517	-6.43775	-9.23024	-2.85423	-4.60517	-6.43775	-9.23024
-27.3062	-2.40795	-9.23024	-6.43775	-9.23024	-2.40795	-9.23024	-6.43775	-9.23024
-30.8897	-3.21888	-9.21034	-9.23024	-9.23024	-3.21888	-9.21034	-9.23024	-9.23024
-30.3849	-2.69415	-9.23024	-9.23024	-9.23024	-2.69415	-9.23024	-9.23024	-9.23024
-30.7919	-3.10119	-9.23024	-9.23024	-9.23024	-3.10119	-9.23024	-9.23024	-9.23024
-30.8897	-3.21888	-9.23024	-9.21034	-9.23024	-3.21888	-9.23024	-9.21034	-9.23024
-27.497	-3.4296	-7.82405	-7.01312	-9.23024	-3.4296	-7.82405	-7.01312	-9.23024
-24.7808	-2.54593	-5.99146	-7.01312	-9.23024	-2.54593	-5.99146	-7.01312	-9.23024
-20.1699	-2.61867	-4.08044	-4.24053	-9.23024	-2.61867	-4.08044	-4.24053	-9.23024
-22.2509	-2.34237	-5.62682	-5.05146	-9.23024	-2.34237	-5.62682	-5.05146	-9.23024
-21.9728	-1.93517	-4.81589	-5.99146	-9.23024	-1.93517	-4.81589	-5.99146	-9.23024
-22.4545	-2.54593	-5.05146	-5.62682	-9.23024	-2.54593	-5.05146	-5.62682	-9.23024
-21.0951	-2.15762	-4.08044	-5.62682	-9.23024	-2.15762	-4.08044	-5.62682	-9.23024
-19.7088	-2.15762	-4.24053	-4.08044	-9.23024	-2.15762	-4.24053	-4.08044	-9.23024
-22.552	-2.27887	-5.05146	-5.99146	-9.23024	-2.27887	-5.05146	-5.99146	-9.23024
-27.0559	-2.15762	-9.23024	-6.43775	-9.23024	-2.15762	-9.23024	-6.43775	-9.23024
-27.8815	-2.40795	-9.23024	-7.01312	-9.23024	-2.40795	-9.23024	-7.01312	-9.23024
-24.7808	-1.735	-7.82405	-5.99146	-9.23024	-1.735	-7.82405	-5.99146	-9.23024
-22.0082	-2.54593	-5.62682	-4.60517	-9.23024	-2.54593	-5.62682	-4.60517	-9.23024
-21.408	-2.0433	-4.81589	-5.31852	-9.23024	-2.0433	-4.81589	-5.31852	-9.23024
-22.1372	-2.77259	-4.81589	-5.31852	-9.23024	-2.77259	-4.81589	-5.31852	-9.23024
-20.4928	-2.54593	-3.66516	-5.05146	-9.23024	-2.54593	-3.66516	-5.05146	-9.23024
-27.671	-2.21733	-9.21034	-7.01312	-9.23024	-2.21733	-9.21034	-7.01312	-9.23024
-24.2125	-2.34237	-5.62682	-7.01312	-9.23024	-2.34237	-5.62682	-7.01312	-9.23024
-27.9996	-3.1213	-9.21034	-6.43775	-9.23024	-3.1213	-9.21034	-6.43775	-9.23024
-26.4098	-2.34237	-7.01312	-7.82405	-9.23024	-2.34237	-7.01312	-7.82405	-9.23024
-25.0036	-2.34237	-7.01312	-6.43775	-9.21034	-2.34237	-7.01312	-6.43775	-9.21034
-23.1909	-2.34237	-5.99146	-5.62682	-9.23024	-2.34237	-5.99146	-5.62682	-9.23024
-30.812	-3.1213	-9.23024	-9.23024	-9.23024	-3.1213	-9.23024	-9.23024	-9.23024
-24.9915	-2.61867	-5.31852	-7.82405	-9.23024	-2.61867	-5.31852	-7.82405	-9.23024
-27.8177	-2.93935	-6.43775	-9.21034	-9.23024	-2.93935	-6.43775	-9.21034	-9.23024
-29.8881	-2.21733	-9.21034	-9.23024	-9.23024	-2.21733	-9.21034	-9.23024	-9.23024
-28.1478	-2.69415	-7.01312	-9.21034	-9.23024	-2.69415	-7.01312	-9.21034	-9.23024
-30.5249	-2.83413	-9.23024	-9.23024	-9.23024	-2.83413	-9.23024	-9.23024	-9.23024
-30.0788	-2.40795	-9.23024	-9.21034	-9.23024	-2.40795	-9.23024	-9.21034	-9.23024
-21.2422	-2.27887	-4.41455	-5.31852	-9.23024	-2.27887	-4.41455	-5.31852	-9.23024
-24.6163	-1.93517	-7.01312	-6.43775	-9.23024	-1.93517	-7.01312	-6.43775	-9.23024
-19.9354	-1.9885	-3.66516	-5.05146	-9.23024	-1.9885	-3.66516	-5.05146	-9.23024
-22.7012	-2.21733	-6.43775	-4.81589	-9.23024	-2.21733	-6.43775	-4.81589	-9.23024
-23.016	-2.47575	-5.99146	-5.31852	-9.23024	-2.47575	-5.99146	-5.31852	-9.23024
-21.2479	-2.61867	-4.08044	-5.31852	-9.23024	-2.61867	-4.08044	-5.31852	-9.23024
-21.5092	-2.54593	-4.41455	-5.31852	-9.23024	-2.54593	-4.41455	-5.31852	-9.23024
-21.1042	-2.40795	-4.41455	-5.05146	-9.23024	-2.40795	-4.41455	-5.05146	-9.23024
