ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
0.217125	19.3328	22.96	0	
0.281867	21.7163	19.7133	0	
0.248685	22.246	25.02	4	
0.269658	6.62084	7.88667	2	
0.172835	12.712	12.4667	4	
0.373078	6.62084	9.59333	1	
0.241702	9.79884	10.32	4	
0.0948197	15.0955	12.4	0	
0.00969329	1.32417	0.993333	0	
0.12187	7.945	7.82	1	
0.117384	23.3053	18.5333	0	
0.309984	22.5108	21.7067	0	
0.15718	24.3647	23.12	2	
0.337526	22.246	10.3867	1	
0.212732	14.301	18.0133	0	
0.573785	1.589	1.7	0	
0.185876	30.4558	24.0667	1	
0.394022	13.5065	10.4733	2	
0.278629	29.6613	27.42	1	
0.37525	9.26917	8.89333	1	
0.455078	23.0405	32.7933	0	
0.260662	7.945	8.73333	3	
0.102772	7.41534	6.25333	2	
0.388887	38.6657	25.04	0	
0.185162	10.3285	8.54667	2	
0.114068	12.1823	9.9	2	
0.157612	7.68017	6.94	0	
0.138555	12.1823	9.49333	0	
0.217877	16.4197	19.54	10	
0.429219	2.64833	3.61333	0	
0.240229	4.767	6.12	0	
0.0123363	4.23734	2.80667	0	
0.183276	9.79884	8.77333	1	
0.158144	21.4515	24.66	1	
0.143704	4.767	4.37333	1	
0.258499	9.534	10.54	5	
0.112706	18.8032	16.5933	0	
0.17249	19.3328	19.1533	3	
0.225024	16.1548	15.34	6	
0.0696457	1.589	1.44667	0	
0.383698	19.068	26.4733	2	
0.159131	3.44283	3.17333	2	
0.326546	19.8625	22.5067	3	
0.28397	7.68017	7.67333	4	
0.118886	14.301	14.0267	0	
0.19667	7.41534	6.58	4	
0.282122	30.191	27.3533	2	
0.319898	18.2735	24.82	0	
0.187156	20.3922	16.8733	0	
0.277752	32.5745	24.8	3	
0.151633	18.8032	12.4933	0	
0.185209	8.7395	7.70667	1	
0.221574	31.2503	35.3733	7	
0.301245	10.0637	9.88	3	
0.234185	16.1548	14.9133	5	
0.408154	21.4515	26.0667	4	
0.190064	7.68017	6.94667	0	
0.142993	12.4472	9.72	0	
0.166667	0.529667	0.413333	0	
0.177314	5.03184	5.45333	0	
0.557785	1.05933	1.67333	0	
0.119823	9.534	9.9	2	
0.5163	3.70767	5.55333	0	
0.315322	25.1592	31.5467	0	
0.182952	10.3285	11.4267	0	
0.2445	18.8032	21.8	0	
0.322102	6.356	5.44667	1	
0.203255	9.00434	9.74	4	
na	0.264833	0.48	0	
0.185193	13.5065	8.94667	3	
0.325315	9.00434	5.32	0	
0.234632	5.5615	6.30667	1	
0.424593	10.0637	14.58	1	
0.210608	13.5065	10.4067	0	
0.306583	23.3053	21.24	0	
0.162727	26.4833	24.5733	2	
0.261832	21.1867	23.26	6	
0.165817	1.85383	1.65333	0	
0.228668	19.5977	19.5467	1	
0.0290332	1.32417	1.36667	0	
0.244926	19.5977	20	0	
0.115706	7.945	6.78667	0	
0.466341	34.1635	51.6	1	
0.572596	6.356	5.72	0	
0.340652	35.4877	47.44	0	
0.504225	30.4558	39.7067	5	
0.270276	3.9725	5.68667	0	
0.206665	8.47467	7.46667	0	
0.0620583	9.26917	8.62667	0	
na	0.264833	0.153333	0	
0.337447	10.8582	9.13333	0	
0.165712	3.178	3.31333	2	
0.0412636	11.123	9.85333	0	
0.152541	16.1548	8.38	0	
0.46124	21.1867	28.4467	5	
0.0849673	1.05933	1.32	0	
0.190691	23.0405	26.4933	0	
0.417597	14.5658	20.7667	1	
0.374794	22.5108	30.5333	7	
0.19013	3.44283	4.23333	1	
0.221624	11.9175	8.86	1	
0.027625	2.64833	2.34667	0	
0.213836	24.3647	23.66	0	
0.259072	20.3922	22.9533	8	
0.194266	12.1823	11.6867	0	
0.242729	24.8943	29.2267	3	
0.185299	17.2142	18.9267	1	
0.262352	29.3965	30.6733	2	
0.134597	2.3835	1.68	0	
0.142849	5.82634	5.52	7	
0.107183	3.70767	2.25333	0	
0.157119	5.82634	6.05333	0	
0.299875	31.5152	36.3667	12	
0.128014	26.4833	22.5667	0	
0.276247	10.5933	9.55333	4	
0.262486	42.1085	40.7933	1	
0.481962	40.2547	19.8	0	
0.219298	2.91317	3.62	3	
0.234769	9.79884	11	0	
0.204681	16.6845	11.92	2	
0.278344	29.9262	21.1067	0	
0.117641	7.68017	6.48	4	
0.212663	21.7163	20.5533	5	
0.341586	2.11867	3.42667	1	
0.366282	5.03184	6.47333	1	
0.104281	7.41534	6.74	1	
0.198372	10.5933	9.3	2	
0.202299	9.79884	10.6733	1	
0.411089	25.1592	14.6533	0	
0.384227	7.41534	10.58	0	
0.603175	2.11867	3.04	0	
0.38463	14.0362	16.6133	0	
0.13614	5.03184	2.98	0	
0.144264	16.1548	15.3267	5	
0.301295	14.301	10.72	0	
0.139972	10.0637	8.18667	0	
0.19645	19.8625	20.0267	4	
0.0836822	16.1548	12.7267	0	
0.146989	10.3285	9.54	3	
0.224176	7.945	6.21333	3	
0.464286	4.767	4.12	0	
0.382323	9.534	14.0067	2	
0.0444679	1.05933	1.04667	0	
0.261689	5.29667	5.82	1	
0.256815	14.8307	14.6333	1	
0.192649	11.6527	12.4467	0	
0.0950929	11.3878	11.48	0	
0.152395	15.0955	14.7467	0	
0.354277	4.50217	3.68	1	
0.570287	26.4833	35.74	3	
0.183685	26.4833	23.5267	1	
0.0873029	6.88567	7	3	
0.151474	34.4283	35.3	3	
0.210145	20.9218	21.8667	6	
0.288199	41.0492	45.1933	1	
0.198191	24.8943	26.32	0	
0.24845	26.2185	28.6333	6	
na	0	0	0	
0.157228	14.0362	10.14	1	
0.206862	7.41534	6.64667	2	
na	0	0	0	
0.382102	3.178	3.48	0	
0.191536	10.0637	11.02	0	
0.337855	18.5383	14.02	2	
0.106986	8.7395	6.61333	0	
0.248751	13.2417	14.0667	1	
0.240007	18.8032	18.82	3	
0.339382	39.725	52.6533	1	
0.231213	10.3285	10.8133	0	
0.286616	11.9175	8.56	2	
0.185371	5.03184	3.16	1	
0.223702	6.88567	6.03333	0	
0.201714	11.123	12.9533	0	
0.174095	21.4515	23.02	0	
0.144938	18.2735	11.34	1	
0.229887	14.0362	15.08	0	
0.114779	11.123	8.51333	0	
0.19822	1.32417	1.62667	0	
0.393279	4.50217	6.14667	0	
0.253899	11.123	5.96667	0	
0.267505	12.712	15.48	0	
0.161919	15.0955	15.16	5	
0.194986	7.1505	8.60667	0	
0.16318	20.657	19.2	1	
0.29035	8.20984	9.54	0	
0.0307923	9.00434	5.86667	1	
0.271388	23.5702	29.4267	0	
0.170222	2.64833	2.21333	1	
0.194464	2.64833	2.28	0	
0.252506	17.479	17.56	6	
0.125996	10.0637	7.65333	2	
0.358793	26.2185	34.4933	6	
0.45403	6.356	6.19333	0	
0.164695	14.8307	14.7133	1	
0.228186	22.5108	22.4667	5	
0.2781	17.7438	18.36	8	
0.509943	1.32417	1.3	0	
0.294477	2.64833	3.26	1	
0.112125	12.4472	8.13333	0	
0.179095	11.6527	10.68	1	
0.0995779	3.44283	3.60667	1	
0.189453	5.82634	6.81333	0	
0.305556	1.05933	1.58	0	
0.161755	9.00434	10.0533	0	
0.153889	7.68017	7.75333	0	
0.232035	8.20984	7.62667	3	
0.251308	16.6845	17.1733	4	
0.162562	18.2735	16.0067	3	
0.117416	10.8582	8.42667	0	
0.184319	4.50217	4.07333	0	
0.0706144	1.05933	1.13333	0	
0.179505	3.9725	4.37333	0	
0.150124	13.5065	11.0867	2	
0.231495	1.85383	1.76667	0	
0.459417	25.1592	21.4733	0	
0.378369	30.191	35.54	0	
0.0809719	10.0637	9.66667	0	
0.231949	11.9175	9.85333	1	
0.31314	14.8307	10.4	0	
0.33205	8.7395	11.7267	1	
0.32812	19.8625	21.6467	0	
0.0848254	4.50217	3.80667	1	
0.083762	11.123	8.20667	1	
0.0854391	5.29667	4.50667	3	
0.421887	4.23734	3.36	0	
0.217646	17.479	19.2267	0	
0.207678	17.2142	17.3867	0	
0.17321	8.47467	6.10667	0	
0.257139	7.68017	5.88667	0	
na	0	0	0	
0.108189	4.50217	4.32	1	
0.213315	7.68017	7.68	0	
0.326483	13.2417	14.9933	0	
0.190003	3.9725	4.48667	0	
0.0643176	9.79884	7.38	1	
0.255881	3.70767	3.24	0	
0.231076	21.4515	25.5467	1	
0.306829	11.3878	11.9133	4	
0.325944	16.9493	22.6	2	
na	0	0	0	
0.202502	7.68017	7.12667	0	
0.224237	11.6527	12.12	0	
0.272901	9.79884	8.6	5	
0.462215	40.7844	52.2933	0	
0.386439	36.547	44.08	0	
0.194747	17.7438	13.2267	1	
0.0767103	2.64833	2.5	1	
0.339771	12.712	14.9133	0	
na	0.264833	0.08	0	
0.13869	15.3603	15.84	0	
0.191964	1.85383	1.83333	0	
0.086211	10.3285	6.56	0	
0.167986	14.8307	11.2733	4	
0.261519	21.4515	23.3467	2	
0.191721	17.2142	17.56	4	
0.361881	7.945	9.45333	0	
0.167954	20.9218	22.8867	2	
0.288132	17.479	17.3	0	
0.00173611	1.05933	0.32	0	
0.255047	5.03184	4.6	0	
0.410712	11.9175	14.8267	1	
0.153014	6.356	5.10667	2	
0.223528	7.68017	8.10667	0	
0.236238	12.9768	14.3133	0	
0.277502	7.68017	7.94	0	
0.10492	10.3285	10.6067	0	
0.159525	12.1823	12.4067	5	
0.22021	19.8625	15.56	0	
0.180154	19.3328	19.7867	0	
0.0744446	5.29667	4.64667	1	
0.722222	1.32417	2.28	0	
0.189582	22.246	21.9133	8	
0.199967	22.5108	19.2067	2	
0.292226	1.32417	1.39333	1	
0.393494	11.6527	15.9733	0	
0.324847	22.246	29.1733	0	
0.00370896	0.7945	0.38	0	
0.18454	12.9768	11.62	0	
0.324335	10.5933	11.4	2	
0.163625	6.62084	6.46667	0	
0.224792	8.47467	8.64667	0	
0.167287	3.178	3.10667	0	
0.335244	21.1867	15.34	1	
0.221656	12.712	11.22	2	
na	0.264833	0.08	0	
0.149834	9.26917	9.44667	1	
0.373128	6.356	7.18667	1	
0.264164	11.3878	12.9933	0	
0.129327	13.5065	10.74	1	
0.291384	14.5658	19.48	0	
na	0.264833	0.52	0	
0.50997	7.1505	9.96	4	
0.19566	2.64833	2.94667	1	
0.264535	22.246	26.4467	0	
0.227482	20.3922	24.3267	0	
0.438509	2.3835	2.29333	0	
0.537381	8.47467	10.8733	1	
0.138299	8.20984	6.14667	1	
na	0.264833	0.153333	0	
0.268636	4.23734	3.07333	0	
0.283852	21.7163	17.06	0	
0.312987	11.9175	13.2533	4	
0.299975	19.068	24.6333	1	
0.239776	14.301	16.9933	0	
0.22005	20.3922	12	2	
0.227623	8.47467	7.32667	0	
0.440019	5.03184	4.22	1	
0.0839757	3.178	2.91333	0	
0.115689	10.3285	8.64	2	
0.23565	7.68017	7.62	1	
0.233615	21.9812	24.3333	0	
0.210226	20.9218	18.4467	5	
0.443206	4.50217	6.43333	1	
0.0055351	1.32417	0.773333	0	
0.378484	12.9768	14.88	1	
0.343398	32.3097	38.0733	1	
0.0201945	1.32417	1.18	1	
0.321221	28.0723	31.54	1	
0.313725	4.767	4.84	2	
0.256513	15.3603	13.58	1	
0.303618	22.246	23.3133	6	
0.519356	22.5108	14.88	1	
0.852941	0.7945	1.45333	0	
0.409113	1.589	1.72	0	
0.0560936	18.0087	15.7733	4	
0.199598	6.62084	5.9	3	
0.126635	9.26917	8.79333	0	
0.00362319	0.529667	0.233333	0	
