mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:32:31 2008 

Input data from the file: ex03.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 7864

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             20
Thetaw:                5
No_rec_males:          0
Recombination:         10
Nintn:                 3
Iflogistic:            1
Ts:                    0.025
Nrec:                  1 0.1 2
Npast:                 0.1 0.1 2
Tpast:                 0.05 0.01 1


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
1.60536	8.43663	1.34265	1.65477	1.5538	1.91764	-1.35789	0.575758	0.647059	0.654203	na	0.3	0.721053	0.195478	34	0	0	9.58357	13.4789	14.8368	0.629957	-0.242755	0.5	0.5	0	2	14.1579	1.66488	0.315	na	0.741898	
1.51423	15.5249	1.31568	1.6025	1.53601	1.87084	-4.33684	0.511628	0.568182	0.640833	na	0.2	0.6	0.191157	44	0	0	12.4023	17.0947	21.4316	0.586393	-0.610952	0.55	0.55	0	3	19.2632	1.99636	0.43	na	1.40394	
2.3059	9.61139	1.67878	2.1729	1.97113	2.54286	-2.34737	0.705882	0.8	0.779157	na	0.3	0.852632	0.223083	35	0	0	9.86544	15.6158	17.9632	0.903371	-0.408644	0.25	0.25	1	0	16.7895	2.45827	0.19	na	0.256151	
0.737485	2.68091	0.967987	1.04691	1.07699	1.17512	-4.06316	0.5	0.56	0.592874	na	0.4	0.847368	0.162419	25	0	0	7.04674	8.38947	12.4526	0.295318	-0.959134	0.35	0.45	1	3	10.4211	1.58949	0.195	na	0.595985	
-0.26599	8.22232	1.01052	0.730838	1.16847	0.834079	-10.6	0.492063	0.5625	0.606025	na	0.35	0.642105	0.127709	64	0	0	18.0397	16.8579	27.4579	-0.101529	-1.04913	0.6	0.65	2	8	22.1579	0.856499	0.39	na	0.415236	
2.38579	8.55333	1.61007	2.13897	1.84893	2.45806	-0.0421053	0.818182	0.913043	0.88203	na	0.25	0.773684	0.228375	23	0	0	6.483	10.5053	10.5474	0.961573	-0.0107031	0.4	0.6	0	0	10.5263	2.03889	0.265	na	1.23747	
-2.0088	0.358266	-3.07126	-3.20828	-1.07522	-1.68865	-22.8526	0.677419	0.6875	0.698386	na	0.4	0.852632	0.171913	32	0	0	9.01983	4.41579	27.2684	-0.791095	-4.31803	0.3	0.4	0	14	15.8421	2.6147	0.19	na	4.75566	
0.854788	2.80157	0.262214	0.510526	0.220181	0.524865	-0.989474	0.322581	0.46875	0.462043	na	0.45	0.889474	0.164598	32	0	0	9.01983	10.9789	11.9684	0.336628	-0.186962	0.25	0.25	3	8	11.4737	0.940462	0.155	na	0.0910834	
0.630794	8.38245	1.69968	1.60833	2.01	1.89308	-14.3895	0.675	0.731707	0.720216	na	0.3	0.794737	0.163222	41	0	0	11.5567	13.3842	27.7737	0.245091	-2.16471	0.4	0.4	1	0	20.5789	2.79301	0.245	na	0.448289	
0.909788	5.91367	1.43415	1.48822	1.64937	1.71278	-2.48421	0.615385	0.703704	0.69474	na	0.3	0.726316	0.172217	27	0	0	7.61048	9.38947	11.8737	0.362285	-0.547386	0.5	0.55	1	1	10.6316	1.33544	0.31	na	0.319507	
