ZnA[0]	ZnA[1]	ZnA[2]	ZnA[3]	
0.0321437	0.342593	0.0918583	0.324242	
0.635415	0.332341	0.0752964	0.257438	
0.119817	0.280093	0.130963	0.115134	
0.0024579	0.0793021	0.0922266	0.261598	
0.122597	0.541005	0.053913	0.107025	
0.0898831	0.299162	0.228781	0.269308	
0.0909755	0.265873	0.10921	0.149392	
0.137635	0.245591	0.150963	0.094301	
0.0307071	0.337963	0.154818	0.186944	
0.0957923	0.115741	0.330661	0.121384	
0.116878	0.166667	0.159454	0.362006	
0.0681735	0.279012	0.115708	0.0482094	
0.0124691	0.259259	0.0596572	0.233994	
0.0821867	0.271605	0.0633577	0.201574	
0.0545004	0.394117	0.0399757	0.0590909	
0.0737008	0.0608466	0.19703	0.159465	
0.00840684	0.184954	0.0823797	0.156319	
0.193437	0.121914	0.0764634	0.406426	
0.0458825	0.515608	0.205511	0.183733	
0.16145	0.517196	0.15282	0.590835	
0.0671013	0.188713	0.167171	0.295543	
0.012263	0.199537	0.14705	0.165589	
0.0242747	0.183025	0.097832	0.363689	
0.0279876	0.136144	0.0653115	0.154408	
0.00444414	0.0862434	0.0688024	0.125435	
0.0793362	0.178704	0.102877	0.17834	
0.00419956	0.27284	0.273693	0.248803	
0.175904	0.245679	0.0444961	0.117579	
0.0481863	0.219753	0.0798926	0.174983	
0.0813538	0.349206	0.123353	0.0955785	
0.0434148	0.217207	0.101061	0.173554	
0.116817	0.259259	0.050102	0.13595	
0.172546	0.27888	0.132583	0.17376	
0.0568839	0.179012	0.167849	0.19254	
0.116343	0.182981	0.0378994	0.161574	
0.00843241	0.237654	0.138057	0.342975	
0.073638	0.268519	0.116315	0.193955	
0.0626608	0.716049	0.0275001	0.0252224	
0.0571566	0.0652557	0.086343	0.14022	
0.0565039	0.592593	0.0748413	0.0928719	
0.0296451	0.224427	0.190186	0.164377	
0.0086377	0.0436508	0.12461	0.142288	
0.117049	0.124284	0.0504929	0.102565	
0.0874036	0.581658	0.0467199	0.273582	
0.0371428	0.398148	0.0423297	0.0266736	
0.0752631	0.138889	0.0473388	0.113633	
0.0665417	0.414815	0.0548629	0.250181	
0.0223412	0.155581	0.117079	0.073294	
0.00916373	0.338955	0.0879674	0.284908	
0.0598276	0.572531	0.0801539	0.166738	
0.137347	0.0902778	0.108823	0.106057	
