thetap[0]	thetap[1]	thetap[2]	thetap[3]	
36.6291	26.5209	71.1499	36.0448	
28.9853	20.6313	74.5105	25.0364	
22.0724	25.2625	81.8677	39.1413	
19.9011	22.1609	81.6454	39.5564	
15.9144	22.5469	79.2973	44.0381	
28.5167	26.1564	86.143	47.4587	
38.6616	17.7241	64.0735	46.7709	
28.8506	24.5263	72.4596	46.6873	
25.5962	22.6405	114.846	37.7766	
25.8297	22.5052	114.633	37.5221	
30.7893	15.0071	71.0838	41.7774	
22.2717	24.2263	55.454	25.5056	
44.0325	24.9021	101.815	45.5012	
33.3623	27.3327	94.597	43.4694	
29.527	24.4194	69.4579	31.6888	
19.4806	26.6266	114.725	37.5353	
35.7297	25.7121	107.41	47.576	
22.5587	24.5759	76.6636	32.1264	
23.3414	17.6119	100.427	46.3168	
26.3376	25.4904	111.898	34.9912	
42.2874	17.2917	53.8332	37.944	
37.7807	22.3345	93.0955	33.1516	
26.2992	20.0285	85.7801	29.8372	
29.7032	26.234	99.4325	41.7416	
26.9202	18.8991	84.8717	35.898	
30.7624	26.9785	98.6154	46.1078	
31.504	27.4459	109.748	33.807	
23.8546	26.8188	80.3459	49.2332	
17.6507	15.3398	85.1166	37.8217	
30.2943	22.0704	101.589	41.3951	
29.1013	24.2122	99.2525	26.9576	
25.8209	24.2577	78.6569	39.0894	
34.8131	27.0192	109.4	31.8633	
23.0763	19.7436	70.2836	38.2683	
41.7455	21.968	69.2684	29.814	
38.8112	25.9172	68.1254	36.3549	
28.3628	27.5735	118.357	27.8002	
37.7285	13.5563	92.6067	45.4453	
16.1702	23.8619	85.4312	44.9491	
24.66	26.3267	76.6866	43.0186	
20.7468	24.3523	111.02	35.0586	
26.4759	27.0971	103.144	39.1105	
24.2369	24.6775	70.7096	37.5974	
35.1839	19.4167	84.99	37.32	
39.0593	21.9384	95.7917	46.6777	
38.135	24.1239	98.8851	45.7933	
26.9762	16.5601	106.582	36.4758	
30.7749	20.5689	55.8518	49.3729	
43.5492	25.6815	78.1441	31.0318	
19.1872	26.8132	111.756	21.9365	
15.3175	25.6757	91.5051	31.5904	
22.5419	18.1093	84.8621	49.2369	
41.5747	19.556	64.5735	42.0737	
30.3761	8.63014	90.2275	39.3767	
30.8919	12.5912	79.9679	43.3766	
49.2341	18.8729	94.319	43.1335	
28.8343	20.0014	87.0611	25.89	
35.6231	12.2389	54.6144	33.6827	
22.9301	21.3084	79.2546	44.4091	
44.2631	19.4607	58.6949	47.4095	
29.153	22.881	98.0554	31.1417	
44.0326	23.6933	74.4407	25.8851	
34.1967	17.736	108.577	46.3596	
38.3937	16.0861	82.523	38.251	
48.0356	16.1609	93.1326	43.7448	
30.6307	22.6642	112.71	45.657	
26.9023	20.6992	93.7725	37.5642	
35.0989	14.4941	111.475	40.6828	
17.0818	25.3736	106.545	41.9578	
38.3166	16.9179	89.0814	26.3964	
31.1621	16.6236	102.513	46.4436	
31.8588	21.3359	72.9744	22.7534	
36.0295	27.5627	71.1352	44.6857	
32.7104	21.5292	82.0769	37.0183	
30.4216	19.579	90.3869	31.7191	
20.3342	24.2605	101.55	44.3643	
27.6826	27.5503	70.5598	44.7273	
35.3806	11.3558	83.3084	49.3668	
36.9746	21.5266	67.108	37.9132	
15.465	25.4799	106.164	39.6668	
31.7253	21.8052	70.3798	39.6445	
30.3568	18.7593	106.425	46.9897	
42.4897	19.376	86.6235	30.7834	
26.9985	17.8206	91.6897	35.6528	
42.5242	17.8802	106.161	40.4972	
37.7158	16.6435	88.245	36.3924	
35.7665	25.0566	77.4648	42.9898	
37.5392	27.3995	66.0225	35.5011	
36.5461	26.4595	90.6483	47.3	
23.6739	21.4012	61.805	40.4351	
32.8827	18.4924	109.431	45.5176	
29.1984	18.9996	87.7555	48.5828	
27.8602	26.3787	96.8292	47.6657	
35.3365	15.3212	75.1982	38.1615	
38.0704	26.6562	102.38	39.2932	
41.3968	26.7511	117.512	43.168	
43.4139	25.0764	108.089	45.053	
28.9743	26.8618	99.7187	33.3364	
20.1731	18.7455	83.635	42.5837	
21.7963	12.2123	89.3605	44.3633	
33.9178	19.7363	100.641	38.7012	
31.7582	24.4627	100.896	35.8341	
35.991	19.4275	71.115	46.7245	
15.4775	21.8442	84.6986	36.503	
28.588	27.6617	64.4388	44.6845	
34.5236	18.2685	66.4618	37.2468	
29.8401	27.4867	49.8066	36.9359	
30.0678	23.0234	105.682	43.1309	
26.7762	27.0547	101.21	47.7567	
30.0128	25.5224	77.7596	47.264	
28.3929	17.1112	77.1765	41.1122	
23.9819	27.3878	79.4127	35.0411	
28.8192	18.6252	112.985	31.9672	
43.0419	26.4226	95.0155	48.0286	
31.3301	15.8645	112.969	42.6346	
35.4651	17.2086	90.0484	41.6323	
26.202	20.81	85.7449	25.4085	
29.1466	23.1049	63.1056	44.5692	
31.0667	18.3875	96.4023	45.8651	
30.4803	27.7051	70.5557	39.0326	
27.2792	24.7308	94.6931	48.3693	
34.5001	25.7726	81.1438	37.9583	
22.6502	16.72	79.8186	41.9244	
22.3103	22.306	86.7412	43.7195	
