mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:32:46 2008 

Input data from the file: ex05.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 586

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             30
Thetaw:                5
No_rec_males:          0
Recombination:         10

Pop_size:              1.00E+06
Ifselection:           1
Pop_sel:               20000
Sel_nt:                -10000
Sinit:                 -5E-05

Recombination parameter value for the studied region and all the region until the selective position.


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-0.973774	1.61262	0.439253	0.0203281	0.427222	-0.00156866	-2.41839	0.6	0.666667	0.724138	na	0.1	0.190805	0.0831546	6	0	0	1.51452	0.997701	3.41609	-0.463714	-1.93871	0.9	0.9	0	1	2.2069	0.94804	0.815556	na	4.00922	
-1.25811	1.69953	1.05802	0.44351	1.07504	0.454404	-6.69425	1	1	1	na	0.0666667	0.128736	0.0643678	4	0	0	1.00968	0.514943	7.2092	-0.665852	-7.12643	0.933333	0.933333	0	0	3.86207	5.03997	0.875556	na	7.76786	
-2.28687	2.02538	-3.86942	-3.95683	-2.37605	-2.79994	-5.21379	1	1	1	na	0.0666667	0.0666667	0.179505	9	0	0	2.27178	0.6	5.81379	-1	-3.0845	0.966667	0.966667	0	6	3.2069	0.975389	0.935556	na	15	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	3.2069	na	1	na	na	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	3.2069	na	1	na	na	
-0.889817	0.633229	-0.967878	-1.09689	0.0103059	-0.300231	-1.37011	0.333333	0.5	0.392573	na	0.1	0.296552	0.111292	4	0	0	1.00968	0.65977	2.02989	-0.470933	-1.45857	0.833333	0.833333	0	1	1.34483	0.592183	0.713333	na	1.51568	
na	na	na	na	na	na	0	na	na	na	na	0.0333333	0	na	0	0	0	0	0	0	na	na	1	1	0	0	1.34483	na	1	na	na	
-2.43013	2.94499	-4.23464	-4.30375	-0.847919	-1.64261	-14.6115	1	1	1	na	0.0666667	0.0666667	0.179505	13	0	0	3.28146	0.866667	15.4782	-1	-6.44833	0.966667	0.966667	0	5	8.17241	3.91973	0.935556	na	15	
-2.36834	2.50053	-4.07315	-4.15113	-0.679395	-1.46797	-12.8092	1	1	1	na	0.0666667	0.0666667	0.179505	11	0	0	2.77662	0.733333	13.5425	-1	-6.471	0.966667	0.966667	0	4	7.13793	3.9479	0.935556	na	15	
-1.60513	0.138798	-0.608366	-1.04979	-0.68641	-1.1363	-4.89195	0.25	0.4	0.612069	na	0.1	0.131034	0.0815298	5	0	0	1.2621	0.51954	5.41149	-0.799511	-4.46599	0.933333	0.933333	0	2	2.96552	2.62086	0.873333	na	3.84956	
