Ttot[0]	Ttot[1]	Ttot[2]	Ttot[3]	
0.663485	0.312651	0.611535	0.330983	
0.969351	0.335287	0.57993	0.346206	
0.793005	0.540174	0.517317	0.377377	
0.642069	0.375948	0.48056	0.449595	
0.59235	0.412298	0.420787	0.374553	
0.769774	0.362365	0.528163	0.311172	
0.670628	0.464942	0.501891	0.418219	
0.73842	0.42521	0.675509	0.401242	
0.647279	0.508738	0.51399	0.379628	
0.725114	0.571514	0.53232	0.323039	
0.728703	0.5817	0.700628	0.309623	
0.804173	0.598498	0.582033	0.317362	
0.813972	0.307206	0.473985	0.772522	
0.84073	0.386413	0.545685	0.48829	
0.86253	0.344416	0.53644	0.405192	
0.593369	0.399858	0.611123	0.350389	
0.65697	0.609784	0.44713	0.351843	
0.724909	0.388882	0.501786	0.484376	
0.614779	0.305518	0.562192	0.420691	
0.637057	0.351145	0.554159	0.584562	
0.74539	0.414503	0.835399	0.5338	
1.04877	0.33618	0.529394	0.46486	
0.632714	0.364492	0.648868	0.33849	
0.822152	0.281194	0.562399	0.490868	
0.607213	0.443111	0.507377	0.348487	
0.545187	0.63156	0.501462	0.511095	
0.581689	0.469083	0.498728	0.426191	
0.527762	0.507504	0.597553	0.351886	
0.597857	0.383815	0.391961	0.326919	
0.849778	0.465211	0.409339	0.453441	
0.694812	0.61877	0.400594	0.313642	
0.66935	0.547716	0.486861	0.426175	
0.706768	0.541266	0.520632	0.41264	
0.676421	0.359619	0.472083	0.388457	
0.736438	0.547942	0.611557	0.558362	
0.616079	0.418274	0.499248	0.310509	
0.679032	0.590916	0.559825	0.370255	
0.740838	0.511487	0.487575	0.53612	
0.70245	0.547907	0.467376	0.402544	
0.734085	0.31056	0.664965	0.397088	
0.610404	0.441768	0.528801	0.356976	
0.650313	0.426895	0.632965	0.314584	
0.875459	0.548959	0.460994	0.468237	
0.699195	0.469625	0.578321	0.34921	
0.977076	0.301758	0.396175	0.366763	
0.559361	0.463042	0.526951	0.411626	
0.659479	0.371901	0.505384	0.365942	
0.580873	0.449819	0.449946	0.472719	
0.66346	0.525095	0.645592	0.388718	
0.756213	0.585326	0.591895	0.429079	
0.569214	0.46486	0.614743	0.409265	
0.685778	0.411521	0.593945	0.383057	
0.819186	0.360484	0.783948	0.498546	
0.84766	0.376875	0.459567	0.484666	
0.792255	0.468671	0.524772	0.419216	
0.727997	0.356704	0.522533	0.350812	
0.77628	0.361178	0.517021	0.33381	
0.696701	0.271967	0.546573	0.35876	
0.593793	0.35608	0.512623	0.296157	
0.643269	0.3049	0.441653	0.342022	
0.571112	0.39735	0.493834	0.52525	
0.74427	0.653102	0.59427	0.396125	
0.759591	0.516123	0.499083	0.351437	
0.709452	0.244703	0.523973	0.360204	
0.836581	0.479276	0.516981	0.380795	
0.630029	0.402296	0.600576	0.434005	
0.899366	0.456115	0.603266	0.357599	
0.673299	0.422901	0.640878	0.351901	
0.641242	0.425631	0.600129	0.483423	
0.550824	0.460543	0.658996	0.470367	
0.799012	0.312197	0.455986	0.365226	
0.704578	0.510567	0.509148	0.331277	
0.591572	0.490591	0.556092	0.311265	
0.975935	0.650869	0.549797	0.383708	
0.914806	0.514788	0.581268	0.369041	
0.660082	0.4111	0.504683	0.432188	
0.621259	0.366145	0.575791	0.417689	
0.636102	0.503392	0.522295	0.35598	
0.664445	0.524501	0.483648	0.437082	
0.769904	0.490531	0.479628	0.324009	
0.713981	0.350408	0.63306	0.316181	
0.684657	0.398891	0.482775	0.457935	
0.764577	0.320956	0.537921	0.387509	
0.697621	0.551231	0.490567	0.378959	
0.64079	0.52214	0.584431	0.416009	
0.876537	0.428132	0.635813	0.426395	
0.747059	0.460953	0.437153	0.356093	
0.908176	0.573589	0.451199	0.435212	
0.640331	0.516548	0.633303	0.357528	
0.730947	0.37747	0.513496	0.390727	
0.640941	0.385762	0.559642	0.561837	
0.845737	0.544087	0.6343	0.283824	
0.711629	0.323523	0.762142	0.377053	
0.751111	0.422158	0.608088	0.317056	
0.841174	0.517652	0.536539	0.416598	
0.641783	0.320789	0.520155	0.373612	
0.772302	0.698396	0.72181	0.411446	
0.5903	0.434734	0.459823	0.402402	
0.774583	0.426651	0.497228	0.324825	
0.719773	0.594946	0.476479	0.437709	
0.837455	0.575695	0.551766	0.430835	
0.582211	0.461995	0.607858	0.294433	
0.60157	0.468734	0.638293	0.330768	
0.644023	0.342325	0.51286	0.314252	
0.695818	0.310372	0.56803	0.474115	
1.2941	0.541065	0.528073	0.444728	
0.651645	0.298182	0.611614	0.237432	
0.520257	0.430159	0.624807	0.406126	
0.711799	0.358095	0.603093	0.333595	
0.694895	0.536335	0.595418	0.405082	
0.672531	0.33694	0.45136	0.434244	
0.522963	0.335671	0.698367	0.334254	
0.640716	0.428226	0.53177	0.39501	
0.654711	0.320429	0.774595	0.507965	
0.667695	0.509436	0.590806	0.345395	
0.674423	0.330989	0.528182	0.352354	
0.646697	0.438	0.510507	0.392149	
0.508317	0.447364	0.411451	0.520451	
0.505497	0.607988	0.64255	0.387407	
0.692213	0.382923	0.678652	0.454671	
0.602513	0.350717	0.552978	0.337285	
0.683568	0.451599	0.504222	0.426068	
0.715933	0.555767	0.549179	0.421876	
0.71687	0.490757	0.601391	0.499337	
0.752684	0.467378	0.456179	0.448349	
0.540829	0.509057	0.463292	0.429663	
0.633195	0.360498	0.604843	0.33113	
0.713629	0.50852	0.488143	0.329461	
0.633822	0.378927	0.529299	0.326024	
0.541369	0.55032	0.448766	0.320181	
0.526039	0.403274	0.672187	0.400213	
1.12485	0.396175	0.411869	0.387696	
0.639109	0.426597	0.499068	0.422358	
0.678315	0.55928	0.575648	0.373766	
0.62263	0.32286	0.515506	0.401117	
0.733761	0.298808	0.463797	0.440324	
0.811233	0.533095	0.705946	0.372968	
0.648378	0.423452	0.513894	0.328069	
0.663885	0.356769	0.61331	0.41259	
0.548556	0.40086	0.673344	0.418974	
