mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 02:03:59 2008 

Input data from the file: ex20.txt

Print_neuttest:        2
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 672

N_loci:                1
Nlinked_loci:          5
Pos_linked:            12 500, 1056 2300, 5020 7050, 9590 10900, 11200 12349
Factorn_chr:           1.000000
N_sites:               12350
N_samples:             12
Thetaw:                98.3
No_rec_males:          0
Recombination:         60

Pop_size:              1.00E+06
Ifselection:           1
Pop_sel:               20000
Sel_nt:                2000
Sinit:                 0

Recombination parameter value for the studied region and all the region until the selective position.


Neutral tests (excluding multiple hits positions)
avg(TD)	var(TD)	avg(Fs)	var(Fs)	avg(FD*)	var(FD*)	avg(FF*)	var(FF*)	avg(FD)	var(FD) 	avg(FF)	var(FF)	avg(H)	var(H)	avg(B)	var(B)	avg(Q)	var(Q)	avg(ZA)	var(ZA)	avg(Fst)	var(Fst)	avg(Kw)	var(Kw) 	avg(Hw)	var(Hw)	avg(R2)	var(R2)	avg(S)	var(S)	avg(pi_w)	var(pi_w)	avg(pi_b)	var(pi_b)	avg(ThetaWatt)	var(thetaWatt)	avg(ThetaTaj)	var(ThetaTaj)	avg(ThetaFW)	var(ThetaFW)	avg(D/Dmin)	var(D/Dmin)	avg(Hnorm)	var(Hnorm)	avg(maxhap)	var(maxhap)	avg(maxhap1)	var(maxhap1)	avg(Rm)	var(Rm)	avg(theta_fl)	var(theta_fl)	avg(theta_l)	var(theta_l)	avg(zeng_E)	var(zeng_E)	avg(EW-test)	var(EW-test)	avg(Fstw)	var(Fstw)	avg(Pwh)	var(Pwh)
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	0.0909091	0	-0.90177	na	0.969444	0.00466821	na	na	6	na	
-1.94047	0.161478	6.31092	3.83126	-2.15173	0.82569	-2.38739	0.783804	-0.719551	0.0651685	-1.31886	0.109288	-12.6667	187.909	0.653747	0.111612	0.719697	0.0652548	0.746787	0.0534273	na	na	0.166667	0.00694444	0.160606	0.0253214	0.200323	0.00540901	16.6	335.8	0	0	0	0	5.49691	36.8216	3.01212	10.3548	15.6788	284.801	-0.87752	0.0274286	-4.16179	0.311894	0.916667	0.00694444	0.916667	0.00694444	0	0	7.8	82.2	9.38182	99.7537	2.73495	0.105867	0.852778	0.021277	na	na	3.67887	4.04486	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	9.09091	0	na	na	1	0	na	na	na	na	
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	5.49091	24.3	-0.90177	na	0.969444	0.00466821	na	na	6	na	
-1.14053	na	-0.475656	na	-1.32974	na	-1.44334	na	-1.42122	na	-1.56732	na	0.030303	0.00459137	na	na	na	na	na	na	na	na	0.1	0.00138889	0.0333333	0.00555556	0.276385	na	0.2	0.2	0	0	0	0	0.0662279	0.0219306	0.0333333	0.00555556	0.0030303	4.59137e-05	-1	na	0.338215	na	0.983333	0.00138889	1	0	0	0	0.2	0.2	0.0909091	0	-0.90177	na	0.969444	0.00466821	na	na	6	na	
-1.82499	0.352559	3.89601	15.1951	-2.25687	0.647493	-2.43561	0.741592	-1.50779	0.24749	-1.92331	0.292674	-3.90909	29.5845	1	na	1	na	1	na	na	na	0.133333	0.00208333	0.1	0.00833333	0.276385	2.08167e-17	7.8	112.7	0	0	0	0	2.58289	12.3579	1.3	3.13056	5.20909	50.7807	-1	0	-1.79623	3.8996	0.95	0.00208333	0.966667	0.00208333	0	0	5	49	3.29091	19.2661	0.47355	1.97737	0.908333	0.00700231	na	na	6	0	
-1.77988	0.307665	2.911	8.9039	-2.18849	0.555525	-2.36321	0.637368	-0.880172	0.421716	-1.35452	0.200943	-4.27273	35.0941	1	na	1	na	1	na	na	na	0.133333	0.00208333	0.1	0.00833333	0.276385	2.08167e-17	5.4	50.3	0	0	0	0	1.78815	5.51556	0.9	1.39722	5.17273	50.0722	-1	0	-2.69756	7.34387	0.95	0.00208333	0.966667	0.00208333	0	0	2.6	11.8	6.12727	11.4116	1.41588	4.4722	0.908333	0.00700231	na	na	6	0	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	7.72727	0	na	na	1	0	na	na	na	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	7.72727	0	na	na	1	0	na	na	na	na	
na	na	na	na	na	na	na	na	na	na	na	na	0	0	na	na	na	na	na	na	na	na	0.0833333	1.0842e-18	0	0	na	na	0	0	0	0	0	0	0	0	0	0	0	0	na	na	na	na	1	0	1	0	0	0	0	0	7.72727	0	na	na	1	0	na	na	na	na	
