mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 01:31:24 2008 

Input data from the file: ex00.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 7354

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1050
N_samples:             25
Thetaw:                5
No_rec_males:          0
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW)	value(D/Dmin)	value(Hnorm)	value(maxhap)	value(maxhap1)	value(Rm)	value(theta_fl)	value(theta_l)	value(zeng_E)	value(EW-test)	value(Fstw)	value(Pwh)
-0.445039	-5.93816	0.221662	0.0188548	0.184001	-0.0317135	0.593333	0.05	0.0952381	0.0854554	na	0.64	0.956667	0.108354	21	0	0	5.5615	4.88	4.28667	-0.175577	0.169467	0.16	0.24	3	5	4.58333	-0.536818	0.0816	na	0.204918	
1.54444	1.96548	1.3815	1.67693	1.55124	1.87846	2.40333	0.181818	0.217391	0.331899	na	0.4	0.896667	0.186716	23	0	0	6.09117	8.66	6.25667	0.604265	0.633793	0.24	0.24	3	1	7.45833	0.697296	0.1392	na	0.230947	
1.49688	1.66359	0.337434	0.804886	0.316814	0.840756	0.613333	0.230769	0.428571	0.429415	na	0.32	0.826667	0.182435	14	0	0	3.70767	5.30667	4.69333	0.61793	0.247501	0.32	0.44	1	3	5	0.971104	0.2064	na	0.376884	
0.889035	0.809224	1.64946	1.65621	1.87117	1.8685	3.12	0.0869565	0.166667	0.229158	na	0.44	0.923333	0.164444	24	0	0	6.356	7.89333	4.77333	0.346558	0.792436	0.2	0.24	1	0	6.33333	-0.0111687	0.1136	na	0.126689	
0.750825	-0.885128	0.864564	0.971312	0.941856	1.0643	0.18	0.181818	0.304348	0.338143	na	0.52	0.936667	0.15548	23	0	0	6.09117	7.34	7.16	0.293762	0.0474685	0.16	0.28	2	3	7.25	0.59104	0.1008	na	0.13624	
-1.54047	-5.53813	-1.65346	-1.88734	-1.91403	-2.14959	1.24333	0.111111	0.2	0.117183	na	0.4	0.82	0.0692949	10	0	0	2.64833	1.41333	0.17	-0.66817	0.659209	0.4	0.56	0	6	0.791667	-1.78297	0.2128	na	0.707547	
1.09521	-0.452699	0.658934	0.923189	0.682335	0.979696	2.16333	0	0	0.226356	na	0.4	0.826667	0.169749	13	0	0	3.44283	4.54	2.37667	0.456613	0.928126	0.32	0.32	3	2	3.45833	0.0123075	0.2064	na	0.220264	
0.2576	-1.20543	0.847274	0.780037	0.905856	0.836824	-1.15667	0	0	0.154648	na	0.44	0.93	0.138128	16	0	0	4.23734	4.54667	5.70333	0.104598	-0.417335	0.16	0.24	2	2	5.125	0.602796	0.1072	na	0.219941	
0.695581	1.69276	-0.337221	-0.0219973	-0.471386	-0.0986642	0.753333	0.35	0.619048	0.416283	na	0.36	0.833333	0.148482	21	0	0	5.5615	6.62667	5.87333	0.274421	0.215165	0.32	0.4	2	7	6.25	0.377846	0.2	na	0.301811	
0.141103	-2.09392	0.403801	0.377683	0.399198	0.37875	0.283333	0.217391	0.375	0.313529	na	0.56	0.923333	0.131827	24	0	0	6.356	6.6	6.31667	0.0550039	0.0719626	0.24	0.36	3	5	6.45833	0.0504164	0.1136	na	0.151515	
