mlcoalsim version 1.39 (20080202)
OUTPUT FILE: date Sat Feb  2 02:01:05 2008 

Input data from the file: ex18.txt

Print_neuttest:        2
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 670

N_loci:                4
Factorn_chr:           1.000000 1.000000 1.000000 1.000000
N_sites:               1050 560 2456 1000
N_samples:             30 10 24 12
Thetaw:                10 5 35 8.5
No_rec_males:          0
Recombination:         10 0 30 56

Pop_size:              1.00E+06
Ifselection:           0 0 1 0
Pop_sel:               0 0 20000 0
Sel_nt:                0 0 200 0
Sinit:                 0 0 -0.01 0

Recombination parameter value for the studied region and all the region until the selective position.


Neutral tests (excluding multiple hits positions)
avg(TD)	var(TD)	avg(Fs)	var(Fs)	avg(FD*)	var(FD*)	avg(FF*)	var(FF*)	avg(FD)	var(FD) 	avg(FF)	var(FF)	avg(H)	var(H)	avg(B)	var(B)	avg(Q)	var(Q)	avg(ZA)	var(ZA)	avg(Fst)	var(Fst)	avg(Kw)	var(Kw) 	avg(Hw)	var(Hw)	avg(R2)	var(R2)	avg(S)	var(S)	avg(pi_w)	var(pi_w)	avg(pi_b)	var(pi_b)	avg(ThetaWatt)	var(thetaWatt)	avg(ThetaTaj)	var(ThetaTaj)	avg(ThetaFW)	var(ThetaFW)	avg(D/Dmin)	var(D/Dmin)	avg(Hnorm)	var(Hnorm)	avg(maxhap)	var(maxhap)	avg(maxhap1)	var(maxhap1)	avg(Rm)	var(Rm)	avg(theta_fl)	var(theta_fl)	avg(theta_l)	var(theta_l)	avg(zeng_E)	var(zeng_E)	avg(EW-test)	var(EW-test)	avg(Fstw)	var(Fstw)	avg(Pwh)	var(Pwh)
-0.286661	0.610676	-3.81737	7.56659	-0.55645	0.644274	-0.543081	0.857502	-0.573907	0.961659	-0.568005	1.17	-1.17478	11.5237	0.124883	0.0137781	0.182281	0.0204182	0.230417	0.0186878	na	na	0.8	0.0183333	0.961259	0.00136252	0.118114	0.000843549	53.5	3889	0	0	0	0	14.8298	266.921	16.0881	443.264	17.2629	573.794	-0.142549	0.0948771	-0.144396	0.334107	0.179167	0.00803241	0.222917	0.00821181	4	23.3333	15.25	106.917	16.6755	505.648	-0.0627025	1.02205	0.100347	0.00321519	na	na	0.204544	0.0136462	
0.0880242	0.594577	-1.12217	11.4522	-0.243765	1.31937	-0.171223	1.44515	-0.216673	1.14814	-0.143229	1.38597	0.882404	3.85069	0.114559	0.00843695	0.171158	0.0175011	0.215791	0.0102053	na	na	0.758333	0.0350926	0.960359	0.000738651	0.136919	0.00115257	62	3424	0	0	0	0	17.3689	233.737	18.8998	371.388	18.0174	368.668	0.0438516	0.0831573	0.241632	0.233378	0.164583	0.0032581	0.197917	0.00788773	5.75	37.5833	15.75	105.583	18.4586	369.065	-0.163072	0.46878	0.102049	0.000659688	na	na	0.174177	0.00999718	
0.0189785	0.191032	-1.5662	2.95406	0.125411	0.512515	0.10609	0.53452	0.206592	0.716687	0.189222	0.745317	0.175286	10.142	0.155913	0.00688098	0.250692	0.0189374	0.278208	0.0102696	na	na	0.710417	0.0308044	0.939707	0.00290586	0.140177	0.00158965	51.75	2834.25	0	0	0	0	14.3171	191.957	13.7252	167.508	13.5499	244.86	0.0327076	0.0419174	0.298103	0.390459	0.195833	0.00858796	0.225	0.00935185	4.5	27.6667	14.25	224.917	13.6376	203.648	-0.298428	0.294782	0.120243	0.00506176	na	na	0.207226	0.0533636	
0.0446991	0.658676	-1.08305	4.5919	-0.0785751	0.814147	-0.0366134	1.01351	-0.170733	1.21233	-0.133384	1.49933	3.30349	28.0323	0.100145	0.00589092	0.157289	0.0127151	0.197975	0.00960186	na	na	0.702083	0.03511	0.933062	0.00794142	0.136172	0.000467303	59.75	4900.25	0	0	0	0	16.3678	339.335	17.86	432.21	14.5565	259.274	-0.0221728	0.114256	0.304967	0.268628	0.1875	0.0213657	0.20625	0.0170081	5.75	42.25	13.25	124.25	16.2083	338.734	-0.216824	0.2345	0.125729	0.0108499	na	na	0.195397	0.0513378	
-0.141852	0.0612916	-1.6976	5.19892	0.256094	0.170848	0.164028	0.159181	0.174452	0.305262	0.0788591	0.274787	5.19148	61.642	0.124736	0.0116037	0.209976	0.0378011	0.22683	0.0125357	na	na	0.735417	0.0215914	0.956399	0.0010263	0.13372	0.00019557	57.75	4630.25	0	0	0	0	16.0086	317.04	15.5694	296.059	10.3779	95.2656	-0.0704309	0.0131987	0.408728	0.192884	0.166667	0.000740741	0.2375	0.0141435	5.5	29.6667	13.75	206.25	12.9736	180.252	-0.527228	0.135607	0.105	0.00265082	na	na	0.169123	0.00822891	
-0.199709	0.236365	-0.699186	2.52524	-0.144731	0.188491	-0.17061	0.187808	0.0721911	0.100572	-0.00522276	0.141244	-4.69479	29.8531	0.291549	0.0130129	0.435122	0.0234684	0.360483	0.00972784	na	na	0.660417	0.0182118	0.923475	0.0048134	0.130658	0.000291887	56.75	4454.92	0	0	0	0	15.5863	306.359	16.0262	379.658	20.721	367.843	-0.101474	0.0509319	-0.863628	0.734464	0.235417	0.0147396	0.302083	0.0425174	3.75	18.9167	15.5	343	18.3736	366.287	0.715887	0.413169	0.134792	0.00805686	na	na	0.211466	0.0141946	
-0.456727	0.180932	-2.31292	0.895226	-0.328941	0.107822	-0.420354	0.0915729	-0.521926	0.187393	-0.61179	0.170944	2.58152	26.684	0.0558405	0.00302871	0.0899745	0.00578841	0.163159	0.000853929	na	na	0.679167	0.0524769	0.910153	0.00784184	0.114622	0.000284097	45.75	3319.58	0	0	0	0	12.5518	231.033	12.2658	267.025	9.68428	133.414	-0.216143	0.0354603	0.10493	0.314863	0.245833	0.0213657	0.36875	0.0614062	3	10	15	306.667	10.975	193.548	-0.480483	0.302546	0.147708	0.00955743	na	na	0.263808	0.0758026	
0.0652872	0.958589	-2.27839	8.53784	-0.24792	0.459942	-0.190199	0.733938	-0.371932	0.559945	-0.290827	0.97463	3.17358	38.8022	0.148708	0.0154205	0.205583	0.0149028	0.242612	0.0267614	na	na	0.770833	0.052662	0.927551	0.0133549	0.133986	0.00261531	54	1651.33	0	0	0	0	15.3658	112.111	14.1711	66.5583	10.9975	20.6902	0.0540071	0.209118	0.284865	0.165413	0.210417	0.0377488	0.227083	0.035434	4.5	17	20	250	12.5843	33.9237	-0.281813	0.672358	0.130521	0.0161196	na	na	0.194884	0.0454672	
-0.11357	0.131352	-1.98304	2.86118	-0.0332069	0.184601	-0.0684617	0.219588	-0.0154285	0.255766	-0.0648701	0.294296	-1.0069	0.567204	0.0941837	0.00518305	0.141909	0.0109759	0.179082	0.00899779	na	na	0.720833	0.033588	0.949294	0.00211781	0.135969	0.000820282	48.5	2763	0	0	0	0	13.2208	188.843	12.5657	162.555	13.5726	174.998	-0.046558	0.0279208	-0.151064	0.0091979	0.179167	0.00803241	0.220833	0.0180324	3.75	14.9167	13.5	237.667	13.0691	168.635	0.0572295	0.120213	0.111528	0.00383197	na	na	0.197133	0.0463012	
0.292047	0.25493	-1.48116	3.06037	-0.0892578	0.483508	0.0192122	0.529315	0.00658715	0.534065	0.109233	0.621499	-3.75278	55.3518	0.315196	0.0270225	0.426915	0.0352215	0.427631	0.0178982	na	na	0.710417	0.0308044	0.916527	0.0117496	0.149705	0.00134325	57	5004.67	0	0	0	0	15.5544	346.873	15.9044	342.383	19.6572	671.386	0.139874	0.0553353	-0.0111316	0.424663	0.229167	0.0341435	0.29375	0.0443229	5.5	51.6667	16.5	455	17.7808	493.047	0.247874	0.418773	0.140799	0.0148538	na	na	0.162366	0.0108104	
