mlcoalsim version 094beta (20060404)
OUTPUT FILE: date Wed Apr  5 11:20:41 2006 

Input data from the file: /Users/user/Documents/WorkatUB/mlcoal/mlcoalsim094/build/input.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 111

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1000
N_samples:             20
Thetaw:                5
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
0.90257	-0.73617	1.1635	1.2639	1.3119	1.4328	3.0105	0.13043	0.20833	0.28111	na	0.6	0.92632	0.1702	24	0	0	6.7649	8.3474	5.3368	0.36255	0.069688	0.2	0.25	
0.96399	-0.855	0.39166	0.65004	0.72138	0.96709	-5.0421	0.23529	0.38889	0.36202	na	0.55	0.92105	0.16834	18	0	0	5.0737	6.3737	11.416	0.39712	-0.15562	0.2	0.3	
0.85933	-1.3365	0.56443	0.75553	0.57641	0.80473	2.3684	0.066667	0.125	0.24949	na	0.55	0.93158	0.16565	16	0	0	4.5099	5.5526	3.1842	0.35833	0.082237	0.15	0.3	
-0.11818	-2.3539	0.091509	0.034317	0.012439	-0.036723	2.5053	0.083333	0.16	0.18848	na	0.65	0.95263	0.12603	25	0	0	7.0467	6.8316	4.3263	-0.047322	0.055673	0.15	0.15	
0.29921	-4.3007	0.4819	0.4978	0.48592	0.51679	1.4211	0.17391	0.33333	0.25426	na	0.75	0.96842	0.14381	24	0	0	6.7649	7.2895	5.8684	0.12019	0.032895	0.15	0.15	
0.20814	-0.92656	0.058987	0.11964	-0.024809	0.06113	1.9579	0.1	0.14286	0.19603	na	0.55	0.86842	0.13693	21	0	0	5.9193	6.2421	4.2842	0.08453	0.051796	0.35	0.4	
-0.50682	-5.5099	-0.86966	-0.88687	-0.71126	-0.7808	-3.1263	0.071429	0.13333	0.19892	na	0.65	0.91053	0.10539	15	0	0	4.228	3.6474	6.7737	-0.21285	-0.11579	0.3	0.35	
-1.8233	-2.6652	-1.8293	-2.1128	-2.1136	-2.414	0.81053	0	0	0.005392	na	0.3	0.57895	0.092956	7	0	0	1.9731	0.87895	0.068421	-0.85944	0.064327	0.65	0.75	
-0.10982	-2.5066	0.45655	0.33735	0.45161	0.32912	-3.4947	0.22222	0.31579	0.34672	na	0.6	0.92105	0.12806	19	0	0	5.3555	5.2	8.6947	-0.045007	-0.10219	0.25	0.25	
0.57122	-2.3698	0.57014	0.66327	0.58974	0.70832	1.9263	0.15	0.2381	0.23128	na	0.65	0.92632	0.15443	21	0	0	5.9193	6.8053	4.8789	0.23198	0.050961	0.25	0.25	
