mlcoalsim version 094beta (20060305)
OUTPUT FILE: date Fri Mar 17 14:53:29 2006 

Input data from the file: /Users/user/Documents/WorkatUB/Stephan/FSall/S20/WallHudson_method/other_alternatives/expansion/R00/theta_avg/L1n20thetaS20D1m0x010R00

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          10000
Seed1:                 974

N_loci:                1
N_sites:               1000
N_samples:             20
Thetaw:                33.84
Recombination:         0
Nintn:                 1
Ts:                    0
Nrec:                  1
Npast:                 0.1
Tpast:                 0.025


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-0.83192	-4.276	-0.6952	-0.85605	-0.94557	-1.1054	1.2	0	0	0.082061	na	0.7	0.93684	0.094771	26	0	0	7.3286	5.7579	4.5579	-0.33217	0.025641	0.25	0.3	
0.17457	-1.2444	-0.50602	-0.35365	-0.72374	-0.52056	1.4105	0.23333	0.25806	0.28019	na	0.65	0.94737	0.13002	31	0	0	8.738	9.1263	7.7158	0.068883	0.025278	0.15	0.2	
-0.47429	-0.63212	-0.2933	-0.40224	-0.43979	-0.5452	0.89474	0.25	0.35294	0.29448	na	0.45	0.9	0.11499	17	0	0	4.7918	4.1842	3.2895	-0.19651	0.02924	0.25	0.35	
-1.0538	-8.4402	-1.2164	-1.3583	-1.5474	-1.6831	2.4632	0	0	0.048185	na	0.75	0.97368	0.084856	19	0	0	5.3555	3.8632	1.4	-0.43188	0.072022	0.1	0.2	
0.1709	-1.1746	-0.12761	-0.045756	-0.2537	-0.14	1.0316	0.083333	0.12	0.20625	na	0.6	0.9	0.13381	25	0	0	7.0467	7.3579	6.3263	0.068435	0.022924	0.3	0.4	
-0.82992	-3.9201	-0.85201	-0.98324	-1.1238	-1.2489	2.2421	0	0	0.079161	na	0.65	0.92632	0.093936	22	0	0	6.2011	4.8579	2.6158	-0.33571	0.056619	0.25	0.3	
-0.43318	-3.1487	-0.48474	-0.54568	-0.67014	-0.71966	3.1895	0.11765	0.16667	0.1852	na	0.6	0.93684	0.10996	18	0	0	5.0737	4.4895	1.3	-0.17845	0.098441	0.2	0.25	
-1.8324	-13.163	-1.6614	-1.9919	-2.1167	-2.4616	3.3158	0	0	0.0071304	na	0.85	0.98421	0.062085	25	0	0	7.0467	3.7105	0.39474	-0.73376	0.073684	0.1	0.2	
-1.2849	-6.5782	-1.9856	-2.0688	-2.483	-2.5436	1.3263	0.15	0.28571	0.17336	na	0.7	0.94737	0.07072	21	0	0	5.9193	3.9263	2.6	-0.52181	0.035088	0.2	0.25	
-0.83019	-4.1665	-1.73	-1.7035	-2.1757	-2.113	1.4737	0.05	0.095238	0.087401	na	0.65	0.88421	0.085215	21	0	0	5.9193	4.6316	3.1579	-0.33715	0.038986	0.35	0.4	
-1.7735	-5.1412	-2.9889	-3.0589	-3.6228	-3.6702	1.7684	0.066667	0.125	0.080698	na	0.55	0.86842	0.063719	16	0	0	4.5099	2.3579	0.58947	-0.73955	0.061404	0.3	0.35	
-0.075492	-2.8537	-0.11593	-0.12095	-0.23632	-0.22371	3.4211	0.14286	0.22727	0.20283	na	0.65	0.94211	0.12499	22	0	0	6.2011	6.0789	2.6579	-0.030537	0.08639	0.2	0.2	
-2.0295	-13.985	-2.0198	-2.349	-2.4776	-2.8224	1.8842	0	0	0.005278	na	0.75	0.95789	0.047264	16	0	0	4.5099	2.0474	0.16316	-0.84626	0.065424	0.2	0.3	
-0.58555	-2.0986	-0.37993	-0.51173	-0.54788	-0.67844	-1.6842	0.055556	0.10526	0.23918	na	0.55	0.89474	0.1051	19	0	0	5.3555	4.5263	6.2105	-0.23997	-0.049246	0.3	0.4	
-1.5184	-8.6342	-2.3149	-2.4194	-2.9296	-3.0034	3.7474	0.037037	0.071429	0.057979	na	0.8	0.97368	0.062776	28	0	0	7.8923	4.8211	1.0737	-0.60312	0.074353	0.15	0.2	
-1.4964	-5.6537	-1.2078	-1.4984	-1.4938	-1.7997	1.2526	0.16667	0.23077	0.18335	na	0.55	0.93158	0.079011	13	0	0	3.6643	2.1526	0.9	-0.63937	0.053531	0.2	0.35	
-1.3528	-5.476	-2.0198	-2.1195	-2.4776	-2.5635	1.2105	0.13333	0.1875	0.13988	na	0.6	0.93158	0.07206	16	0	0	4.5099	2.8684	1.6579	-0.5641	0.042032	0.2	0.35	
-1.2672	-4.9085	-1.5205	-1.6802	-1.8958	-2.0512	-1.2421	0.0625	0.11765	0.11597	na	0.6	0.9	0.074997	17	0	0	4.7918	3.1684	4.4105	-0.52506	-0.040592	0.3	0.45	
0.99613	2.127	0.22999	0.52373	0.18187	0.52166	0.32632	0.36364	0.41667	0.42433	na	0.3	0.67368	0.17017	12	0	0	3.3824	4.3211	3.9947	0.43008	0.015107	0.55	0.6	
-1.0929	-6.6936	-1.4114	-1.53	-1.7204	-1.8352	1.4421	0	0	0.032968	na	0.6	0.90526	0.083761	12	0	0	3.3824	2.3526	0.91053	-0.47186	0.066764	0.3	0.4	
-0.78052	-8.1356	-1.3611	-1.3838	-1.3659	-1.4273	-0.16842	0.058824	0.11111	0.11917	na	0.75	0.96316	0.093487	18	0	0	5.0737	4.0211	4.1895	-0.32154	-0.0051982	0.15	0.25	
-1.3492	-4.807	-1.2049	-1.4449	-1.4706	-1.7208	0.36842	0	0	0.01073	na	0.5	0.86316	0.073084	11	0	0	3.1006	1.9211	1.5526	-0.58959	0.018607	0.35	0.45	
-1.6534	-9.392	-2.4409	-2.5678	-2.9878	-3.1006	0.71579	0	0	0.0083345	na	0.7	0.94737	0.061674	17	0	0	4.7918	2.6737	1.9579	-0.68507	0.023392	0.2	0.3	
-1.649	-10.433	-2.6991	-2.7789	-3.3687	-3.4144	-0.042105	0.086957	0.16667	0.11229	na	0.8	0.94737	0.053055	24	0	0	6.7649	3.8737	3.9158	-0.66238	-0.00097466	0.25	0.3	
-1.1567	-2.908	-1.1086	-1.3062	-1.4414	-1.6395	1.8947	0.043478	0.083333	0.082465	na	0.6	0.9	0.085058	24	0	0	6.7649	4.7368	2.8421	-0.46463	0.04386	0.3	0.4	
-1.0615	-5.5186	-0.77687	-0.99965	-1.018	-1.2492	2.0211	0.058824	0.11111	0.083407	na	0.65	0.93158	0.087125	18	0	0	5.0737	3.6421	1.6211	-0.43729	0.062378	0.25	0.35	
